effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/ironic_bandit_council				
ironic_bc_incense_a	3k_main_effect_characters_satisfaction_bonus_faction	faction_to_character_own_factionwide	-10.0000	start_turn_completed
ironic_bc_incense_a	3k_main_effect_character_salary	faction_to_character_own_factionwide	-25.0000	start_turn_completed
ironic_bc_incense_b	3k_main_effect_characters_satisfaction_bonus_faction	faction_to_character_own_factionwide	15.0000	start_turn_completed
ironic_bc_incense_b	3k_main_effect_character_salary	faction_to_character_own_factionwide	75.0000	start_turn_completed
ironic_bc_arms_a	3k_main_effect_force_retinue_upkeep	faction_to_force_own	-15.0000	start_turn_completed
ironic_bc_arms_a	3k_main_effect_force_all_campaign_post_battle_loot_income	faction_to_force_own_unseen	-50.0000	start_turn_completed
ironic_bc_arms_b	3k_main_effect_unit_stats_morale_abs	faction_to_force_own_factionwide	-15.0000	start_turn_completed
ironic_bc_arms_b	3k_main_effect_force_all_campaign_post_battle_loot_income	faction_to_force_own_unseen	100.0000	start_turn_completed
ironic_bc_smuggler_a	3k_dlc05_effect_economy_gdp_mod_banditry	faction_to_region_own_unseen	100.0000	start_turn_completed
ironic_bc_smuggler_a	3k_main_effect_economy_gdp_mod_commerce	faction_to_region_own	-100.0000	start_turn_completed
ironic_bc_smuggler_a	3k_main_effect_economy_gdp_mod_industry	faction_to_region_own	-100.0000	start_turn_completed
ironic_bc_smuggler_b	3k_dlc05_effect_economy_gdp_mod_banditry	faction_to_region_own_unseen	-100.0000	start_turn_completed
ironic_bc_smuggler_b	3k_main_effect_economy_gdp_mod_commerce	faction_to_region_own	100.0000	start_turn_completed
ironic_bc_smuggler_b	3k_main_effect_economy_gdp_mod_industry	faction_to_region_own	100.0000	start_turn_completed
ironic_bc_negotiator_a	3k_main_effect_diplomacy_han_empire_mod	faction_to_faction_own	40.0000	start_turn_completed
ironic_bc_negotiator_a	3k_main_effect_force_all_campaign_loot_income	faction_to_character_own_factionwide	-75.0000	start_turn_completed
ironic_bc_negotiator_b	3k_main_effect_diplomacy_modify_vassal_income	faction_to_faction_own	50.0000	start_turn_completed
ironic_bc_negotiator_b	3k_main_faction_diplomacy_mod	faction_to_faction_own	-5.0000	start_turn_completed
ironic_bc_enforcer_a	3k_main_effect_characters_satisfaction_bonus_faction	faction_to_character_own_factionwide	-15.0000	start_turn_completed
ironic_bc_enforcer_a	3k_main_effect_character_job_satisfaction_penalty_modifier_reduced_faction	faction_to_character_own_factionwide	-75.0000	start_turn_completed
ironic_bc_enforcer_b	3k_main_effect_characters_satisfaction_bonus_faction	faction_to_character_own_factionwide	20.0000	start_turn_completed
ironic_bc_enforcer_b	3k_main_effect_character_job_satisfaction_penalty_modifier_reduced_faction	faction_to_character_own_factionwide	50.0000	start_turn_completed
ironic_bc_right_hand_a	3k_main_effect_force_all_campaign_movement_range	faction_to_force_own_factionwide	10.0000	start_turn_completed
ironic_bc_right_hand_a	3k_main_effect_skill_ambush_defence_chance	faction_to_force_own	-25.0000	start_turn_completed
ironic_bc_right_hand_b	3k_main_effect_skill_ambush_attack_chance	faction_to_force_own	15.0000	start_turn_completed
ironic_bc_right_hand_b	3k_main_effect_force_all_campaign_movement_range	faction_to_force_own_factionwide	-5.0000	start_turn_completed
ironic_bc_heir_a	3k_main_effect_economy_gdp_mod_all	faction_to_region_own	-25.0000	start_turn_completed
ironic_bc_heir_a	3k_main_effect_force_military_supplies_from_sacking_bandits	faction_to_force_own	5.0000	start_turn_completed
ironic_bc_heir_b	3k_main_effect_force_all_campaign_recruitment_cost_all	faction_to_character_own_factionwide	-10.0000	start_turn_completed
ironic_bc_heir_b	3k_main_effect_unit_stats_morale_abs	faction_to_force_own_factionwide	-5.0000	start_turn_completed
