effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/ironic_liu_pan_raider				
ironic_liu_pan_ferocity_level_0	ironic_liu_pan_dummy_ferocity	faction_to_faction_own_unseen	0.0000	start_turn_completed
ironic_liu_pan_ferocity_level_1	ironic_liu_pan_dummy_ferocity	faction_to_faction_own_unseen	0.0000	start_turn_completed
ironic_liu_pan_ferocity_level_1	3k_main_effect_force_all_campaign_movement_range	faction_to_force_own	5.0000	start_turn_completed
ironic_liu_pan_ferocity_level_1	3k_main_effect_force_all_campaign_post_battle_loot_income	faction_to_force_own	5.0000	start_turn_completed
ironic_liu_pan_ferocity_level_1	ironic_liu_pan_ferocity_decay	faction_to_faction_own_unseen	-2.0000	start_turn_completed
ironic_liu_pan_ferocity_level_2	ironic_liu_pan_dummy_ferocity	faction_to_faction_own_unseen	0.0000	start_turn_completed
ironic_liu_pan_ferocity_level_2	3k_main_effect_force_all_campaign_movement_range	faction_to_force_own	10.0000	start_turn_completed
ironic_liu_pan_ferocity_level_2	3k_main_effect_force_all_campaign_post_battle_loot_income	faction_to_force_own	10.0000	start_turn_completed
ironic_liu_pan_ferocity_level_2	3k_main_effect_force_military_supplies_from_raiding	faction_to_force_own	10.0000	start_turn_completed
ironic_liu_pan_ferocity_level_2	3k_main_effect_unit_stats_morale_enemy_territory	faction_to_force_own	2.0000	start_turn_completed
ironic_liu_pan_ferocity_level_2	ironic_liu_pan_ferocity_decay	faction_to_faction_own_unseen	-3.0000	start_turn_completed
ironic_liu_pan_ferocity_level_2	3k_main_effect_province_public_order_faction	faction_to_province_own	-1.0000	start_turn_completed
ironic_liu_pan_ferocity_level_3	ironic_liu_pan_dummy_ferocity	faction_to_faction_own_unseen	0.0000	start_turn_completed
ironic_liu_pan_ferocity_level_3	3k_main_effect_force_all_campaign_movement_range	faction_to_force_own	15.0000	start_turn_completed
ironic_liu_pan_ferocity_level_3	3k_main_effect_force_all_campaign_post_battle_loot_income	faction_to_force_own	15.0000	start_turn_completed
ironic_liu_pan_ferocity_level_3	3k_main_effect_force_military_supplies_from_raiding	faction_to_force_own	10.0000	start_turn_completed
ironic_liu_pan_ferocity_level_3	3k_main_effect_unit_stats_morale_enemy_territory	faction_to_force_own	3.0000	start_turn_completed
ironic_liu_pan_ferocity_level_3	3k_main_effect_forces_replenishment_foreign_land	faction_to_force_own	15.0000	start_turn_completed
ironic_liu_pan_ferocity_level_3	3k_main_effect_skill_ambush_attack_chance	faction_to_force_own	5.0000	start_turn_completed
ironic_liu_pan_ferocity_level_3	ironic_liu_pan_ferocity_decay	faction_to_faction_own_unseen	-4.0000	start_turn_completed
ironic_liu_pan_ferocity_level_3	3k_main_effect_province_public_order_faction	faction_to_province_own	-2.0000	start_turn_completed
ironic_liu_pan_ferocity_level_3	ironic_liu_pan_favour_drain	faction_to_faction_own_unseen	-1.0000	start_turn_completed
ironic_liu_pan_ferocity_level_4	ironic_liu_pan_dummy_ferocity	faction_to_faction_own_unseen	0.0000	start_turn_completed
ironic_liu_pan_ferocity_level_4	3k_main_effect_force_all_campaign_movement_range	faction_to_force_own	20.0000	start_turn_completed
ironic_liu_pan_ferocity_level_4	3k_main_effect_force_all_campaign_post_battle_loot_income	faction_to_force_own	20.0000	start_turn_completed
ironic_liu_pan_ferocity_level_4	3k_main_effect_force_military_supplies_from_raiding	faction_to_force_own	10.0000	start_turn_completed
ironic_liu_pan_ferocity_level_4	3k_main_effect_unit_stats_morale_enemy_territory	faction_to_force_own	4.0000	start_turn_completed
ironic_liu_pan_ferocity_level_4	3k_main_effect_forces_replenishment_foreign_land	faction_to_force_own	20.0000	start_turn_completed
ironic_liu_pan_ferocity_level_4	3k_main_effect_skill_ambush_attack_chance	faction_to_force_own	10.0000	start_turn_completed
ironic_liu_pan_ferocity_level_4	ironic_liu_pan_ferocity_decay	faction_to_faction_own_unseen	-5.0000	start_turn_completed
ironic_liu_pan_ferocity_level_4	3k_main_effect_province_public_order_faction	faction_to_province_own	-3.0000	start_turn_completed
ironic_liu_pan_ferocity_level_4	ironic_liu_pan_favour_drain	faction_to_faction_own_unseen	-2.0000	start_turn_completed
ironic_liu_pan_ferocity_level_5	ironic_liu_pan_dummy_ferocity	faction_to_faction_own_unseen	0.0000	start_turn_completed
ironic_liu_pan_ferocity_level_5	3k_main_effect_force_all_campaign_movement_range	faction_to_force_own	25.0000	start_turn_completed
ironic_liu_pan_ferocity_level_5	3k_main_effect_force_all_campaign_post_battle_loot_income	faction_to_force_own	25.0000	start_turn_completed
ironic_liu_pan_ferocity_level_5	3k_main_effect_force_military_supplies_from_raiding	faction_to_force_own	10.0000	start_turn_completed
ironic_liu_pan_ferocity_level_5	3k_main_effect_unit_stats_morale_enemy_territory	faction_to_force_own	5.0000	start_turn_completed
ironic_liu_pan_ferocity_level_5	3k_main_effect_forces_replenishment_foreign_land	faction_to_force_own	25.0000	start_turn_completed
ironic_liu_pan_ferocity_level_5	3k_main_effect_skill_ambush_attack_chance	faction_to_force_own	15.0000	start_turn_completed
ironic_liu_pan_ferocity_level_5	ironic_liu_pan_raider_upkeep	faction_to_force_own	-15.0000	start_turn_completed
ironic_liu_pan_ferocity_level_5	ironic_liu_pan_ferocity_decay	faction_to_faction_own_unseen	-6.0000	start_turn_completed
ironic_liu_pan_ferocity_level_5	3k_main_effect_province_public_order_faction	faction_to_province_own	-4.0000	start_turn_completed
ironic_liu_pan_ferocity_level_5	ironic_liu_pan_favour_drain	faction_to_faction_own_unseen	-3.0000	start_turn_completed
ironic_liu_pan_uncle_favour_level_0	ironic_liu_pan_dummy_favour	faction_to_faction_own_unseen	0.0000	start_turn_completed
ironic_liu_pan_uncle_favour_level_0	3k_main_effect_economy_gdp_mod_all	faction_to_region_own	-10.0000	start_turn_completed
ironic_liu_pan_uncle_favour_level_0	3k_main_effect_characters_satisfaction	faction_to_character_own_unseen	-2.0000	start_turn_completed
ironic_liu_pan_uncle_favour_level_1	ironic_liu_pan_dummy_favour	faction_to_faction_own_unseen	0.0000	start_turn_completed
ironic_liu_pan_uncle_favour_level_2	ironic_liu_pan_dummy_favour	faction_to_faction_own_unseen	0.0000	start_turn_completed
ironic_liu_pan_uncle_favour_level_2	3k_main_effect_economy_gdp_mod_all	faction_to_region_own	5.0000	start_turn_completed
ironic_liu_pan_uncle_favour_level_2	3k_main_effect_force_all_campaign_recruitment_cost_all	faction_to_character_own_factionwide	-5.0000	start_turn_completed
ironic_liu_pan_uncle_favour_level_3	ironic_liu_pan_dummy_favour	faction_to_faction_own_unseen	0.0000	start_turn_completed
ironic_liu_pan_uncle_favour_level_3	3k_main_effect_economy_gdp_mod_all	faction_to_region_own	10.0000	start_turn_completed
ironic_liu_pan_uncle_favour_level_3	3k_main_effect_force_all_campaign_recruitment_cost_all	faction_to_character_own_factionwide	-10.0000	start_turn_completed
ironic_liu_pan_uncle_favour_level_3	3k_main_effect_characters_satisfaction	faction_to_character_own_unseen	1.0000	start_turn_completed
ironic_liu_pan_uncle_favour_level_4	ironic_liu_pan_dummy_favour	faction_to_faction_own_unseen	0.0000	start_turn_completed
ironic_liu_pan_uncle_favour_level_4	3k_main_effect_economy_gdp_mod_all	faction_to_region_own	15.0000	start_turn_completed
ironic_liu_pan_uncle_favour_level_4	3k_main_effect_force_all_campaign_recruitment_cost_all	faction_to_character_own_factionwide	-15.0000	start_turn_completed
ironic_liu_pan_uncle_favour_level_4	3k_main_effect_characters_satisfaction	faction_to_character_own_unseen	2.0000	start_turn_completed
ironic_liu_pan_uncle_favour_level_4	3k_main_effect_replenishment_faction	faction_to_army_own	5.0000	start_turn_completed
ironic_liu_pan_vassal_master	ironic_liu_pan_favour_vassal	faction_to_faction_own	2.0000	start_turn_completed
ironic_liu_pan_alone	ironic_liu_pan_favour_alone	faction_to_faction_own	-100.0000	start_turn_completed
ironic_liu_pan_raiding_stance	3k_dlc05_effect_force_military_supplies_from_raiding_dummy	force_to_force_own	1.0000	end_round_completed
ironic_liu_pan_raiding_stance	3k_main_effect_force_all_campaign_stance_ap_cost	force_to_force_own	25.0000	start_turn_completed
ironic_liu_pan_raiding_stance	3k_main_effect_force_all_campaign_stance_can_attack_dummy	force_to_force_own	1.0000	start_turn_completed
ironic_liu_pan_raiding_stance	3k_main_effect_force_begin_fatigue_3	army_to_army_own	3.0000	start_turn_completed
