effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/ironic_stables				
ironic_stables_ded_red_common	3k_main_effect_all_cavalry_stat_mod_charge_speed	faction_to_force_own_factionwide	4.0000	start_turn_completed
ironic_stables_ded_red_refined	3k_main_effect_all_cavalry_stat_mod_charge_speed	faction_to_force_own_factionwide	6.0000	start_turn_completed
ironic_stables_ded_red_exceptional	3k_main_effect_all_cavalry_stat_mod_charge_speed	faction_to_force_own_factionwide	10.0000	start_turn_completed
ironic_stables_ded_red_exceptional	3k_main_effect_unit_stats_charge_bonus_abs_cavalry	faction_to_force_own_factionwide	4.0000	start_turn_completed
ironic_stables_ded_red_elite	3k_main_effect_all_cavalry_stat_mod_charge_speed	faction_to_force_own_factionwide	14.0000	start_turn_completed
ironic_stables_ded_red_elite	3k_main_effect_unit_stats_charge_bonus_abs_cavalry	faction_to_force_own_factionwide	6.0000	start_turn_completed
ironic_stables_ded_grey_common	3k_main_effect_unit_stats_armour_mod_cavalry	faction_to_force_own_factionwide	3.0000	start_turn_completed
ironic_stables_ded_grey_refined	3k_main_effect_unit_stats_armour_mod_cavalry	faction_to_force_own_factionwide	5.0000	start_turn_completed
ironic_stables_ded_grey_exceptional	3k_main_effect_unit_stats_armour_mod_cavalry	faction_to_force_own_factionwide	8.0000	start_turn_completed
ironic_stables_ded_grey_exceptional	3k_main_effect_force_army_melee_damage	faction_to_force_own_factionwide	5.0000	start_turn_completed
ironic_stables_ded_grey_elite	3k_main_effect_unit_stats_armour_mod_cavalry	faction_to_force_own_factionwide	12.0000	start_turn_completed
ironic_stables_ded_grey_elite	3k_main_effect_force_army_melee_damage	faction_to_force_own_factionwide	8.0000	start_turn_completed
ironic_stables_ded_brown_common	3k_main_effect_force_army_campaign_upkeep_cavalry	faction_to_character_own_factionwide	-5.0000	start_turn_completed
ironic_stables_ded_brown_refined	3k_main_effect_force_army_campaign_upkeep_cavalry	faction_to_character_own_factionwide	-8.0000	start_turn_completed
ironic_stables_ded_brown_exceptional	3k_main_effect_force_army_campaign_upkeep_cavalry	faction_to_character_own_factionwide	-12.0000	start_turn_completed
ironic_stables_ded_brown_exceptional	3k_main_effect_force_army_campaign_recruitment_cost_cavalry	faction_to_character_own_factionwide	-10.0000	start_turn_completed
ironic_stables_ded_brown_elite	3k_main_effect_force_army_campaign_upkeep_cavalry	faction_to_character_own_factionwide	-16.0000	start_turn_completed
ironic_stables_ded_brown_elite	3k_main_effect_force_army_campaign_recruitment_cost_cavalry	faction_to_character_own_factionwide	-15.0000	start_turn_completed
ironic_stables_ded_black_common	3k_main_effect_skill_ambush_attack_chance	faction_to_character_own_factionwide	8.0000	start_turn_completed
ironic_stables_ded_black_refined	3k_main_effect_skill_ambush_attack_chance	faction_to_character_own_factionwide	12.0000	start_turn_completed
ironic_stables_ded_black_exceptional	3k_main_effect_skill_ambush_attack_chance	faction_to_character_own_factionwide	18.0000	start_turn_completed
ironic_stables_ded_black_exceptional	3k_main_effect_force_all_campaign_movement_range	faction_to_character_own_factionwide	5.0000	start_turn_completed
ironic_stables_ded_black_elite	3k_main_effect_skill_ambush_attack_chance	faction_to_character_own_factionwide	25.0000	start_turn_completed
ironic_stables_ded_black_elite	3k_main_effect_force_all_campaign_movement_range	faction_to_character_own_factionwide	8.0000	start_turn_completed
ironic_stables_ded_white_common	3k_main_effect_unit_stats_morale_abs	faction_to_force_own_factionwide	2.0000	start_turn_completed
ironic_stables_ded_white_refined	3k_main_effect_unit_stats_morale_abs	faction_to_force_own_factionwide	3.0000	start_turn_completed
ironic_stables_ded_white_exceptional	3k_main_effect_unit_stats_morale_abs	faction_to_force_own_factionwide	5.0000	start_turn_completed
ironic_stables_ded_white_exceptional	3k_main_effect_unit_rank_new_recruits_cavalry	faction_to_character_own_factionwide	1.0000	start_turn_completed
ironic_stables_ded_white_elite	3k_main_effect_unit_stats_morale_abs	faction_to_force_own_factionwide	7.0000	start_turn_completed
ironic_stables_ded_white_elite	3k_main_effect_unit_rank_new_recruits_cavalry	faction_to_character_own_factionwide	2.0000	start_turn_completed
