effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/ironic_zhu_hao_ranks				
ironic_bundle_faction_rank_zhu_hao_1	3k_main_dummy_effect_faction_rank_increase	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_bundle_faction_rank_zhu_hao_2	3k_dlc06_effect_dummy_progression_rank_unlock_coalitions	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_bundle_faction_rank_zhu_hao_2	3k_dlc06_effect_dummy_progression_rank_unlock_tax_slider	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_bundle_faction_rank_zhu_hao_2	3k_main_dummy_effect_faction_rank_increase	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_bundle_faction_rank_zhu_hao_3	3k_dlc06_effect_dummy_progression_rank_unlock_military_alliances	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_bundle_faction_rank_zhu_hao_3	3k_dlc06_effect_dummy_progression_rank_unlock_vassalage	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_bundle_faction_rank_zhu_hao_3	3k_main_dummy_effect_faction_rank_increase	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_bundle_faction_rank_zhu_hao_3	3k_main_effect_captain_mercenary_upgrade	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_bundle_faction_rank_zhu_hao_4	3k_main_dummy_effect_faction_rank_increase	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_bundle_faction_rank_zhu_hao_4	3k_main_effect_characters_satisfaction_bonus_fame	faction_to_character_own_unseen	10.0000	start_turn_completed
ironic_bundle_faction_rank_zhu_hao_4	3k_main_effect_captain_mercenary_upgrade_elite	faction_to_faction_own_unseen	2.0000	start_turn_completed
ironic_bundle_faction_rank_zhu_hao_5	3k_main_dummy_effect_faction_rank_increase	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_bundle_faction_rank_zhu_hao_5	3k_main_dummy_faction_progression_emperor_proclamation_info	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_bundle_faction_rank_zhu_hao_5	3k_main_effect_characters_satisfaction_bonus_fame	faction_to_character_own_unseen	15.0000	start_turn_completed
ironic_bundle_faction_rank_zhu_hao_5	ironic_effect_captain_mercenary_upgrade_imperial	faction_to_faction_own_unseen	3.0000	start_turn_completed
