effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/jiefanresource				
ironic_great_ambition_resource_level_0	ironic_great_ambition_decay	faction_to_faction_own	-2.0000	start_turn_completed
ironic_great_ambition_resource_level_1	ironic_great_ambition_decay	faction_to_faction_own	-5.0000	start_turn_completed
ironic_great_ambition_resource_level_2	ironic_great_ambition_decay	faction_to_faction_own	-10.0000	start_turn_completed
ironic_great_ambition_resource_level_3	ironic_great_ambition_decay	faction_to_faction_own	-15.0000	start_turn_completed
ironic_great_ambition_resource_level_4	ironic_great_ambition_decay	faction_to_faction_own	-25.0000	start_turn_completed
ironic_great_ambition_resource_level_0	ironic_great_ambition_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_great_ambition_resource_level_1	ironic_great_ambition_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_great_ambition_resource_level_2	ironic_great_ambition_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_great_ambition_resource_level_3	ironic_great_ambition_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_great_ambition_resource_level_4	ironic_great_ambition_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_great_ambition_resource_level_0	ironic_great_ambition_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_great_ambition_resource_level_1	ironic_great_ambition_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_great_ambition_resource_level_2	ironic_great_ambition_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_great_ambition_resource_level_3	ironic_great_ambition_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_great_ambition_resource_level_4	ironic_great_ambition_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_great_ambition_resource_level_0	3k_main_effect_province_public_order_faction	faction_to_region_own	2.0000	start_turn_completed
ironic_great_ambition_resource_level_1	3k_main_effect_province_public_order_faction	faction_to_region_own	-1.0000	start_turn_completed
ironic_great_ambition_resource_level_2	3k_main_effect_province_public_order_faction	faction_to_region_own	-2.0000	start_turn_completed
ironic_great_ambition_resource_level_3	3k_main_effect_province_public_order_faction	faction_to_region_own	-4.0000	start_turn_completed
ironic_great_ambition_resource_level_4	3k_main_effect_province_public_order_faction	faction_to_region_own	-8.0000	start_turn_completed
ironic_great_ambition_resource_level_0	3k_main_effect_character_salary	faction_to_character_own_factionwide	-15.0000	start_turn_completed
ironic_great_ambition_resource_level_1	3k_main_effect_character_salary	faction_to_character_own_factionwide	-5.0000	start_turn_completed
ironic_great_ambition_resource_level_2	3k_main_effect_character_salary	faction_to_character_own_factionwide	5.0000	start_turn_completed
ironic_great_ambition_resource_level_3	3k_main_effect_character_salary	faction_to_character_own_factionwide	25.0000	start_turn_completed
ironic_great_ambition_resource_level_4	3k_main_effect_character_salary	faction_to_character_own_factionwide	50.0000	start_turn_completed
ironic_great_ambition_resource_level_0	3k_main_effect_force_army_all_damage_and_all_ap_damage_when_attacking	faction_to_army_own	-5.0000	start_turn_completed
ironic_great_ambition_resource_level_1	3k_main_effect_force_army_all_damage_and_all_ap_damage_when_attacking	faction_to_army_own	5.0000	start_turn_completed
ironic_great_ambition_resource_level_2	3k_main_effect_force_army_all_damage_and_all_ap_damage_when_attacking	faction_to_army_own	20.0000	start_turn_completed
ironic_great_ambition_resource_level_3	3k_main_effect_force_army_all_damage_and_all_ap_damage_when_attacking	faction_to_army_own	35.0000	start_turn_completed
ironic_great_ambition_resource_level_4	3k_main_effect_force_army_all_damage_and_all_ap_damage_when_attacking	faction_to_army_own	50.0000	start_turn_completed
ironic_great_ambition_resource_level_0	3k_main_effect_faction_trait_tigers_fury_sun_jian	faction_to_character_own_factionwide	-10.0000	start_turn_completed
ironic_great_ambition_resource_level_1	3k_main_effect_faction_trait_tigers_fury_sun_jian	faction_to_character_own_factionwide	5.0000	start_turn_completed
ironic_great_ambition_resource_level_2	3k_main_effect_faction_trait_tigers_fury_sun_jian	faction_to_character_own_factionwide	10.0000	start_turn_completed
ironic_great_ambition_resource_level_3	3k_main_effect_faction_trait_tigers_fury_sun_jian	faction_to_character_own_factionwide	15.0000	start_turn_completed
ironic_great_ambition_resource_level_4	3k_main_effect_faction_trait_tigers_fury_sun_jian	faction_to_character_own_factionwide	25.0000	start_turn_completed
ironic_great_ambition_effect_bundle	ironic_frontend_description_keenness_1	faction_to_faction_own	1.0000	start_turn_completed
ironic_great_ambition_effect_bundle	ironic_frontend_description_keenness_2	faction_to_faction_own	1.0000	start_turn_completed
ironic_great_ambition_effect_bundle	ironic_frontend_description_keenness_3	faction_to_faction_own	1.0000	start_turn_completed
ironic_great_ambition_effect_bundle	ironic_frontend_description_keenness_4	faction_to_faction_own	1.0000	start_turn_completed
