effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/jurisdictionresource				
ironic_governor_resource_level_0	ironic_jurisdiction_armies	faction_to_army_own	-25.0000	start_turn_completed
ironic_governor_resource_level_1	ironic_jurisdiction_armies	faction_to_army_own	-25.0000	start_turn_completed
ironic_governor_resource_level_2	ironic_jurisdiction_armies	faction_to_army_own	-25.0000	start_turn_completed
ironic_governor_resource_level_3	ironic_jurisdiction_armies	faction_to_army_own	-25.0000	start_turn_completed
ironic_governor_resource_level_4	ironic_jurisdiction_armies	faction_to_army_own	-25.0000	start_turn_completed
ironic_governor_resource_level_5	ironic_jurisdiction_armies	faction_to_army_own	-25.0000	start_turn_completed
ironic_governor_resource_level_6	ironic_jurisdiction_armies	faction_to_army_own	-25.0000	start_turn_completed
ironic_governor_resource_level_0	3k_main_effect_force_army_melee_damage	faction_to_force_own	50.0000	start_turn_completed
ironic_governor_resource_level_1	3k_main_effect_force_army_melee_damage	faction_to_force_own	25.0000	start_turn_completed
ironic_governor_resource_level_2	3k_main_effect_force_army_melee_damage	faction_to_force_own	15.0000	start_turn_completed
ironic_governor_resource_level_3	3k_main_effect_force_army_melee_damage	faction_to_force_own	5.0000	start_turn_completed
ironic_governor_resource_level_3	3k_main_effect_economy_gdp_mod_all	faction_to_province_own	5.0000	start_turn_completed
ironic_governor_resource_level_4	3k_main_effect_economy_gdp_mod_all	faction_to_province_own	10.0000	start_turn_completed
ironic_governor_resource_level_5	3k_main_effect_economy_gdp_mod_all	faction_to_province_own	20.0000	start_turn_completed
ironic_governor_resource_level_6	3k_main_effect_economy_gdp_mod_all	faction_to_province_own	25.0000	start_turn_completed
ironic_governor_resource_level_0	3k_main_effect_force_all_campaign_movement_range	faction_to_force_own	35.0000	start_turn_completed
ironic_governor_resource_level_1	3k_main_effect_force_all_campaign_movement_range	faction_to_force_own	25.0000	start_turn_completed
ironic_governor_resource_level_2	3k_main_effect_force_all_campaign_movement_range	faction_to_force_own	15.0000	start_turn_completed
ironic_governor_resource_level_3	3k_main_effect_force_all_campaign_movement_range	faction_to_force_own	5.0000	start_turn_completed
ironic_governor_resource_level_3	3k_main_effect_province_public_order_faction	faction_to_province_own	2.0000	start_turn_completed
