effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/liuyuresource				
ironic_liu_yu_peace_resource_level_0	ironic_han_decay	faction_to_faction_own	-5.0000	start_turn_completed
ironic_liu_yu_peace_resource_level_1	ironic_han_decay	faction_to_faction_own	-10.0000	start_turn_completed
ironic_liu_yu_peace_resource_level_2	ironic_han_decay	faction_to_faction_own	-20.0000	start_turn_completed
ironic_liu_yu_peace_resource_level_3	ironic_han_decay	faction_to_faction_own	-35.0000	start_turn_completed
ironic_liu_yu_peace_resource_level_4	ironic_han_decay	faction_to_faction_own	-50.0000	start_turn_completed
ironic_liu_yu_peace_resource_level_0	ironic_han_liu_yu_peace_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_liu_yu_peace_resource_level_0	ironic_han_liu_yu_peace_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_liu_yu_peace_resource_level_1	ironic_han_liu_yu_peace_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_liu_yu_peace_resource_level_2	ironic_han_liu_yu_peace_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_liu_yu_peace_resource_level_3	ironic_han_liu_yu_peace_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_liu_yu_peace_resource_level_4	ironic_han_liu_yu_peace_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_liu_yu_peace_resource_level_1	ironic_han_liu_yu_peace_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_liu_yu_peace_resource_level_2	ironic_han_liu_yu_peace_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_liu_yu_peace_resource_level_3	ironic_han_liu_yu_peace_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_liu_yu_peace_resource_level_4	ironic_han_liu_yu_peace_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_liu_yu_peace_resource_level_1	3k_main_effect_characters_satisfaction_bonus_faction	faction_to_character_own_factionwide	2.0000	start_turn_completed
ironic_liu_yu_peace_resource_level_2	3k_main_effect_characters_satisfaction_bonus_faction	faction_to_character_own_factionwide	5.0000	start_turn_completed
ironic_liu_yu_peace_resource_level_3	3k_main_effect_characters_satisfaction_bonus_faction	faction_to_character_own_factionwide	8.0000	start_turn_completed
ironic_liu_yu_peace_resource_level_4	3k_main_effect_characters_satisfaction_bonus_faction	faction_to_character_own_factionwide	10.0000	start_turn_completed
ironic_liu_yu_peace_resource_level_1	ironic_han_liu_yu_peace_imperial_favour	faction_to_faction_own	1.0000	start_turn_completed
ironic_liu_yu_peace_resource_level_2	ironic_han_liu_yu_peace_imperial_favour	faction_to_faction_own	2.0000	start_turn_completed
ironic_liu_yu_peace_resource_level_3	ironic_han_liu_yu_peace_imperial_favour	faction_to_faction_own	3.0000	start_turn_completed
ironic_liu_yu_peace_resource_level_4	ironic_han_liu_yu_peace_imperial_favour	faction_to_faction_own	5.0000	start_turn_completed
ironic_liu_yu_peace_resource_level_4	3k_main_faction_diplomacy_mod	faction_to_faction_own	15.0000	start_turn_completed
ironic_liu_yu_peace_resource_level_1	3k_main_effect_unit_stats_unit_upkeep_all_units	faction_to_force_own_territory_yours	-5.0000	start_turn_completed
ironic_liu_yu_peace_resource_level_2	3k_main_effect_unit_stats_unit_upkeep_all_units	faction_to_force_own_territory_yours	-15.0000	start_turn_completed
ironic_liu_yu_peace_resource_level_3	3k_main_effect_unit_stats_unit_upkeep_all_units	faction_to_force_own_territory_yours	-25.0000	start_turn_completed
ironic_liu_yu_peace_resource_level_4	3k_main_effect_unit_stats_unit_upkeep_all_units	faction_to_force_own_territory_yours	-35.0000	start_turn_completed
3k_main_effect_bundle_public_order_content_main_liu_yu	3k_main_effect_province_population_attraction_from_public_order	province_to_region_own	1.0000	end_round_completed
3k_main_effect_bundle_public_order_happy_main_liu_yu	3k_main_effect_province_population_attraction_from_public_order	province_to_region_own	2.0000	end_round_completed
3k_main_effect_bundle_public_order_indifferent_main_liu_yu	3k_dummy_effect_public_order_indifferent	province_to_province_own_unseen	1.0000	start_round_completed
3k_main_effect_bundle_public_order_jubilant_main_liu_yu	3k_main_effect_province_population_attraction_from_public_order	province_to_region_own	3.0000	end_round_completed
3k_main_effect_bundle_public_order_outraged_main_liu_yu	3k_dlc07_pooled_factor_resource_imperial_favour_public_order	province_to_faction_unseen	-1.0000	start_turn_completed
3k_main_effect_bundle_public_order_outraged_main_liu_yu	3k_main_effect_province_population_attraction_from_public_order	province_to_region_own	-12.0000	end_round_completed
3k_main_effect_bundle_public_order_troubled_main_liu_yu	3k_main_effect_province_population_attraction_from_public_order	province_to_region_own	-4.0000	end_round_completed
3k_main_effect_bundle_public_order_unhappy_main_liu_yu	3k_main_effect_province_population_attraction_from_public_order	province_to_region_own	-8.0000	end_round_completed
3k_main_effect_bundle_public_order_content_main_liu_yu	ironic_han_liu_yu_peace_public_order	province_to_faction_unseen	3.0000	end_round_completed
3k_main_effect_bundle_public_order_happy_main_liu_yu	ironic_han_liu_yu_peace_public_order	province_to_faction_unseen	2.0000	end_round_completed
3k_main_effect_bundle_public_order_indifferent_main_liu_yu	ironic_han_liu_yu_peace_public_order	province_to_faction_unseen	1.0000	end_round_completed
3k_main_effect_bundle_public_order_jubilant_main_liu_yu	ironic_han_liu_yu_peace_public_order	province_to_faction_unseen	5.0000	end_round_completed
3k_main_effect_bundle_public_order_outraged_main_liu_yu	ironic_han_liu_yu_peace_public_order	province_to_faction_unseen	-5.0000	end_round_completed
3k_main_effect_bundle_public_order_troubled_main_liu_yu	ironic_han_liu_yu_peace_public_order	province_to_faction_unseen	-3.0000	end_round_completed
3k_main_effect_bundle_public_order_unhappy_main_liu_yu	ironic_han_liu_yu_peace_public_order	province_to_faction_unseen	-2.0000	end_round_completed
ironic_liu_yu_peace_captives_recruit	ironic_liu_yu_peace_captives_post_battle	force_to_faction_own_factionwide	2.0000	end_round_completed
ironic_liu_yu_peace_captives_execute	ironic_han_liu_yu_peace_executed	force_to_faction_own_factionwide	-10.0000	end_round_completed
ironic_liu_yu_peace_captives_release	ironic_liu_yu_peace_captives_post_battle	force_to_faction_own_factionwide	4.0000	end_round_completed
