effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/qu_panresource				
ironic_madness_resource_level_0	ironic_madness_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_madness_resource_level_1	ironic_madness_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_madness_resource_level_2	ironic_madness_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_madness_resource_level_3	ironic_madness_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_madness_resource_level_4	ironic_madness_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_madness_resource_level_0	ironic_madness_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_madness_resource_level_1	ironic_madness_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_madness_resource_level_2	ironic_madness_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_madness_resource_level_3	ironic_madness_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_madness_resource_level_4	ironic_madness_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_madness_resource_level_0	ironic_madness_event_tier_0	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_madness_resource_level_1	ironic_madness_event_tier_1	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_madness_resource_level_2	ironic_madness_event_tier_2	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_madness_resource_level_3	ironic_madness_event_tier_3	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_madness_resource_level_4	ironic_madness_event_tier_4	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_madness_effect_bundle	ironic_frontend_description_qu_pan_1	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_madness_effect_bundle	ironic_frontend_description_qu_pan_2	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_madness_effect_bundle	ironic_frontend_description_qu_pan_3	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_madness_effect_bundle	ironic_frontend_description_qu_pan_4	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_madness_effect_bundle	ironic_frontend_description_qu_pan_5	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_madness_parrot_economy	3k_main_effect_economy_gdp_mod_all	faction_to_region_own_unseen	250.0000	start_turn_completed
ironic_madness_satisfaction_bonus	3k_main_effect_characters_satisfaction_bonus_character	faction_to_character_own_factionwide	25.0000	start_turn_completed
ironic_madness_satisfaction_bonus	3k_main_effect_province_public_order_faction	faction_to_province_own	10.0000	start_turn_completed
ironic_madness_extreme_spears	3k_main_effect_unit_stats_armour_mod_wood_units	faction_to_force_own	15.0000	start_turn_completed
