effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/sheng_xianresource				
ironic_inner_circle_resource_level_0	ironic_inner_circle_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_inner_circle_resource_level_1	ironic_inner_circle_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_inner_circle_resource_level_0	ironic_inner_circle_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_inner_circle_resource_level_1	ironic_inner_circle_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_inner_circle_resource_level_0	3k_main_effect_characters_satisfaction_bonus_faction	faction_to_character_own	5.0000	start_turn_completed
ironic_inner_circle_resource_level_0	3k_main_effect_character_salary	faction_to_character_own	-20.0000	start_turn_completed
ironic_inner_circle_resource_level_1	3k_main_effect_character_salary	faction_to_character_own	-30.0000	start_turn_completed
ironic_inner_circle_resource_level_1	3k_main_effect_province_building_construction_cost_mod	faction_to_region_own	-20.0000	start_turn_completed
ironic_inner_circle_resource_level_1	3k_main_effect_characters_satisfaction_bonus_faction	faction_to_character_own	15.0000	start_turn_completed
ironic_inner_circle_resource_level_1	3k_main_effect_character_pool_size	faction_to_faction_own	10.0000	start_turn_completed
ironic_inner_circle_relationships_negative_3	ironic_inner_circle_relationships	character_to_faction	-6.0000	start_turn_completed
ironic_inner_circle_relationships_negative_2	ironic_inner_circle_relationships	character_to_faction	-4.0000	start_turn_completed
ironic_inner_circle_relationships_negative_1	ironic_inner_circle_relationships	character_to_faction	-2.0000	start_turn_completed
ironic_inner_circle_relationships_positive_1	ironic_inner_circle_relationships	character_to_faction	2.0000	start_turn_completed
ironic_inner_circle_relationships_positive_2	ironic_inner_circle_relationships	character_to_faction	4.0000	start_turn_completed
ironic_inner_circle_relationships_positive_3	ironic_inner_circle_relationships	character_to_faction	6.0000	start_turn_completed
ironic_inner_circle_effect_bundle	ironic_inner_circle_effect_bundle_1	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_inner_circle_effect_bundle	ironic_inner_circle_effect_bundle_2	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_inner_circle_effect_bundle	ironic_inner_circle_effect_bundle_3	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_inner_circle_effect_bundle	ironic_inner_circle_effect_bundle_4	faction_to_faction_own_unseen	1.0000	start_turn_completed
