effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/shiwu(wei)				
chibi_effect_bundle_pooled_resource_sima_wei_level_1	3k_main_effect_replenishment_faction	faction_to_force_own	-4.0000	start_turn_completed
chibi_effect_bundle_pooled_resource_sima_wei_level_1	ep_dummy_effect_faction_unique_sima_wei_fury_expense	faction_to_faction_own_unseen	1.0000	start_turn_completed
chibi_effect_bundle_pooled_resource_sima_wei_level_1	ep_dummy_effect_faction_unique_sima_wei_fury_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
chibi_effect_bundle_pooled_resource_sima_wei_level_1	3k_main_faction_diplomacy_mod_all_except_han_empire	faction_to_faction_own	5.0000	start_turn_completed
chibi_effect_bundle_pooled_resource_sima_wei_level_1	3k_main_effect_force_all_campaign_movement_range	faction_to_force_own	5.0000	start_turn_completed
chibi_effect_bundle_pooled_resource_sima_wei_level_2	3k_main_effect_force_retinue_upkeep	faction_to_force_own	-5.0000	start_turn_completed
chibi_effect_bundle_pooled_resource_sima_wei_level_2	3k_main_effect_replenishment_faction	faction_to_force_own	2.0000	start_turn_completed
chibi_effect_bundle_pooled_resource_sima_wei_level_2	ep_dummy_effect_faction_unique_sima_wei_fury_expense	faction_to_faction_own_unseen	1.0000	start_turn_completed
chibi_effect_bundle_pooled_resource_sima_wei_level_2	ep_dummy_effect_faction_unique_sima_wei_fury_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
chibi_effect_bundle_pooled_resource_sima_wei_level_2	3k_main_faction_diplomacy_mod_all_except_han_empire	faction_to_faction_own	-5.0000	start_turn_completed
chibi_effect_bundle_pooled_resource_sima_wei_level_2	ep_effect_faction_resource_sima_wei_decay	faction_to_faction_own	-2.0000	start_turn_completed
chibi_effect_bundle_pooled_resource_sima_wei_level_2	3k_main_effect_force_all_campaign_movement_range	faction_to_force_own	10.0000	start_turn_completed
chibi_effect_bundle_pooled_resource_sima_wei_level_3	3k_main_effect_force_retinue_upkeep	faction_to_force_own	-10.0000	start_turn_completed
chibi_effect_bundle_pooled_resource_sima_wei_level_3	3k_main_effect_replenishment_faction	faction_to_force_own	8.0000	start_turn_completed
chibi_effect_bundle_pooled_resource_sima_wei_level_3	ep_dummy_effect_faction_unique_sima_wei_fury_expense	faction_to_faction_own_unseen	1.0000	start_turn_completed
chibi_effect_bundle_pooled_resource_sima_wei_level_3	ep_dummy_effect_faction_unique_sima_wei_fury_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
chibi_effect_bundle_pooled_resource_sima_wei_level_3	3k_main_faction_diplomacy_mod_all_except_han_empire	faction_to_faction_own	-15.0000	start_turn_completed
chibi_effect_bundle_pooled_resource_sima_wei_level_3	ep_effect_faction_resource_sima_wei_decay	faction_to_faction_own	-5.0000	start_turn_completed
chibi_effect_bundle_pooled_resource_sima_wei_level_3	3k_main_effect_force_all_campaign_movement_range	faction_to_force_own	25.0000	start_turn_completed
chibi_effect_bundle_pooled_resource_sima_wei_level_4	3k_main_effect_force_retinue_upkeep	faction_to_force_own	-20.0000	start_turn_completed
chibi_effect_bundle_pooled_resource_sima_wei_level_4	3k_main_effect_replenishment_faction	faction_to_force_own	14.0000	start_turn_completed
chibi_effect_bundle_pooled_resource_sima_wei_level_4	ep_dummy_effect_faction_unique_sima_wei_fury_expense	faction_to_faction_own_unseen	1.0000	start_turn_completed
chibi_effect_bundle_pooled_resource_sima_wei_level_4	ep_dummy_effect_faction_unique_sima_wei_fury_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
chibi_effect_bundle_pooled_resource_sima_wei_level_4	3k_main_faction_diplomacy_mod_all_except_han_empire	faction_to_faction_own	-25.0000	start_turn_completed
chibi_effect_bundle_pooled_resource_sima_wei_level_4	ep_effect_faction_resource_sima_wei_decay	faction_to_faction_own	-12.0000	start_turn_completed
chibi_effect_bundle_pooled_resource_sima_wei_level_4	3k_main_effect_force_all_campaign_movement_range	faction_to_force_own	50.0000	start_turn_completed
