effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/wuhuanresource				
ironic_wuhuan_resource_level_0	ironic_wuhuan_decay	faction_to_faction_own_unseen	-40.0000	start_turn_completed
ironic_wuhuan_resource_level_1	ironic_wuhuan_decay	faction_to_faction_own_unseen	-80.0000	start_turn_completed
ironic_wuhuan_resource_level_2	ironic_wuhuan_decay	faction_to_faction_own_unseen	-120.0000	start_turn_completed
ironic_wuhuan_resource_level_3	ironic_wuhuan_decay	faction_to_faction_own_unseen	-160.0000	start_turn_completed
ironic_wuhuan_resource_level_4	ironic_wuhuan_decay	faction_to_faction_own_unseen	-200.0000	start_turn_completed
ironic_wuhuan_resource_level_5	ironic_wuhuan_decay	faction_to_faction_own_unseen	-240.0000	start_turn_completed
ironic_wuhuan_resource_level_0	3k_main_effect_force_all_campaign_post_battle_loot_income	faction_to_faction_own_unseen	5.0000	start_turn_completed
ironic_wuhuan_resource_level_1	3k_main_effect_force_all_campaign_post_battle_loot_income	faction_to_faction_own_unseen	20.0000	start_turn_completed
ironic_wuhuan_resource_level_2	3k_main_effect_force_all_campaign_post_battle_loot_income	faction_to_faction_own_unseen	35.0000	start_turn_completed
ironic_wuhuan_resource_level_3	3k_main_effect_force_all_campaign_post_battle_loot_income	faction_to_faction_own_unseen	50.0000	start_turn_completed
ironic_wuhuan_resource_level_4	3k_main_effect_force_all_campaign_post_battle_loot_income	faction_to_faction_own_unseen	65.0000	start_turn_completed
ironic_wuhuan_resource_level_5	3k_main_effect_force_all_campaign_post_battle_loot_income	faction_to_faction_own_unseen	100.0000	start_turn_completed
ironic_wuhuan_resource_level_1	3k_main_effect_force_military_supplies_from_post_battle	faction_to_army_own	2.0000	start_turn_completed
ironic_wuhuan_resource_level_2	3k_main_effect_force_military_supplies_from_post_battle	faction_to_army_own	4.0000	start_turn_completed
ironic_wuhuan_resource_level_3	3k_main_effect_force_military_supplies_from_post_battle	faction_to_army_own	8.0000	start_turn_completed
ironic_wuhuan_resource_level_4	3k_main_effect_force_military_supplies_from_post_battle	faction_to_army_own	12.0000	start_turn_completed
ironic_wuhuan_resource_level_5	3k_main_effect_force_military_supplies_from_post_battle	faction_to_army_own	15.0000	start_turn_completed
ironic_wuhuan_resource_level_1	3k_main_effect_force_all_campaign_movement_range	faction_to_army_own	5.0000	start_turn_completed
ironic_wuhuan_resource_level_2	3k_main_effect_force_all_campaign_movement_range	faction_to_army_own	10.0000	start_turn_completed
ironic_wuhuan_resource_level_3	3k_main_effect_force_all_campaign_movement_range	faction_to_army_own	15.0000	start_turn_completed
ironic_wuhuan_resource_level_4	3k_main_effect_force_all_campaign_movement_range	faction_to_army_own	20.0000	start_turn_completed
ironic_wuhuan_resource_level_5	3k_main_effect_force_all_campaign_movement_range	faction_to_army_own	25.0000	start_turn_completed
ironic_wuhuan_resource_level_0	3k_main_effect_unit_stats_morale_own_forces_when_attacking	faction_to_army_own	-3.0000	start_turn_completed
ironic_wuhuan_resource_level_1	3k_main_effect_unit_stats_morale_own_forces_when_attacking	faction_to_army_own	1.0000	start_turn_completed
ironic_wuhuan_resource_level_2	3k_main_effect_unit_stats_morale_own_forces_when_attacking	faction_to_army_own	2.0000	start_turn_completed
ironic_wuhuan_resource_level_3	3k_main_effect_unit_stats_morale_own_forces_when_attacking	faction_to_army_own	3.0000	start_turn_completed
ironic_wuhuan_resource_level_4	3k_main_effect_unit_stats_morale_own_forces_when_attacking	faction_to_army_own	4.0000	start_turn_completed
ironic_wuhuan_resource_level_5	3k_main_effect_unit_stats_morale_own_forces_when_attacking	faction_to_army_own	5.0000	start_turn_completed
ironic_wuhuan_resource_level_4	3k_main_effect_attribute_raider	faction_to_army_own	1.0000	start_turn_completed
ironic_wuhuan_resource_level_5	3k_main_effect_attribute_raider	faction_to_army_own	1.0000	start_turn_completed
ironic_wuhuan_resource_level_5	3k_main_effect_attribute_unruly	faction_to_army_own	1.0000	start_turn_completed
ironic_wuhuan_frontend	ironic_wuhuan_frontend_1	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_wuhuan_frontend	ironic_wuhuan_frontend_2	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_wuhuan_frontend	ironic_wuhuan_frontend_3	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_wuhuan_frontend	ironic_wuhuan_frontend_4	faction_to_faction_own_unseen	1.0000	start_turn_completed
