effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/xiahouyuanresource				
ironic_xiahou_yuan_resource_level_1	ironic_xiahou_yuan_decay	faction_to_faction_own_unseen	-10.0000	start_turn_completed
ironic_xiahou_yuan_resource_level_2	ironic_xiahou_yuan_decay	faction_to_faction_own_unseen	-35.0000	start_turn_completed
ironic_xiahou_yuan_resource_level_3	ironic_xiahou_yuan_decay	faction_to_faction_own_unseen	-70.0000	start_turn_completed
ironic_xiahou_yuan_resource_level_4	ironic_xiahou_yuan_decay	faction_to_faction_own_unseen	-125.0000	start_turn_completed
ironic_xiahou_yuan_resource_level_0	3k_main_skill_run_speed	faction_to_force_own_unseen	-10.0000	start_turn_completed
ironic_xiahou_yuan_resource_level_2	3k_main_skill_run_speed	faction_to_force_own_unseen	10.0000	start_turn_completed
ironic_xiahou_yuan_resource_level_3	3k_main_skill_run_speed	faction_to_force_own_unseen	15.0000	start_turn_completed
ironic_xiahou_yuan_resource_level_4	3k_main_skill_run_speed	faction_to_force_own_unseen	25.0000	start_turn_completed
ironic_xiahou_yuan_resource_level_0	3k_main_effect_province_mustering_speed	faction_to_force_own_unseen	2.0000	start_turn_completed
ironic_xiahou_yuan_resource_level_1	3k_main_effect_province_mustering_speed	faction_to_force_own_unseen	1.0000	start_turn_completed
ironic_xiahou_yuan_resource_level_2	3k_main_effect_province_mustering_speed	faction_to_force_own_unseen	-1.0000	start_turn_completed
ironic_xiahou_yuan_resource_level_3	3k_main_effect_province_mustering_speed	faction_to_force_own_unseen	-2.0000	start_turn_completed
ironic_xiahou_yuan_resource_level_4	3k_main_effect_province_mustering_speed	faction_to_force_own_unseen	-3.0000	start_turn_completed
ironic_xiahou_yuan_resource_level_2	3k_main_effect_unit_rank_new_recruits	faction_to_character_own_factionwide	1.0000	start_turn_completed
ironic_xiahou_yuan_resource_level_3	3k_main_effect_unit_rank_new_recruits	faction_to_character_own_factionwide	2.0000	start_turn_completed
ironic_xiahou_yuan_resource_level_4	3k_main_effect_unit_rank_new_recruits	faction_to_character_own_factionwide	3.0000	start_turn_completed
ironic_xiahou_yuan_resource_level_0	3k_main_effect_unit_stats_unit_upkeep_all_units	faction_to_faction_own_unseen	10.0000	start_turn_completed
ironic_xiahou_yuan_resource_level_2	3k_main_effect_unit_stats_unit_upkeep_all_units	faction_to_force_own_unseen	-10.0000	start_turn_completed
