effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/zhang_jin_sets				
np_set_crown	3k_main_effect_characters_experience_bonus	faction_to_character_own_factionwide	25.0000	start_turn_completed
np_set_hand	3k_main_effect_character_stat_mod_ap_damage	faction_to_army_own	15.0000	start_turn_completed
np_set_guard	3k_main_effect_character_stat_mod_armour	faction_to_army_own	10.0000	start_turn_completed
np_set_root	3k_main_effect_character_stat_mod_battle_movement_speed	faction_to_army_own	15.0000	start_turn_completed
np_set_stride	3k_main_effect_replenishment_faction	faction_to_force_own	8.0000	start_turn_completed
np_set_breath	3k_main_effect_replenishment_faction	faction_to_force_own	8.0000	start_turn_completed
np_set_belly	3k_main_effect_province_public_order_faction	faction_to_province_own	4.0000	start_turn_completed
np_set_spine	3k_main_effect_province_public_order_faction	faction_to_province_own	4.0000	start_turn_completed
np_set_whisper	ironic_qi_affliction_flow	faction_to_faction_own	2.0000	start_turn_completed
np_set_broken	ironic_qi_affliction_flow	faction_to_faction_own	2.0000	start_turn_completed
np_set_hollow	ironic_qi_affliction_flow	faction_to_faction_own	3.0000	start_turn_completed
np_set_sunken	ironic_qi_affliction_flow	faction_to_faction_own	3.0000	start_turn_completed
np_set_upper	3k_main_effect_characters_experience_bonus	faction_to_character_own_factionwide	25.0000	start_turn_completed
np_set_upper	3k_main_effect_character_stat_mod_ammunition	faction_to_army_own	15.0000	start_turn_completed
np_set_warrior	3k_main_effect_character_stat_mod_melee_damage	faction_to_army_own	15.0000	start_turn_completed
np_set_warrior	3k_main_effect_character_stat_mod_ap_damage	faction_to_army_own	15.0000	start_turn_completed
np_set_steward	3k_main_effect_province_public_order_faction	faction_to_province_own	4.0000	start_turn_completed
np_set_court	3k_main_effect_replenishment_faction	faction_to_force_own	10.0000	start_turn_completed
np_set_court	3k_main_effect_province_public_order_faction	faction_to_province_own	4.0000	start_turn_completed
np_set_tainted	ironic_qi_affliction_flow	faction_to_faction_own	4.0000	start_turn_completed
np_set_crippled	ironic_qi_affliction_flow	faction_to_faction_own	4.0000	start_turn_completed
np_set_marrow	3k_main_effect_character_stat_mod_armour	faction_to_army_own	10.0000	start_turn_completed
np_set_pierce	3k_main_effect_character_stat_mod_missile_damage	faction_to_army_own	15.0000	start_turn_completed
np_set_master	3k_main_effect_characters_experience_bonus	faction_to_character_own_factionwide	20.0000	start_turn_completed
np_set_master	ironic_qi_affliction_flow	faction_to_faction_own	5.0000	start_turn_completed
np_set_jade	3k_main_effect_replenishment_faction	faction_to_force_own	12.0000	start_turn_completed
np_set_jade	3k_main_effect_character_stat_mod_melee_damage	faction_to_army_own	12.0000	start_turn_completed
np_set_jade	3k_main_effect_province_public_order_faction	faction_to_province_own	5.0000	start_turn_completed
np_set_vermillion	ironic_qi_affliction_flow	faction_to_faction_own	10.0000	start_turn_completed
np_set_vermillion	3k_main_effect_character_stat_mod_melee_damage	faction_to_army_own	12.0000	start_turn_completed
np_set_balanced	3k_main_effect_character_stat_mod_armour	faction_to_army_own	10.0000	start_turn_completed
np_set_balanced	ironic_qi_affliction_flow	faction_to_faction_own	5.0000	start_turn_completed
