effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/zhangchaoresource				
ironic_Calligraphy_resource_level_2	ironic_Calligraphy_decay	faction_to_faction_own	-5.0000	start_turn_completed
ironic_Calligraphy_resource_level_3	ironic_Calligraphy_decay	faction_to_faction_own	-10.0000	start_turn_completed
ironic_Calligraphy_resource_level_4	ironic_Calligraphy_decay	faction_to_faction_own	-20.0000	start_turn_completed
ironic_Calligraphy_resource_level_0	ironic_Calligraphy_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_Calligraphy_resource_level_1	ironic_Calligraphy_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_Calligraphy_resource_level_2	ironic_Calligraphy_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_Calligraphy_resource_level_3	ironic_Calligraphy_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_Calligraphy_resource_level_4	ironic_Calligraphy_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_Calligraphy_resource_level_0	ironic_Calligraphy_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_Calligraphy_resource_level_1	ironic_Calligraphy_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_Calligraphy_resource_level_2	ironic_Calligraphy_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_Calligraphy_resource_level_3	ironic_Calligraphy_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_Calligraphy_resource_level_4	ironic_Calligraphy_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_Calligraphy_effect_bundle	ironic_frontend_description_Calligraphy_1	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_Calligraphy_effect_bundle	ironic_frontend_description_Calligraphy_2	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_Calligraphy_effect_bundle	ironic_frontend_description_Calligraphy_3	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_Calligraphy_effect_bundle	ironic_frontend_description_Calligraphy_4	faction_to_faction_own_unseen	1.0000	start_turn_completed
3k_main_pooled_resource_Calligraphy_bundle_character_1	ironic_Calligraphy_characters	character_to_faction_unseen	-5.0000	start_turn_completed
3k_main_pooled_resource_Calligraphy_bundle_character_2	ironic_Calligraphy_characters	character_to_faction_unseen	-2.0000	start_turn_completed
3k_main_pooled_resource_Calligraphy_bundle_character_3	ironic_Calligraphy_characters	character_to_faction_unseen	2.0000	start_turn_completed
3k_main_pooled_resource_Calligraphy_bundle_character_4	ironic_Calligraphy_characters	character_to_faction_unseen	3.0000	start_turn_completed
3k_main_pooled_resource_Calligraphy_bundle_character_2	3k_main_effect_pooled_resource_satisfaction_from_loyalty	character_to_faction_unseen	-1.0000	start_turn_completed
3k_main_pooled_resource_Calligraphy_bundle_character_3	3k_main_effect_pooled_resource_satisfaction_from_loyalty	character_to_faction_unseen	0.0000	start_turn_completed
3k_main_pooled_resource_Calligraphy_bundle_character_4	3k_main_effect_pooled_resource_satisfaction_from_loyalty	character_to_faction_unseen	1.0000	start_turn_completed
ironic_Calligraphy_resource_level_1	3k_main_effect_characters_experience_bonus	faction_to_character_own	5.0000	start_turn_completed
ironic_Calligraphy_resource_level_2	3k_main_effect_characters_experience_bonus	faction_to_character_own	15.0000	start_turn_completed
ironic_Calligraphy_resource_level_3	3k_main_effect_characters_experience_bonus	faction_to_character_own	30.0000	start_turn_completed
ironic_Calligraphy_resource_level_4	3k_main_effect_characters_experience_bonus	faction_to_character_own	50.0000	start_turn_completed
ironic_Calligraphy_resource_level_1	3k_main_skill_unit_experience	faction_to_force_own	10.0000	start_turn_completed
ironic_Calligraphy_resource_level_2	3k_main_skill_unit_experience	faction_to_force_own	25.0000	start_turn_completed
ironic_Calligraphy_resource_level_3	3k_main_skill_unit_experience	faction_to_force_own	50.0000	start_turn_completed
ironic_Calligraphy_resource_level_4	3k_main_skill_unit_experience	faction_to_force_own	100.0000	start_turn_completed
ironic_Calligraphy_resource_level_1	3k_main_effect_economy_gdp_mod_all	faction_to_province_own	5.0000	start_turn_completed
ironic_Calligraphy_resource_level_2	3k_main_effect_economy_gdp_mod_all	faction_to_province_own	10.0000	start_turn_completed
ironic_Calligraphy_resource_level_3	3k_main_effect_economy_gdp_mod_all	faction_to_province_own	15.0000	start_turn_completed
ironic_Calligraphy_resource_level_4	3k_main_effect_economy_gdp_mod_all	faction_to_province_own	25.0000	start_turn_completed
ironic_Calligraphy_resource_level_1	3k_main_effect_character_salary	faction_to_character_own	5.0000	start_turn_completed
ironic_Calligraphy_resource_level_2	3k_main_effect_character_salary	faction_to_character_own	15.0000	start_turn_completed
ironic_Calligraphy_resource_level_3	3k_main_effect_character_salary	faction_to_character_own	20.0000	start_turn_completed
ironic_Calligraphy_resource_level_4	3k_main_effect_character_salary	faction_to_character_own	25.0000	start_turn_completed
ironic_Calligraphy_resource_level_1	3k_main_effect_force_retinue_upkeep	faction_to_force_own	5.0000	start_turn_completed
ironic_Calligraphy_resource_level_2	3k_main_effect_force_retinue_upkeep	faction_to_force_own	10.0000	start_turn_completed
ironic_Calligraphy_resource_level_3	3k_main_effect_force_retinue_upkeep	faction_to_force_own	15.0000	start_turn_completed
ironic_Calligraphy_resource_level_4	3k_main_effect_force_retinue_upkeep	faction_to_force_own	20.0000	start_turn_completed
ironic_Calligraphy_resource_level_0	3k_main_effect_character_salary	faction_to_character_own	-15.0000	start_turn_completed
ironic_Calligraphy_resource_level_0	3k_main_effect_force_retinue_upkeep	faction_to_force_own	-10.0000	start_turn_completed
