effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/zhuge_xuanresource				
ironic_sleeping_dragon_resource_level_0	ironic_sleeping_dragon_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_0	ironic_sleeping_dragon_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_1	ironic_sleeping_dragon_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_1	ironic_sleeping_dragon_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_2	ironic_sleeping_dragon_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_2	ironic_sleeping_dragon_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_3	ironic_sleeping_dragon_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_3	ironic_sleeping_dragon_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_4	ironic_sleeping_dragon_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_4	ironic_sleeping_dragon_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_5	ironic_sleeping_dragon_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_5	ironic_sleeping_dragon_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_6	ironic_sleeping_dragon_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_6	ironic_sleeping_dragon_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_7	ironic_sleeping_dragon_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_7	ironic_sleeping_dragon_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_0	3k_main_effect_characters_experience_bonus	faction_to_character_own_factionwide	75.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_0	3k_main_effect_character_salary	faction_to_character_own_factionwide	-100.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_0	3k_main_effect_unit_stats_unit_upkeep_all_units	faction_to_force_own	25.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_0	3k_main_effect_unit_stats_morale_own_forces_when_attacking	faction_to_force_own	-9.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_0	ironic_sleeping_dragon_decay	faction_to_faction_own_unseen	25.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_8	3k_main_effect_characters_experience_bonus	faction_to_character_own_factionwide	-75.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_8	3k_main_effect_character_salary	faction_to_character_own_factionwide	50.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_8	3k_main_effect_unit_stats_unit_upkeep_all_units	faction_to_force_own	-25.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_8	3k_main_skill_unit_experience	faction_to_force_own	75.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_8	ironic_sleeping_dragon_decay	faction_to_faction_own_unseen	-25.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_1	3k_main_effect_characters_experience_bonus	faction_to_character_own_factionwide	50.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_1	3k_main_effect_character_salary	faction_to_character_own_factionwide	-75.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_1	3k_main_effect_unit_stats_unit_upkeep_all_units	faction_to_force_own	20.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_1	3k_main_effect_unit_stats_morale_own_forces_when_attacking	faction_to_force_own	-6.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_1	ironic_sleeping_dragon_decay	faction_to_faction_own_unseen	20.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_2	3k_main_effect_characters_experience_bonus	faction_to_character_own_factionwide	30.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_2	3k_main_effect_character_salary	faction_to_character_own_factionwide	-50.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_2	3k_main_effect_unit_stats_unit_upkeep_all_units	faction_to_force_own	10.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_2	3k_main_effect_unit_stats_morale_own_forces_when_attacking	faction_to_force_own	-3.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_2	ironic_sleeping_dragon_decay	faction_to_faction_own_unseen	15.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_3	3k_main_effect_characters_experience_bonus	faction_to_character_own_factionwide	25.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_3	3k_main_effect_character_salary	faction_to_character_own_factionwide	-25.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_3	3k_main_effect_unit_stats_unit_upkeep_all_units	faction_to_force_own	5.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_3	3k_main_effect_unit_stats_morale_own_forces_when_attacking	faction_to_force_own	-1.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_3	ironic_sleeping_dragon_decay	faction_to_faction_own_unseen	10.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_4	3k_main_effect_characters_experience_bonus	faction_to_character_own_factionwide	15.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_4	3k_main_effect_character_salary	faction_to_character_own_factionwide	-10.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_4	3k_main_effect_unit_stats_unit_upkeep_all_units	faction_to_force_own	-5.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_4	3k_main_skill_unit_experience	faction_to_force_own	10.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_7	3k_main_effect_characters_experience_bonus	faction_to_character_own_factionwide	-50.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_7	3k_main_effect_character_salary	faction_to_character_own_factionwide	25.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_7	3k_main_effect_unit_stats_unit_upkeep_all_units	faction_to_force_own	-20.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_7	3k_main_skill_unit_experience	faction_to_force_own	50.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_7	ironic_sleeping_dragon_decay	faction_to_faction_own_unseen	-20.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_6	3k_main_effect_characters_experience_bonus	faction_to_character_own_factionwide	-25.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_6	3k_main_effect_character_salary	faction_to_character_own_factionwide	10.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_6	3k_main_effect_unit_stats_unit_upkeep_all_units	faction_to_force_own	-10.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_6	3k_main_skill_unit_experience	faction_to_force_own	25.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_6	ironic_sleeping_dragon_decay	faction_to_faction_own_unseen	-15.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_5	3k_main_effect_characters_experience_bonus	faction_to_character_own_factionwide	-10.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_5	3k_main_effect_character_salary	faction_to_character_own_factionwide	15.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_5	3k_main_effect_unit_stats_unit_upkeep_all_units	faction_to_force_own	-5.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_5	3k_main_skill_unit_experience	faction_to_force_own	15.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_5	ironic_sleeping_dragon_decay	faction_to_faction_own_unseen	-10.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_8	ironic_sleeping_dragon_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_sleeping_dragon_resource_level_8	ironic_sleeping_dragon_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_sleeping_dragon_effect_bundle	ironic_sleeping_dragon_effect_bundle_1	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_sleeping_dragon_effect_bundle	ironic_sleeping_dragon_effect_bundle_2	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_sleeping_dragon_effect_bundle	ironic_sleeping_dragon_effect_bundle_3	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_sleeping_dragon_effect_bundle	ironic_sleeping_dragon_effect_bundle_4	faction_to_faction_own_unseen	1.0000	start_turn_completed
