effect	icon	priority	category	elemental_group	generalised_description	max_value	icon_supplement_colour_type	ui_category
#effects_tables;9;db/effects_tables/data__								
3k_dlc04_ability_fire_bomb	unit_attributes.png	100	campaign			0.0000	positive_value_is_good	default
3k_dlc04_ability_foresight	unit_attributes.png	100	campaign			0.0000	positive_value_is_good	default
3k_dlc04_ability_from_the_ashes	unit_attributes.png	100	campaign			0.0000	positive_value_is_good	default
3k_dlc04_ability_heavenly_grace	unit_attributes.png	100	campaign			0.0000	positive_value_is_good	default
3k_dlc04_ability_hidden_strike	unit_attributes.png	100	campaign			0.0000	positive_value_is_good	default
3k_dlc04_ability_lord_of_heaven	unit_attributes.png	100	campaign			0.0000	positive_value_is_good	default
3k_dlc04_ability_lord_of_the_land	unit_attributes.png	100	campaign			0.0000	positive_value_is_good	default
3k_dlc04_ability_lord_of_the_people	unit_attributes.png	100	campaign			0.0000	positive_value_is_good	default
3k_dlc04_ability_sacrificial_strike	unit_attributes.png	100	campaign			0.0000	positive_value_is_good	default
3k_dlc04_ability_show_of_force	unit_attributes.png	100	campaign			0.0000	positive_value_is_good	default
3k_dlc04_ability_turning_the_tide	unit_attributes.png	100	campaign			0.0000	positive_value_is_good	default
3k_dlc04_ability_way_of_great_peace	unit_attributes.png	100	campaign			0.0000	positive_value_is_good	default
3k_dlc04_ability_way_of_the_thunder	unit_attributes.png	100	campaign			0.0000	positive_value_is_good	default
3k_dlc04_ability_way_of_war	unit_attributes.png	100	campaign			0.0000	positive_value_is_good	default
3k_dlc04_deployables_caltrops_disable	mh_deployables_caltrops.png	0	campaign			0.0000	positive_value_is_good	default
3k_dlc04_deployables_caltrops_enable	mh_deployables_caltrops.png	100	campaign			0.0000	positive_value_is_good	default
3k_dlc04_deployables_deployable_oil_enable	mh_deployables_burning_oil.png	100	campaign		3k_dlc04_frontend_generalised_description_deployables_oil	0.0000	positive_value_is_good	default
3k_dlc04_deployables_smokescreen_disable	mh_deployables_smoke_screen.png	0	campaign			0.0000	positive_value_is_good	default
3k_dlc04_deployables_smokescreen_enable	mh_deployables_smoke_screen.png	100	campaign			0.0000	positive_value_is_good	default
3k_dlc04_deployables_towers_enable	mh_deployables_tower.png	100	campaign		3k_dlc04_frontend_generalised_description_deployables_tower	0.0000	positive_value_is_good	default
3k_dlc04_deployables_wooden_stakes_enable	mh_deployables_stakes.png	100	campaign		3k_dlc04_frontend_generalised_description_deployables_stakes	0.0000	positive_value_is_good	default
3k_dlc04_dummy_zeal_info	info.png	5	campaign			0.0000	positive_value_is_good	info
3k_dlc04_dummy_zeal_zhang_bao_info	info.png	5	campaign			0.0000	positive_value_is_good	info
3k_dlc04_dummy_zeal_zhang_jue_info	info.png	5	campaign			0.0000	positive_value_is_good	info
3k_dlc04_dummy_zeal_zhang_liang_info	info.png	5	campaign			0.0000	positive_value_is_good	info
3k_dlc04_effect_character_satisfaction_bureaucrat_characters	mh_political_parties_icon_eunuchs.png	100	campaign			0.0000	positive_value_is_good	default
