effect	icon	priority	category	elemental_group	generalised_description	max_value	icon_supplement_colour_type	ui_category
#effects_tables;9;db/effects_tables/gongsunduhanrelation								
ironic_liaodong_han_relations_decay	3k_dlc07_imperial_decree.png	10000	campaign			0.0000	positive_value_is_good	default
ironic_liaodong_han_relations_armies	3k_dlc07_imperial_decree.png	10000	campaign			0.0000	positive_value_is_good	default
ironic_liaodong_han_relations_captives_post_battle	3k_dlc07_imperial_decree.png	100	campaign			0.0000	positive_value_is_good	default
ironic_liaodong_han_relations_characters	3k_dlc07_imperial_decree.png	100	campaign			0.0000	positive_value_is_good	default
ironic_liaodong_han_relations_garrisoned	3k_dlc07_imperial_decree.png	100	campaign			0.0000	positive_value_is_good	default
ironic_liaodong_han_relations_armies_on_field	3k_dlc07_imperial_decree.png	100	campaign			0.0000	positive_value_is_good	info
ironic_liaodong_han_relations_info_gain	info.png	1000	campaign			0.0000	positive_value_is_good	info
ironic_liaodong_han_relations_info_loss	info.png	1000	campaign			0.0000	positive_value_is_good	info
ironic_liaodong_han_relations_executed	3k_dlc07_imperial_decree.png	100	campaign			0.0000	positive_value_is_good	default
ironic_liaodong_han_relations_assignments	3k_dlc07_imperial_decree.png	100	campaign			0.0000	positive_value_is_good	default
ironic_frontend_description_liaodong_han_relations_1	info.png	1	campaign		ironic_frontend_description_liaodong_han_relations_1	0.0000	positive_value_is_good	default
ironic_frontend_description_liaodong_han_relations_2	info.png	2	campaign		ironic_frontend_description_liaodong_han_relations_2	0.0000	positive_value_is_good	default
ironic_frontend_description_liaodong_han_relations_3	info.png	3	campaign		ironic_frontend_description_liaodong_han_relations_3	0.0000	positive_value_is_good	default
ironic_frontend_description_liaodong_han_relations_4	info.png	4	campaign		ironic_frontend_description_liaodong_han_relations_4	0.0000	positive_value_is_good	default
ironic_liaodong_han_relations_negative_on_korea	3k_dlc07_imperial_decree.png	100	campaign			0.0000	neutral	default
ironic_liaodong_han_relations_positive_on_korea	3k_dlc07_imperial_decree.png	100	campaign			0.0000	neutral	default
ironic_liaodong_han_relations_buildings	3k_dlc07_imperial_decree.png	100	campaign			0.0000	positive_value_is_good	default
ironic_liaodong_han_relations_produces_follower	3k_dlc07_imperial_decree.png	100	campaign			0.0000	positive_value_is_good	default
