effect	icon	priority	category	elemental_group	generalised_description	max_value	icon_supplement_colour_type	ui_category
#effects_tables;9;db/effects_tables/gongsundukorearelation								
ironic_liaodong_korea_relations_decay	3k_dlc07_enemy_of_the_han.png	10000	campaign			0.0000	positive_value_is_good	default
ironic_liaodong_korea_relations_armies	3k_dlc07_enemy_of_the_han.png	10000	campaign			0.0000	positive_value_is_good	default
ironic_liaodong_korea_relations_captives_post_battle	3k_dlc07_enemy_of_the_han.png	100	campaign			0.0000	positive_value_is_good	default
ironic_liaodong_korea_relations_characters	3k_dlc07_enemy_of_the_han.png	100	campaign			0.0000	positive_value_is_good	default
ironic_liaodong_korea_relations_garrisoned	3k_dlc07_enemy_of_the_han.png	100	campaign			0.0000	positive_value_is_good	default
ironic_liaodong_korea_relations_armies_on_field	3k_dlc07_enemy_of_the_han.png	100	campaign			0.0000	positive_value_is_good	info
ironic_liaodong_korea_relations_info_gain	info.png	1000	campaign			0.0000	positive_value_is_good	info
ironic_liaodong_korea_relations_info_loss	info.png	1000	campaign			0.0000	positive_value_is_good	info
ironic_liaodong_korea_relations_executed	3k_dlc07_enemy_of_the_han.png	100	campaign			0.0000	positive_value_is_good	default
ironic_liaodong_korea_relations_assignments	3k_dlc07_enemy_of_the_han.png	100	campaign			0.0000	positive_value_is_good	default
ironic_frontend_description_liaodong_korea_relations_1	info.png	1	campaign		ironic_frontend_description_liaodong_korea_relations_1	0.0000	positive_value_is_good	default
ironic_frontend_description_liaodong_korea_relations_2	info.png	2	campaign		ironic_frontend_description_liaodong_korea_relations_2	0.0000	positive_value_is_good	default
ironic_frontend_description_liaodong_korea_relations_3	info.png	3	campaign		ironic_frontend_description_liaodong_korea_relations_3	0.0000	positive_value_is_good	default
ironic_frontend_description_liaodong_korea_relations_4	info.png	4	campaign		ironic_frontend_description_liaodong_korea_relations_4	0.0000	positive_value_is_good	default
ironic_liaodong_korea_relations_positive_on_han	3k_dlc07_enemy_of_the_han.png	100	campaign			0.0000	neutral	default
ironic_liaodong_korea_relations_negative_on_han	3k_dlc07_enemy_of_the_han.png	100	campaign			0.0000	neutral	default
ironic_liaodong_korea_relations_building	3k_dlc07_enemy_of_the_han.png	100	campaign			0.0000	positive_value_is_good	default
ironic_liaodong_korea_relations_produce_follower	3k_dlc07_enemy_of_the_han.png	100	campaign			0.0000	positive_value_is_good	default
