effect	icon	priority	category	elemental_group	generalised_description	max_value	icon_supplement_colour_type	ui_category
#effects_tables;9;db/effects_tables/wang_langresource								
ironic_experience_decay	character_experience.png	10000	campaign			0.0000	positive_value_is_good	default
ironic_experience_armies	character_experience.png	10000	campaign			0.0000	positive_value_is_good	default
ironic_experience_captives_post_battle	character_experience.png	100	campaign			0.0000	positive_value_is_good	default
ironic_experience_characters	character_experience.png	100	campaign			0.0000	positive_value_is_good	default
ironic_experience_garrisoned	character_experience.png	100	campaign			0.0000	positive_value_is_good	default
ironic_experience_vassalized	character_experience.png	100	campaign			0.0000	positive_value_is_good	default
ironic_experience_info_gain	info.png	1000	campaign			0.0000	positive_value_is_good	info
ironic_experience_info_loss	info.png	1000	campaign			0.0000	positive_value_is_good	info
ironic_experience_executed	character_experience.png	100	campaign			0.0000	positive_value_is_good	default
ironic_experience_assignments	character_experience.png	100	campaign			0.0000	positive_value_is_good	default
ironic_experience_wang_lang_rank	character_experience.png	100	campaign			0.0000	positive_value_is_good	default
ironic_experience_wang_lang_salary_increase	character_experience.png	100	campaign			0.0000	positive_value_is_good	default
ironic_wang_lang_frontend_1	character_experience.png	1	campaign		ironic_wang_lang_frontend_1	0.0000	positive_value_is_good	default
ironic_wang_lang_frontend_2	character_experience.png	2	campaign		ironic_wang_lang_frontend_2	0.0000	positive_value_is_good	default
ironic_wang_lang_frontend_3	character_experience.png	3	campaign		ironic_wang_lang_frontend_3	0.0000	positive_value_is_good	default
ironic_wang_lang_frontend_4	character_experience.png	4	campaign		ironic_wang_lang_frontend_4	0.0000	positive_value_is_good	default
