effect	icon	priority	category	elemental_group	generalised_description	max_value	icon_supplement_colour_type	ui_category
#effects_tables;9;db/effects_tables/wu_jingresource								
ironic_family_persistence_decay	icon_attitude_trusted_friend.png	10000	campaign			0.0000	positive_value_is_good	default
ironic_family_persistence_armies	icon_attitude_trusted_friend.png	10000	campaign			0.0000	positive_value_is_good	default
ironic_family_persistence_captives_post_battle	icon_attitude_trusted_friend.png	100	campaign			0.0000	positive_value_is_good	default
ironic_family_persistence_characters	icon_attitude_trusted_friend.png	100	campaign			0.0000	positive_value_is_good	default
ironic_family_persistence_garrisoned	icon_attitude_trusted_friend.png	100	campaign			0.0000	positive_value_is_good	default
ironic_family_persistence_vassalized	icon_attitude_trusted_friend.png	100	campaign			0.0000	positive_value_is_good	default
ironic_family_persistence_info_gain	info.png	1000	campaign			0.0000	positive_value_is_good	info
ironic_family_persistence_info_loss	info.png	1000	campaign			0.0000	positive_value_is_good	info
ironic_family_persistence_executed	icon_attitude_trusted_friend.png	100	campaign			0.0000	positive_value_is_good	default
ironic_family_persistence_assignments	icon_attitude_trusted_friend.png	100	campaign			0.0000	positive_value_is_good	default
3k_dlc06_effect_characters_satisfaction_bonus_wu_jing	satisfaction.png	40	campaign		3k_main_effect_description_buildings_faction_satisfaction	0.0000	positive_value_is_good	default
3k_dlc06_effect_characters_satisfaction_penalty_wu_jing	satisfaction.png	40	campaign		3k_main_effect_description_buildings_faction_satisfaction	0.0000	positive_value_is_good	default
ironic_wu_jing_frontend_1	icon_attitude_trusted_friend.png	1	campaign		ironic_wu_jing_frontend_1	0.0000	positive_value_is_good	default
ironic_wu_jing_frontend_2	icon_attitude_trusted_friend.png	2	campaign		ironic_wu_jing_frontend_2	0.0000	positive_value_is_good	default
ironic_wu_jing_frontend_3	icon_attitude_trusted_friend.png	3	campaign		ironic_wu_jing_frontend_3	0.0000	positive_value_is_good	default
ironic_wu_jing_frontend_4	icon_attitude_trusted_friend.png	4	campaign		ironic_wu_jing_frontend_4	0.0000	positive_value_is_good	default
