effect	icon	priority	category	elemental_group	generalised_description	max_value	icon_supplement_colour_type	ui_category
#effects_tables;9;db/effects_tables/zhuge_xuanresource								
ironic_sleeping_dragon_decay	mh_political_parties_icon_empress.png	10000	campaign			0.0000	neutral	default
ironic_sleeping_dragon_armies	mh_political_parties_icon_empress.png	10000	campaign			0.0000	neutral	default
ironic_sleeping_dragon_captives_post_battle	mh_political_parties_icon_empress.png	100	campaign			0.0000	neutral	default
ironic_sleeping_dragon_characters	mh_political_parties_icon_empress.png	100	campaign			0.0000	neutral	default
ironic_sleeping_dragon_garrisoned	mh_political_parties_icon_empress.png	100	campaign			0.0000	neutral	default
ironic_sleeping_dragon_vassalized	mh_political_parties_icon_empress.png	100	campaign			0.0000	neutral	default
ironic_sleeping_dragon_info_gain	info.png	1000	campaign			0.0000	neutral	info
ironic_sleeping_dragon_info_loss	info.png	1000	campaign			0.0000	neutral	info
ironic_sleeping_dragon_executed	mh_political_parties_icon_empress.png	100	campaign			0.0000	neutral	default
ironic_sleeping_dragon_assignments	mh_political_parties_icon_empress.png	100	campaign			0.0000	neutral	default
ironic_sleeping_dragon_effect_bundle_1	mh_political_parties_icon_empress.png	1	campaign		ironic_sleeping_dragon_effect_bundle_1	0.0000	positive_value_is_good	default
ironic_sleeping_dragon_effect_bundle_2	mh_political_parties_icon_empress.png	2	campaign		ironic_sleeping_dragon_effect_bundle_2	0.0000	positive_value_is_good	default
ironic_sleeping_dragon_effect_bundle_3	mh_political_parties_icon_empress.png	3	campaign		ironic_sleeping_dragon_effect_bundle_3	0.0000	positive_value_is_good	default
ironic_sleeping_dragon_effect_bundle_4	mh_political_parties_icon_empress.png	4	campaign		ironic_sleeping_dragon_effect_bundle_4	0.0000	positive_value_is_good	default
