political_party_key	faction_key
#faction_political_parties_junctions_tables;0;db/faction_political_parties_junctions_tables/data__	
3k_dlc04_main_political_party_prince_liu_chong_council	3k_dlc04_faction_prince_liu_chong_separatists
3k_dlc04_main_political_party_prince_liu_chong_ruler	3k_dlc04_faction_prince_liu_chong
3k_dlc04_political_party_cao_cao_council	3k_main_faction_cao_separatists
3k_dlc04_political_party_cao_cao_ruler	3k_main_faction_cao_cao
3k_dlc04_political_party_dong_zhuo_council	3k_main_faction_dong_separatists
3k_dlc04_political_party_dong_zhuo_ruler	3k_main_faction_dong_zhuo
3k_dlc04_political_party_empress_he_council	3k_dlc04_faction_empress_he_separatists
3k_dlc04_political_party_empress_he_ruler	3k_dlc04_faction_empress_he
3k_dlc04_political_party_liu_bei_council	3k_main_faction_liu_bei_separatists
3k_dlc04_political_party_liu_bei_ruler	3k_main_faction_liu_bei
3k_dlc04_political_party_liu_biao_council	3k_main_faction_liu_biao_separatists
3k_dlc04_political_party_liu_biao_ruler	3k_main_faction_liu_biao
3k_dlc04_political_party_lu_zhi_council	3k_dlc04_faction_lu_zhi_separatists
3k_dlc04_political_party_lu_zhi_ruler	3k_dlc04_faction_lu_zhi
3k_dlc04_political_party_ma_teng_council	3k_main_faction_ma_teng_separatists
3k_dlc04_political_party_ma_teng_ruler	3k_main_faction_ma_teng
3k_dlc04_political_party_prince_liu_chong_council	3k_dlc04_faction_prince_liu_chong_separatists
3k_dlc04_political_party_prince_liu_chong_ruler	3k_dlc04_faction_prince_liu_chong
3k_dlc04_political_party_sun_jian_council	3k_main_faction_sun_separatists
3k_dlc04_political_party_sun_jian_ruler	3k_main_faction_sun_jian
3k_dlc04_political_party_zhang_bao_council	3k_dlc04_faction_zhang_bao_separatists
3k_dlc04_political_party_zhang_bao_ruler	3k_dlc04_faction_zhang_bao
3k_dlc04_political_party_zhang_jue_council	3k_dlc04_faction_zhang_jue_separatists
3k_dlc04_political_party_zhang_jue_ruler	3k_dlc04_faction_zhang_jue
3k_dlc04_political_party_zhang_liang_council	3k_dlc04_faction_zhang_liang_separatists
3k_dlc04_political_party_zhang_liang_ruler	3k_dlc04_faction_zhang_liang
3k_dlc05_political_party_190_white_tiger_yan_council	3k_dlc05_faction_white_tiger_yan_separatists
3k_dlc05_political_party_190_white_tiger_yan_ruler	3k_dlc05_faction_white_tiger_yan
3k_dlc05_political_party_lu_bu_council	3k_dlc05_faction_lu_bu_separatists
3k_dlc05_political_party_lu_bu_ruler	3k_main_faction_lu_bu
3k_dlc05_political_party_sun_ce_council	3k_dlc05_faction_sun_ce_separatists
3k_dlc05_political_party_sun_ce_ruler	3k_dlc05_faction_sun_ce
3k_dlc05_political_party_white_tiger_yan_council	3k_dlc05_faction_white_tiger_yan_separatists
3k_dlc05_political_party_white_tiger_yan_ruler	3k_dlc05_faction_white_tiger_yan
3k_dlc05_political_party_zhang_yan_ruler	3k_main_faction_zhang_yan
