key	index	subculture	category	screen_name	screen_adjective	skin	ui_skin	is_rebel	mp_available	mp_available_naval	flags_path	military_group	movie_death_event	ship_name_group	unit_regiment_name_group	attack_desc	defend_desc	pre_battle_speech_parameter	senator_total	audio_voiceover_culture	mp_force_gen_template	faction_swapping_id	has_politics	waaagh_faction	waaagh_general_unit	is_quest_faction	cdir_military_generator_config	campaign_unit_permission_group	grant_rebel_captures_to_faction	feature_forest	battle_flag_path	text_replacement_key	lose_movie	battle_flag_path_historical	win_movie	primary_colour_hex	secondary_colour_hex	rebel_colour_hex	uniform_colour_hex	card_colour_hex
#factions_tables;41;db/factions_tables/!!!ironic_flags_factions																																								
ironic_faction_bian_rang	1992584955	3k_main_chinese	playable	Bian Rang	Bian Rang	default		false	false	false	data\ui\flags\mod_faction_bian_rang	3k_main_military_grouping_han_chinese	0	221	221	You are attacking a Bian Rang Commandery military force!	You are defending againist a Bian Rang Commandery military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	ironic_bian_rang_faction		LOCKED_STANDARD	flag_mod_faction_bian_rang		3k_main_game_lost_fire	flag_mod_faction_bian_rang	3k_main_game_won_fire	978F87	60C6FD	7C8623	335A4A	000000
ironic_faction_zhang_jin_border	585665279	3k_main_chinese	unplayable	Zhang Jin	Zhang Jin Renegades	default		false	false	false	data\ui\flags\mod_faction_handan_shang	3k_main_military_grouping_han_chinese	0	221	221	You are attacking a Zhang Jin military force!	You are defending against a Zhang Jin military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	ironic_handan_shang_faction		LOCKED_STANDARD	flag_mod_faction_handan_shang		3k_main_game_lost_fire	flag_mod_faction_handan_shang	3k_main_game_won_earth	271C04	C4C7C4	ADADAD	271C04	000000
ironic_faction_ma_ai	922311721	3k_main_chinese	unplayable	Ma Ai	Ma Ai Renegades	default		false	false	false	data\ui\flags\mod_faction_ma_ai	3k_main_military_grouping_han_chinese	0	221	221	You are attacking a Ma Ai military force!	You are defending against a Ma Ai military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	ironic_ma_ai_faction		LOCKED_STANDARD	flag_mod_faction_ma_ai		3k_main_game_lost_fire	flag_mod_faction_ma_ai	3k_main_game_won_earth	943A44	EFE3E2	ADADAD	943A44	000000
ironic_faction_huang_clan	356212606	3k_main_chinese	unplayable	Huang Clan	Huang Clan Renegades	default		false	false	false	data\ui\flags\mod_faction_huang_clan	3k_main_military_grouping_han_chinese	0	221	221	You are attacking a Huang Clan military force!	You are defending against a Huang Clan military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	ironic_huang_ang_faction		LOCKED_STANDARD	flag_mod_faction_huang_clan		3k_main_game_lost_fire	flag_mod_faction_huang_clan	3k_main_game_won_earth	B0933C	324277	ADADAD	B0933C	000000
ironic_faction_wang_sheng	1198757893	3k_main_chinese	unplayable	Wang Sheng	Wang Sheng	default		false	false	false	data\ui\flags\mod_faction_wang_sheng	3k_main_military_grouping_han_chinese	0	221	221	You are attacking a Wang Sheng military force!	You are defending against a Wang Sheng military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	ironic_wang_sheng_faction		LOCKED_STANDARD	flag_mod_faction_wang_sheng		3k_main_game_lost_fire	flag_mod_faction_wang_sheng	3k_main_game_won_earth	42797A	CD3C54	C3A441	E989CF	000000
ironic_faction_hu_mao	498612950	3k_main_chinese	unplayable	Hu Mao	Hu Mao	default		false	false	false	data\ui\flags\mod_faction_hu_mao	3k_main_military_grouping_han_chinese	0	221	221	You are attacking a Hu Mao military force!	You are defending against a Hu Mao military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	ironic_hu_mao_faction		LOCKED_STANDARD	flag_mod_faction_hu_mao		3k_main_game_lost_fire	flag_mod_faction_hu_mao	3k_main_game_won_earth	05524F	112731	71D50F	DBC8BD	000000
ironic_faction_yellow_turban_xu_he	125450953	3k_main_subculture_yellow_turban	playable	Xu He Yellow Turbans	Xu He Renegades	3k_main_faction_yellow_turban_rebels		false	false	false	data\ui\flags\3k_main_faction_rebels	3k_ytr_military_grouping_yellow_turban	0	221	221	You are attacking a Xu He military force!	You are defending against a Xu He military force!	FACTION_CHOSOKABE	500	vo_Empire	default_ytr	brt	false			false	3k_yellow_turban_config	3k_main_unit_permission_group_yellow_turban	3k_main_faction_yellow_turban_rebels	LOCKED_STANDARD	flag_3k_main_faction_yellow_turban_generic	xu_he	3k_main_game_lost_yellow_turbans	flag_3k_main_faction_yellow_turban_generic	3k_main_game_won_yellow_turbans	3B3839	967832	000000	000000	000000
ironic_faction_zhou_yu	1020233499	3k_main_chinese	playable	Zhou Yu	Zhou Yu Renegades	default		false	false	false	data\ui\flags\mod_faction_zhou_yu	3k_main_military_grouping_han_chinese	0	221	221	You are attacking a Zhou Yu military force!	You are defending against a Zhou Yu military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	3k_dlc05_unit_permission_group_sun_ce		LOCKED_STANDARD	flag_mod_faction_zhou_yu	zhou_yu	3k_main_game_lost_water	flag_mod_faction_zhou_yu	3k_main_game_won_water	DDC5C7	A9D08E	ADADAD	463C19	000000
ironic_faction_sun_ben	472727693	3k_main_chinese	playable	Zhong Yao	Zhong Yao Renegades	default		false	false	false	data\ui\flags\mod_faction_sun_ben	3k_main_military_grouping_han_chinese	0	0	0	You are attacking a Zhou Yu military force!	You are defending against a Zhou Yu military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	3k_main_unit_permission_group_han_chinese		LOCKED_STANDARD	flag_mod_faction_sun_ben		3k_main_game_lost_water	flag_mod_faction_sun_ben	3k_main_game_won_water	000000	000000	000000	000000	000000
