key	index	subculture	category	screen_name	screen_adjective	skin	ui_skin	is_rebel	mp_available	mp_available_naval	flags_path	military_group	movie_death_event	ship_name_group	unit_regiment_name_group	attack_desc	defend_desc	pre_battle_speech_parameter	senator_total	audio_voiceover_culture	mp_force_gen_template	faction_swapping_id	has_politics	waaagh_faction	waaagh_general_unit	is_quest_faction	cdir_military_generator_config	campaign_unit_permission_group	grant_rebel_captures_to_faction	feature_forest	battle_flag_path	text_replacement_key	lose_movie	battle_flag_path_historical	win_movie	primary_colour_hex	secondary_colour_hex	rebel_colour_hex	uniform_colour_hex	card_colour_hex
#factions_tables;41;db/factions_tables/@@@ironic_changed_factions																																								
3k_dlc04_faction_liang_rebels	1470033795	3k_main_chinese	playable	Liang Rebels	Liang Rebels	default		false	false	false	data\ui\flags\3k_dlc04_faction_liang_rebels	3k_main_military_grouping_han_chinese	0	221	221	You are attacking a Liang Rebel military force!	You are defending against a Liang Rebel military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	ironic_song_jian_faction		LOCKED_STANDARD	flag_3k_dlc04_faction_liang_rebels		3k_main_game_lost_fire	flag_3k_dlc04_faction_liang_rebels	3k_main_game_won_fire	A0A0A0	404040	ADADAD	463C19	000000
3k_dlc04_faction_liang_rebels_separatists	1456361572	3k_main_chinese	unplayable	Liang Separatists	Liang Separatists	default		false	false	false	data\ui\flags\3k_dlc04_faction_liang_rebels_separatists	3k_main_military_grouping_han_chinese	0	221	221	You are attacking a Liang Separatist military force!	You are defending against a Liang Separatist military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	ironic_song_jian_faction		LOCKED_STANDARD	flag_3k_dlc04_faction_liang_rebels_separatists		3k_main_game_lost_earth	flag_3k_dlc04_faction_liang_rebels_separatists	3k_main_game_won_earth	404040	A0A0A0	ADADAD	3C2314	000000
3k_main_faction_han_sui	2041771081	3k_main_chinese	playable	Zhai	Han Sui	default		false	false	false	data\ui\flags\3k_main_faction_han_sui	3k_main_military_grouping_han_chinese	0	221	221	You are attacking a Han Sui military force!	You are defending against a Han Sui military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	ironic_han_sui_faction		LOCKED_STANDARD	flag_3k_main_faction_han_sui		3k_main_game_lost_earth	flag_3k_main_faction_han_sui	3k_main_game_won_earth	783A57	AEA2DC	ADADAD	A03246	000000
3k_main_faction_han_sui_separatists	2027875898	3k_main_chinese	unplayable	Zhai Separatists	Han Sui Separatists	default		false	false	false	data\ui\flags\3k_main_faction_han_sui_separatists	3k_main_military_grouping_han_chinese	0	221	221	You are attacking a Han Sui military force!	You are defending against a Han Sui military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	ironic_han_sui_faction		LOCKED_STANDARD	flag_3k_main_faction_han_sui_separatists		3k_main_game_lost_earth	flag_3k_main_faction_han_sui_separatists	3k_main_game_won_earth	9B788E	AEA2DC	ADADAD	A03246	000000
3k_main_faction_liu_yu	2041770982	3k_main_chinese	playable	Dai	Liu Yu	default		false	false	false	data\ui\flags\3k_main_faction_liu_yu	3k_main_military_grouping_han_chinese	0	221	221	You are attacking a Liu Yu military force!	You are defending against a Liu Yu military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	ironic_liu_yu_faction		LOCKED_STANDARD	flag_3k_main_faction_liu_yu		3k_main_game_lost_earth	flag_3k_main_faction_liu_yu	3k_main_game_won_earth	DFAF1E	967832	ADADAD	003278	000000
3k_main_faction_liu_yu_separatists	875713475	3k_main_chinese	unplayable	Dai Separatists	Liu Yu Separatists	default		false	false	false	data\ui\flags\3k_main_faction_liu_yu_separatists	3k_main_military_grouping_han_chinese	0	221	221	You are attacking a Liu Yu military force!	You are defending against a Liu Yu military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	ironic_liu_yu_faction		LOCKED_STANDARD	flag_3k_main_faction_liu_yu_separatists		3k_main_game_lost_earth	flag_3k_main_faction_liu_yu_separatists	3k_main_game_won_earth	ECEDEC	967832	ADADAD	003278	000000
3k_main_faction_gao_gan	2041771085	3k_main_chinese	playable	Bing	Gao Gan	default		false	false	false	data\ui\flags\3k_main_faction_gao_gan	3k_main_military_grouping_han_chinese	0	221	221	You are attacking a Gao Gan military force!	You are defending against a Gao Gan military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	ironic_gao_gan_faction		LOCKED_STANDARD	flag_3k_main_faction_gao_gan		3k_main_game_lost_earth	flag_3k_main_faction_gao_gan	3k_main_game_won_earth	6E525A	967832	ADADAD	648728	000000
3k_main_faction_gao_gan_separatists	1627993538	3k_main_chinese	unplayable	Bing Separatists	Gao Gan Separatists	default		false	false	false	data\ui\flags\3k_main_faction_gao_gan_separatists	3k_main_military_grouping_han_chinese	0	221	221	You are attacking a Gao Gan military force!	You are defending against a Gao Gan military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	ironic_gao_gan_faction		LOCKED_STANDARD	flag_3k_main_faction_gao_gan_separatists		3k_main_game_lost_earth	flag_3k_main_faction_gao_gan_separatists	3k_main_game_won_earth	722528	967832	ADADAD	648728	000000
3k_main_faction_huang_zu	2041771063	3k_main_chinese	unplayable	Sui	Huang Zu	default		false	false	false	data\ui\flags\3k_main_faction_huang_zu	3k_main_military_grouping_han_chinese	0	221	221	You are attacking a Huang Zu military force!	You are defending against a Huang Zu military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	3k_main_unit_permission_faction_huang_zu		LOCKED_STANDARD	flag_3k_main_faction_huang_zu		3k_main_game_lost_earth	flag_3k_main_faction_huang_zu	3k_main_game_won_earth	666B3F	AEA2DC	ADADAD	B46450	000000
