key	character_generation_template	ministerial_position	optional_general_type	optional_specialisation
#frontend_characters_tables;2;db/frontend_characters_tables/data__				
3k_cp01_template_historical_huang_gai_hero_fire	3k_cp01_template_historical_huang_gai_hero_fire			
3k_dlc04_template_historical_emperor_ling_earth_faction_leader	3k_dlc04_template_historical_emperor_ling_earth	faction_leader	3k_dlc04_emperor_dummy	3k_dlc04_frontend_leader_empress_he_specialisation
3k_dlc04_template_historical_he_jin_metal	3k_dlc04_template_historical_he_jin_metal			
3k_dlc04_template_historical_lu_zhi_hero_water_faction_leader	3k_dlc04_template_historical_lu_zhi_hero_water	faction_leader	3k_main_hero_strategist_water	3k_dlc04_frontend_leader_lu_zhi_specialisation
3k_dlc04_template_historical_luo_jun_xiaoyuan_wood	3k_dlc04_template_historical_luo_jun_xiaoyuan_wood			
3k_dlc04_template_historical_zhang_bao_veteran_faction_leader	3k_dlc04_template_historical_zhang_bao_veteran	faction_leader	3k_ytr_hero_veteran	3k_dlc04_frontend_leader_zhang_bao_specialisation
3k_dlc04_template_historical_zhang_jue_healer_faction_leader	3k_dlc04_template_historical_zhang_jue_healer	faction_leader	3k_ytr_hero_healer	3k_dlc04_frontend_leader_zhang_jue_specialisation
3k_dlc04_template_historical_zhang_liang_veteran_faction_leader	3k_dlc04_template_historical_zhang_liang_veteran	faction_leader	3k_ytr_hero_veteran	3k_dlc04_frontend_leader_zhang_liang_specialisation
3k_dlc05_template_historical_fa_zheng_hero_water	3k_main_template_historical_fa_zheng_hero_water		3k_main_hero_strategist_water	
3k_dlc05_template_historical_lady_diao_chan_hero_water	3k_main_template_historical_lady_diao_chan_hero_water			
3k_dlc05_template_historical_liu_zhang_hero_earth_faction_heir	3k_main_template_historical_liu_zhang_hero_earth	faction_heir	3k_main_hero_earth	
3k_dlc05_template_historical_sun_ce_hero_fire_faction_leader	3k_main_template_historical_sun_ce_hero_fire	faction_leader	3k_main_hero_fire	3k_dlc05_frontend_leader_sun_ce_specialisation
3k_dlc05_template_historical_sun_quan_hero_earth	3k_main_template_historical_sun_quan_hero_earth	faction_heir		
3k_dlc05_template_historical_yan_yu_hero_wood	3k_main_template_historical_yan_yu_hero_wood		3k_main_hero_wood	
3k_dlc06_template_historical_dailaidongzhu_hero_nanman_faction_heir	3k_dlc06_template_historical_dailaidongzhu_hero_nanman	faction_heir	3k_dlc06_hero_nanman	
3k_dlc06_template_historical_king_duosi_hero_nanman	3k_dlc06_template_historical_king_duosi_hero_nanman		3k_dlc06_hero_nanman	
3k_dlc06_template_historical_king_meng_huo_hero_nanman_faction_leader	3k_dlc06_template_historical_king_meng_huo_hero_nanman	faction_leader	3k_dlc06_hero_nanman	3k_dlc06_frontend_leader_nanman_meng_huo_specialisation
3k_dlc06_template_historical_king_mulu_hero_nanman_faction_leader	3k_dlc06_template_historical_king_mulu_hero_nanman	faction_leader	3k_dlc06_hero_nanman	3k_dlc06_frontend_leader_nanman_king_mulu_specialisation
3k_dlc06_template_historical_king_shamoke_hero_nanman_faction_leader	3k_dlc06_template_historical_king_shamoke_hero_nanman	faction_leader	3k_dlc06_hero_nanman	3k_dlc06_frontend_leader_shamoke_specialisation
3k_dlc06_template_historical_king_wutugu_hero_nanman	3k_dlc06_template_historical_king_wutugu_hero_nanman		3k_dlc06_hero_nanman	
3k_dlc06_template_historical_lady_zhurong_hero_nanman_faction_leader	3k_dlc06_template_historical_lady_zhurong_hero_nanman	faction_leader	3k_dlc06_hero_nanman	3k_dlc06_frontend_leader_nanman_lady_zhurong_specialisation
3k_dlc06_template_historical_shi_xie_hero_water_faction_leader	3k_main_template_historical_shi_xie_hero_water	faction_leader	3k_main_hero_strategist_water	3k_dlc06_frontend_leader_shi_xie_specialisation
3k_dlc07_template_historical_lady_zhurong_hero_nanman	3k_dlc06_template_historical_lady_zhurong_hero_nanman		3k_dlc06_hero_nanman	
3k_dlc07_template_historical_liu_yan_hero_water_faction_leader	3k_main_template_historical_liu_yan_hero_water	faction_leader	3k_main_hero_strategist_water	3k_main_frontend_leader_liu_yan_specialisation
3k_dlc07_template_historical_liu_zhang_hero_earth_faction_leader	3k_main_template_historical_liu_zhang_hero_earth	faction_leader	3k_main_hero_earth	3k_dlc07_frontend_leader_liu_zhang_specialisation
3k_main_template_historical_cai_yong_hero_water	3k_main_template_historical_cai_yong_hero_water			
3k_main_template_historical_cao_cao_hero_earth_faction_leader	3k_main_template_historical_cao_cao_hero_earth	faction_leader	3k_main_hero_earth	3k_main_frontend_leader_cao_cao_specialisation
3k_main_template_historical_cao_ren_hero_earth	3k_main_template_historical_cao_ren_hero_earth			
3k_main_template_historical_chen_gong_hero_water	3k_main_template_historical_chen_gong_hero_water			
3k_main_template_historical_cheng_pu_hero_metal	3k_main_template_historical_cheng_pu_hero_metal			
3k_main_template_historical_cheng_yu_hero_water	3k_main_template_historical_cheng_yu_hero_water			
3k_main_template_historical_congqian_hero_metal	3k_main_template_historical_congqian_hero_metal			
3k_main_template_historical_dian_wei_hero_wood	3k_main_template_historical_dian_wei_hero_wood			
3k_main_template_historical_dong_zhuo_hero_fire_faction_leader	3k_main_template_historical_dong_zhuo_hero_fire	faction_leader	3k_main_hero_fire	3k_main_frontend_leader_dong_zhuo_specialisation
3k_main_template_historical_gan_ning_hero_fire	3k_main_template_historical_gan_ning_hero_fire			
3k_main_template_historical_gao_shun_hero_fire	3k_main_template_historical_gao_shun_hero_fire			
3k_main_template_historical_gongsun_xu_hero_metal	3k_main_template_historical_gongsun_xu_hero_metal			
3k_main_template_historical_gongsun_zan_hero_fire_faction_leader	3k_main_template_historical_gongsun_zan_hero_fire	faction_leader	3k_main_hero_fire	3k_main_frontend_leader_gongsun_zan_specialisation
3k_main_template_historical_guan_jing_hero_water	3k_main_template_historical_guan_jing_hero_water			
3k_main_template_historical_guan_yu_hero_wood	3k_main_template_historical_guan_yu_hero_wood			
3k_main_template_historical_huang_zhong_hero_metal	3k_main_template_historical_huang_zhong_hero_metal			
3k_main_template_historical_huangfu_song_hero_metal	3k_main_template_historical_huangfu_song_hero_metal			
3k_main_template_historical_ji_ling_hero_fire	3k_main_template_historical_ji_ling_hero_fire			
3k_main_template_historical_jia_xu_hero_water	3k_main_template_historical_jia_xu_hero_water			
3k_main_template_historical_jian_yong_hero_metal	3k_main_template_historical_jian_yong_hero_metal			
3k_main_template_historical_ju_shou_hero_water	3k_main_template_historical_ju_shou_hero_water			
3k_main_template_historical_kong_rong_hero_water	3k_main_template_historical_kong_rong_hero_water			
3k_main_template_historical_kong_rong_hero_water_faction_leader	3k_main_template_historical_kong_rong_hero_water	faction_leader	3k_main_hero_strategist_water	3k_main_frontend_leader_kong_rong_specialisation
3k_main_template_historical_lady_lu_zheng_hero_water	3k_main_template_historical_lady_lu_zheng_hero_water			
3k_main_template_historical_lady_sun_shangxiang_hero_fire	3k_main_template_historical_lady_sun_shangxiang_hero_fire			
3k_main_template_historical_lady_zheng_jiang_hero_wood_faction_leader	3k_main_template_historical_lady_zheng_jiang_hero_wood	faction_leader	3k_main_hero_wood	3k_main_frontend_leader_zheng_jiang_specialisation
3k_main_template_historical_li_damu_hero_wood	3k_main_template_historical_li_damu_hero_wood			
3k_main_template_historical_li_ru_hero_water	3k_main_template_historical_li_ru_hero_water			
3k_main_template_historical_liu_bei_hero_earth_faction_leader	3k_main_template_historical_liu_bei_hero_earth	faction_leader	3k_main_hero_earth	3k_main_frontend_leader_liu_bei_specialisation
3k_main_template_historical_liu_biao_hero_earth_faction_leader	3k_main_template_historical_liu_biao_hero_earth	faction_leader	3k_main_hero_earth	3k_main_frontend_leader_liu_biao_specialisation
3k_main_template_historical_liu_chong_hero_earth_faction_leader	3k_main_template_historical_liu_chong_hero_earth	faction_leader	3k_main_hero_earth	3k_dlc04_frontend_leader_prince_liu_chong_specialisation
3k_main_template_historical_lu_bu_hero_fire	3k_main_template_historical_lu_bu_hero_fire		3k_main_hero_fire	3k_dlc05_frontend_leader_lu_bu_specialisation
3k_main_template_historical_ma_chao_hero_fire	3k_main_template_historical_ma_chao_hero_fire			
3k_main_template_historical_ma_teng_hero_fire_faction_leader	3k_main_template_historical_ma_teng_hero_fire	faction_leader	3k_main_hero_fire	3k_main_frontend_leader_ma_teng_specialisation
3k_main_template_historical_mi_zhu_hero_water	3k_main_template_historical_mi_zhu_hero_water			
3k_main_template_historical_pang_de_hero_wood	3k_main_template_historical_pang_de_hero_wood			
3k_main_template_historical_sun_ce_hero_fire	3k_main_template_historical_sun_ce_hero_fire			
3k_main_template_historical_sun_jian_hero_metal_faction_leader	3k_main_template_historical_sun_jian_hero_metal	faction_leader	3k_main_hero_metal	3k_main_frontend_leader_sun_jian_specialisation
3k_main_template_historical_sun_qian_hero_water	3k_main_template_historical_sun_qian_hero_water			
3k_main_template_historical_sun_quan_hero_earth	3k_main_template_historical_sun_quan_hero_earth			
3k_main_template_historical_tao_qian_hero_water_faction_leader	3k_main_template_historical_tao_qian_hero_water	faction_leader	3k_main_hero_strategist_water	3k_dlc04_frontend_leader_tao_qian_specialisation
3k_main_template_historical_tian_feng_hero_water	3k_main_template_historical_tian_feng_hero_water			
3k_main_template_historical_wang_dang_hero_water	3k_main_template_historical_wang_dang_hero_water			
3k_main_template_historical_wang_lang_hero_earth	3k_main_template_historical_wang_lang_hero_earth			
3k_main_template_historical_wang_xiu_hero_earth	3k_main_template_historical_wang_xiu_hero_earth			
3k_main_template_historical_wen_chou_hero_wood	3k_main_template_historical_wen_chou_hero_wood			
3k_main_template_historical_xiahou_dun_hero_wood	3k_main_template_historical_xiahou_dun_hero_wood			
3k_main_template_historical_xiahou_dun_hero_wood_blinded	3k_main_template_historical_xiahou_dun_hero_wood			
3k_main_template_historical_xiahou_yuan_hero_fire	3k_main_template_historical_xiahou_yuan_hero_fire			
3k_main_template_historical_xun_yu_hero_water	3k_main_template_historical_xun_yu_hero_water			
3k_main_template_historical_yan_baihu_metal	3k_main_template_historical_yan_baihu_hero_metal	faction_leader	3k_main_hero_metal	3k_dlc05_frontend_leader_white_tiger_yan_specialisation
3k_main_template_historical_yan_liang_hero_fire	3k_main_template_historical_yan_liang_hero_fire			
3k_main_template_historical_yan_xiang_hero_water	3k_main_template_historical_yan_xiang_hero_water			
3k_main_template_historical_yang_hong_hero_metal	3k_main_template_historical_yang_hong_hero_metal			
3k_main_template_historical_yu_du_hero_fire	3k_main_template_historical_yu_du_hero_fire			
3k_main_template_historical_yuan_shang_hero_earth	3k_main_template_historical_yuan_shang_hero_earth			
3k_main_template_historical_yuan_shao_hero_earth	3k_main_template_historical_yuan_shao_hero_earth			
3k_main_template_historical_yuan_shao_hero_earth_faction_leader	3k_main_template_historical_yuan_shao_hero_earth	faction_leader	3k_main_hero_earth	3k_main_frontend_leader_yuan_shao_specialisation
3k_main_template_historical_yuan_shu_hero_earth_faction_leader	3k_main_template_historical_yuan_shu_hero_earth	faction_leader	3k_main_hero_earth	3k_main_frontend_leader_yuan_shu_specialisation
3k_main_template_historical_yue_jin_hero_metal	3k_main_template_historical_yue_jin_hero_metal			
3k_main_template_historical_zhang_fei_hero_fire	3k_main_template_historical_zhang_fei_hero_fire			
3k_main_template_historical_zhang_he_hero_fire	3k_main_template_historical_zhang_he_hero_fire			
3k_main_template_historical_zhang_liao_hero_metal	3k_main_template_historical_zhang_liao_hero_metal			
3k_main_template_historical_zhang_yan_hero_wood_faction_leader	3k_main_template_historical_zhang_yan_hero_wood	faction_leader	3k_main_hero_wood	3k_main_frontend_leader_zhang_yan_specialisation
3k_main_template_historical_zhao_yun_hero_metal	3k_main_template_historical_zhao_yun_hero_metal			
3k_main_template_historical_zhou_yu_hero_water	3k_main_template_historical_zhou_yu_hero_water			
3k_ytr_template_historical_gong_du_hero_wood	3k_ytr_template_historical_gong_du_hero_wood			
3k_ytr_template_historical_gong_du_hero_wood_faction_leader	3k_ytr_template_historical_gong_du_hero_wood	faction_leader	3k_ytr_hero_veteran	3k_ytr_frontend_leader_gong_du_specialisation
3k_ytr_template_historical_he_man_hero_metal	3k_ytr_template_historical_he_man_hero_metal			
3k_ytr_template_historical_he_yi_hero_water_faction_leader	3k_ytr_template_historical_he_yi_hero_water	faction_leader	3k_ytr_hero_healer	3k_ytr_frontend_leader_he_yi_specialisation
3k_ytr_template_historical_huang_shao_hero_metal	3k_ytr_template_historical_huang_shao_hero_metal			
3k_ytr_template_historical_huang_shao_hero_metal_faction_leader	3k_ytr_template_historical_huang_shao_hero_metal	faction_leader	3k_ytr_hero_scholar	3k_ytr_frontend_leader_huang_shao_specialisation
3k_ytr_template_historical_pei_yuanshao_hero_wood	3k_ytr_template_historical_pei_yuanshao_hero_wood			
3k_ytr_template_historical_zhang_kai_hero_wood	3k_ytr_template_historical_zhang_kai_hero_wood			
cao_cao_test	3k_main_template_historical_cao_cao_hero_earth	faction_leader	3k_main_hero_earth	3k_main_bundle_faction_rank_cao_cao_1
ep_template_historical_gongsun_hong_hero_water	ep_template_historical_gongsun_hong_hero_water			
ep_template_historical_he_lun_hero_earth	ep_template_historical_he_lun_hero_earth			
ep_template_historical_huangfu_shang_hero_metal	ep_template_historical_huangfu_shang_hero_metal			
ep_template_historical_li_han_hero_earth	ep_template_historical_li_han_hero_earth			
ep_template_historical_lu_zhi_hero_water	ep_template_historical_lu_zhi_hero_water			
ep_template_historical_qi_sheng_hero_metal	ep_template_historical_qi_sheng_hero_metal			
ep_template_historical_shi_chao_hero_metal	ep_template_historical_shi_chao_hero_metal			
ep_template_historical_sima_ai_hero_wood_prince_faction_leader	ep_template_historical_sima_ai_hero_wood_prince	faction_leader	3k_main_hero_wood	ep_frontend_leader_prince_of_changsha_specialisation
ep_template_historical_sima_cui_hero_metal	ep_template_historical_sima_cui_hero_metal			
ep_template_historical_sima_jiong_hero_earth_prince_faction_leader	ep_template_historical_sima_jiong_hero_earth_prince	faction_leader	3k_main_hero_earth	ep_frontend_leader_prince_of_qi_specialisation
ep_template_historical_sima_ju_hero_earth	ep_template_historical_sima_ju_hero_earth			
ep_template_historical_sima_liang_hero_wood_prince_faction_leader	ep_template_historical_sima_liang_hero_wood_prince	faction_leader	3k_main_hero_wood	ep_frontend_leader_prince_of_runan_specialisation
ep_template_historical_sima_lun_hero_earth_prince_faction_leader	ep_template_historical_sima_lun_hero_earth_prince	faction_leader	3k_main_hero_earth	ep_frontend_leader_prince_of_zhao_specialisation
ep_template_historical_sima_wei_hero_fire_prince_faction_leader	ep_template_historical_sima_wei_hero_fire_prince	faction_leader	3k_main_hero_fire	ep_frontend_leader_prince_of_chu_specialisation
ep_template_historical_sima_ying_hero_water_prince_faction_leader	ep_template_historical_sima_ying_hero_water_prince	faction_leader	3k_main_hero_strategist_water	ep_frontend_leader_prince_of_chengdu_specialisation
