key	sort_order	frontend_faction_leader	frontend_character
#frontend_faction_leader_unique_characters_tables;3;db/frontend_faction_leader_unique_characters_tables/ironic_added_frontend			
3k_main_template_historical_guo_yuan_hero_fire	2	ironic_main_gao_gan_faction_leader	3k_main_template_historical_guo_yuan_hero_fire
3k_main_template_historical_deng_sheng_hero_fire	3	ironic_main_gao_gan_faction_leader	3k_main_template_historical_deng_sheng_hero_fire
3k_main_template_historical_xia_zhao_hero_metal	4	ironic_main_gao_gan_faction_leader	3k_main_template_historical_xia_zhao_hero_metal
3k_main_template_generated_lady_gao_zhulan_hero_metal	1	ironic_main_gao_gan_faction_leader	3k_main_template_generated_lady_gao_zhulan_hero_metal
ironic_template_historical_liu_bao_hero_earth	1	ironic_main_xiongnu_faction_leader	ironic_template_historical_liu_bao_hero_earth
ironic_template_historical_huchuquan_hero_earth	2	ironic_main_xiongnu_faction_leader	ironic_template_historical_huchuquan_hero_earth
ironic_template_historical_qubei_hero_earth	3	ironic_main_xiongnu_faction_leader	ironic_template_historical_qubei_hero_earth
ironic_template_historical_tadun_hero_fire	1	ironic_main_wuhuan_faction_leader	ironic_template_historical_tadun_hero_fire
ironic_template_historical_leipan_hero_fire	2	ironic_main_wuhuan_faction_leader	ironic_template_historical_leipan_hero_fire
ironic_template_historical_nanlu_hero_fire	3	ironic_main_wuhuan_faction_leader	ironic_template_historical_nanlu_hero_fire
ironic_template_historical_supuyan_hero_fire	4	ironic_main_wuhuan_faction_leader	ironic_template_historical_supuyan_hero_fire
ironic_template_historical_wuyan_hero_fire	5	ironic_main_wuhuan_faction_leader	ironic_template_historical_wuyan_hero_fire
ironic_template_historical_wangdong_hero_fire	6	ironic_main_wuhuan_faction_leader	ironic_template_historical_wangdong_hero_fire
ironic_template_historical_gurudun_hero_fire	7	ironic_main_wuhuan_faction_leader	ironic_template_historical_gurudun_hero_fire
ironic_template_historical_gujin_hero_fire	8	ironic_main_wuhuan_faction_leader	ironic_template_historical_gujin_hero_fire
3k_main_template_generated_lady_liu_zhi_hero_earth	6	3k_main_political_party_liu_yu_190	3k_main_template_generated_lady_liu_zhi_hero_earth
3k_main_template_historical_tian_chou_hero_water	4	3k_main_political_party_liu_yu_190	3k_main_template_historical_tian_chou_hero_water
3k_main_template_historical_wei_you_hero_water	5	3k_main_political_party_liu_yu_190	3k_main_template_historical_wei_you_hero_water
3k_main_template_historical_liu_he_hero_water	1	3k_main_political_party_liu_yu_190	3k_main_template_historical_liu_he_hero_water
3k_main_template_historical_xianyu_fu_hero_fire	2	3k_main_political_party_liu_yu_190	3k_main_template_historical_xianyu_fu_hero_fire
3k_main_template_historical_xianyu_yin_hero_wood	3	3k_main_political_party_liu_yu_190	3k_main_template_historical_xianyu_yin_hero_wood
3k_main_template_historical_huang_wan_hero_water	1	3k_main_political_party_kong_zhou_190	3k_main_template_historical_huang_wan_hero_water
3k_main_template_generated_lady_kong_yurui_hero_water	2	3k_main_political_party_kong_zhou_190	3k_main_template_generated_lady_kong_yurui_hero_water
ironic_template_historical_zong_cheng_hero_water	3	3k_main_political_party_kong_zhou_190	ironic_template_historical_zong_cheng_hero_water
3k_main_template_historical_xu_jing_hero_water	4	3k_main_political_party_kong_zhou_190	3k_main_template_historical_xu_jing_hero_water
3k_main_template_historical_zhou_xin_hero_fire	1	3k_main_political_party_chen_wen_190	3k_main_template_historical_zhou_xin_hero_fire
3k_dlc04_template_historical_zhou_ang_earth	2	3k_main_political_party_chen_wen_190	3k_dlc04_template_historical_zhou_ang_earth
3k_main_template_historical_cao_hong_hero_wood	4	3k_main_political_party_cao_cao_ruler	3k_main_template_historical_cao_hong_hero_wood
3k_main_template_historical_cao_chun_hero_fire	5	3k_main_political_party_cao_cao_ruler	3k_main_template_historical_cao_chun_hero_fire
3k_main_template_historical_gao_lan_hero_wood	5	3k_main_political_party_yuan_shao_ruler	3k_main_template_historical_gao_lan_hero_wood
3k_main_template_historical_zhang_he_hero_fire	1	3k_main_political_party_han_fu_190	3k_main_template_historical_zhang_he_hero_fire
3k_main_template_historical_xun_yu_hero_water	2	3k_main_political_party_han_fu_190	3k_main_template_historical_xun_yu_hero_water
3k_main_template_generated_han_tong_hero_wood	3	3k_main_political_party_han_fu_190	3k_main_template_generated_han_tong_hero_wood
3k_main_template_historical_han_hao_hero_wood	1	3k_main_political_party_wang_kuang_190	3k_main_template_historical_han_hao_hero_wood
3k_mtu_template_historical_lady_wang_liting_hero_metal	2	3k_main_political_party_wang_kuang_190	3k_mtu_template_historical_lady_wang_liting_hero_metal
3k_main_template_generated_lady_wang_fangyue_hero_water	3	3k_main_political_party_wang_kuang_190	3k_main_template_generated_lady_wang_fangyue_hero_water
3k_main_template_historical_sui_gu_hero_metal	1	3k_main_political_party_zhang_yang_190	3k_main_template_historical_sui_gu_hero_metal
3k_main_template_historical_yang_chou_hero_water	2	3k_main_political_party_zhang_yang_190	3k_main_template_historical_yang_chou_hero_water
3k_main_template_generated_lady_zhang_yanyan_hero_earth	3	3k_main_political_party_zhang_yang_190	3k_main_template_generated_lady_zhang_yanyan_hero_earth
3k_main_template_historical_xu_huang_hero_metal	1	3k_main_political_party_yang_feng_190	3k_main_template_historical_xu_huang_hero_metal
3k_dlc05_template_historical_zhang_fang_hero_earth	2	3k_main_political_party_zhang_yan_ruler	3k_dlc05_template_historical_zhang_fang_hero_earth
3k_main_template_historical_yu_du_hero_fire	3	3k_main_political_party_zhang_yan_ruler	3k_main_template_historical_yu_du_hero_fire
3k_main_template_historical_wang_dang_hero_water	4	3k_main_political_party_zhang_yan_ruler	3k_main_template_historical_wang_dang_hero_water
3k_main_template_historical_gongsun_xu_hero_metal	3	3k_main_political_party_gongsun_zan_ruler	3k_main_template_historical_gongsun_xu_hero_metal
3k_main_template_historical_yan_gang_hero_metal	4	3k_main_political_party_gongsun_zan_ruler	3k_main_template_historical_yan_gang_hero_metal
3k_main_template_historical_gongsun_gong_hero_earth	2	3k_main_political_party_gongsun_du_190	3k_main_template_historical_gongsun_gong_hero_earth
3k_main_template_historical_gongsun_kang_hero_earth	1	3k_main_political_party_gongsun_du_190	3k_main_template_historical_gongsun_kang_hero_earth
3k_main_template_generated_lady_gongsun_tingping_hero_metal	3	3k_main_political_party_gongsun_du_190	3k_main_template_generated_lady_gongsun_tingping_hero_metal
3k_main_template_historical_liang_mao_hero_water	4	3k_main_political_party_gongsun_du_190	3k_main_template_historical_liang_mao_hero_water
3k_main_template_historical_shi_yi_hero_water	3	3k_main_political_party_kong_rong_ruler	3k_main_template_historical_shi_yi_hero_water
3k_main_template_historical_sun_shao_hero_metal	2	3k_main_political_party_kong_rong_ruler	3k_main_template_historical_sun_shao_hero_metal
3k_main_template_historical_wang_xiu_hero_earth	4	3k_main_political_party_kong_rong_ruler	3k_main_template_historical_wang_xiu_hero_earth
3k_main_template_historical_zheng_yan_hero_wood	5	3k_main_political_party_kong_rong_ruler	3k_main_template_historical_zheng_yan_hero_wood
3k_dlc04_template_historical_chen_deng_yuanlong_water	1	3k_main_political_party_chen_gui_190	3k_dlc04_template_historical_chen_deng_yuanlong_water
3k_dlc04_template_historical_chen_su_water	2	3k_main_political_party_chen_gui_190	3k_dlc04_template_historical_chen_su_water
ironic_template_historical_sun_guan_hero_wood	3	3k_main_political_party_chen_gui_190	ironic_template_historical_sun_guan_hero_wood
3k_main_template_historical_yu_jin_hero_metal	1	3k_main_political_party_liu_dai_190	3k_main_template_historical_yu_jin_hero_metal
3k_main_template_historical_bao_xin_hero_metal	2	3k_main_political_party_liu_dai_190	3k_main_template_historical_bao_xin_hero_metal
3k_main_template_historical_cheng_yu_hero_water	3	3k_main_political_party_liu_dai_190	3k_main_template_historical_cheng_yu_hero_water
3k_main_template_historical_bao_xun_hero_water	4	3k_main_political_party_liu_dai_190	3k_main_template_historical_bao_xun_hero_water
3k_main_template_historical_tao_ying_hero_wood	1	3k_main_political_party_tao_qian_ruler	3k_main_template_historical_tao_ying_hero_wood
3k_main_template_historical_zang_ba_hero_wood	2	3k_main_political_party_tao_qian_ruler	3k_main_template_historical_zang_ba_hero_wood
3k_main_template_historical_mi_zhu_hero_water	3	3k_main_political_party_tao_qian_ruler	3k_main_template_historical_mi_zhu_hero_water
3k_main_template_historical_sun_qian_hero_water	4	3k_main_political_party_tao_qian_ruler	3k_main_template_historical_sun_qian_hero_water
3k_main_template_generated_ze_bu_hero_wood	1	3k_main_political_party_ze_rong_190	3k_main_template_generated_ze_bu_hero_wood
3k_main_template_generated_lady_ze_yue_hero_metal	2	3k_main_political_party_ze_rong_190	3k_main_template_generated_lady_ze_yue_hero_metal
3k_main_template_generated_lady_ze_ningqin_hero_metal	3	3k_main_political_party_ze_rong_190	3k_main_template_generated_lady_ze_ningqin_hero_metal
3k_main_template_historical_zhang_miao_hero_water	1	3k_main_political_party_zhang_chao_190	3k_main_template_historical_zhang_miao_hero_water
3k_main_template_historical_zang_hong_hero_metal	2	3k_main_political_party_zhang_chao_190	3k_main_template_historical_zang_hong_hero_metal
3k_main_template_generated_lady_zhang_zhumeng_hero_metal	3	3k_main_political_party_zhang_chao_190	3k_main_template_generated_lady_zhang_zhumeng_hero_metal
3k_main_template_historical_huang_she_hero_metal	1	3k_main_political_party_huang_zu_190	3k_main_template_historical_huang_she_hero_metal
3k_main_template_historical_zhang_hu_hero_metal	2	3k_main_political_party_huang_zu_190	3k_main_template_historical_zhang_hu_hero_metal
3k_main_template_historical_su_fei_hero_fire	3	3k_main_political_party_huang_zu_190	3k_main_template_historical_su_fei_hero_fire
ironic_template_historical_huang_chengyan_hero_water	4	3k_main_political_party_huang_zu_190	ironic_template_historical_huang_chengyan_hero_water
3k_main_template_historical_lady_huang_yueying_hero_wood	5	3k_main_political_party_huang_zu_190	3k_main_template_historical_lady_huang_yueying_hero_wood
3k_main_template_historical_cai_he_hero_metal	1	3k_main_political_party_cai_mao_190	3k_main_template_historical_cai_he_hero_metal
ironic_template_historical_chen_ying_z_hero_fire	2	3k_main_political_party_cai_mao_190	ironic_template_historical_chen_ying_z_hero_fire
3k_main_template_historical_zhang_yun_hero_water	3	3k_main_political_party_cai_mao_190	3k_main_template_historical_zhang_yun_hero_water
ironic_template_historical_zhao_fan_hero_water	4	3k_main_political_party_cai_mao_190	ironic_template_historical_zhao_fan_hero_water
3k_main_template_historical_liu_qi_hero_earth	2	3k_main_political_party_liu_biao_ruler	3k_main_template_historical_liu_qi_hero_earth
3k_main_template_historical_liu_cong_hero_earth	3	3k_main_political_party_liu_biao_ruler	3k_main_template_historical_liu_cong_hero_earth
3k_main_template_historical_kuai_liang_hero_water	4	3k_main_political_party_liu_biao_ruler	3k_main_template_historical_kuai_liang_hero_water
3k_main_template_historical_kuai_yue_hero_water	5	3k_main_political_party_liu_biao_ruler	3k_main_template_historical_kuai_yue_hero_water
3k_main_template_historical_zhang_fu_hero_wood	1	3k_main_political_party_zhang_lu_190	3k_main_template_historical_zhang_fu_hero_wood
ironic_template_historical_zhang_wei_hero_earth	2	3k_main_political_party_zhang_lu_190	ironic_template_historical_zhang_wei_hero_earth
3k_main_template_historical_yang_bo_hero_metal	3	3k_main_political_party_zhang_lu_190	3k_main_template_historical_yang_bo_hero_metal
3k_main_template_historical_yan_pu_hero_water	4	3k_main_political_party_zhang_lu_190	3k_main_template_historical_yan_pu_hero_water
3k_main_template_historical_chen_chao_hero_fire	1	3k_main_political_party_jia_long_190	3k_main_template_historical_chen_chao_hero_fire
3k_main_template_historical_ren_qi_hero_fire	2	3k_main_political_party_jia_long_190	3k_main_template_historical_ren_qi_hero_fire
3k_main_template_generated_lady_jia_minxiang_hero_earth	3	3k_main_political_party_jia_long_190	3k_main_template_generated_lady_jia_minxiang_hero_earth
3k_main_template_historical_lu_xun_hero_water	4	3k_main_political_party_lu_kang_190	3k_main_template_historical_lu_xun_hero_water
3k_dlc04_template_historical_lu_jun_jicai_earth	3	3k_main_political_party_lu_kang_190	3k_dlc04_template_historical_lu_jun_jicai_earth
3k_dlc04_template_historical_lu_jun_earth	2	3k_main_political_party_lu_kang_190	3k_dlc04_template_historical_lu_jun_earth
3k_dlc04_template_historical_lu_shang_fire	1	3k_main_political_party_lu_kang_190	3k_dlc04_template_historical_lu_shang_fire
3k_main_template_generated_han_xin_hero_fire	1	ironic_main_han_sui_faction_leader	3k_main_template_generated_han_xin_hero_fire
3k_main_template_historical_ma_wan_hero_fire	2	ironic_main_han_sui_faction_leader	3k_main_template_historical_ma_wan_hero_fire
3k_main_template_historical_cheng_yi_hero_wood	3	ironic_main_han_sui_faction_leader	3k_main_template_historical_cheng_yi_hero_wood
3k_main_template_historical_liang_xing_hero_metal	4	ironic_main_han_sui_faction_leader	3k_main_template_historical_liang_xing_hero_metal
