key	icon_path	feature_type	sort_order
#frontend_faction_leader_unique_features_tables;3;db/frontend_faction_leader_unique_features_tables/ironic_unique_features			
ironic_cao_ren_assignment	UI\skins\default\scroll.png	ceo	0
ironic_cao_cao_vassal	ui/campaign ui/effect_bundles/3k_main_hero_special_earth_cao_cao.png	ceo	0
skm_cao_ren_guards_earth	ui/units/earth/skm_cao_ren_guards.png	unit	0
ironic_gao_gan_unique_conscription	ui/buildings/icons/district/military/3k_district_military_conscription_3.png	building	6
ironic_gan_ning_fire_cavalry	ui/hvo/units_reworked/hv_unit_bandits_2h_spear_cavalry.png	unit	6
ironic_gan_ning_metal_infantry	ui/hvo/units_reworked/hv_unit_bandits_drifting_warmongers.png	unit	6
ironic_gao_gan_fire_cavalry	ui/vaca_units/fire/Bingzhou_Raider_Cavalry.png	unit	6
ironic_gao_gan_metal_cavalry	ui/vaca_units/metal/immovable_blades.png	unit	6
ironic_huang_zu_positions	UI\ancillaries\followers\3k_main_ancillary_provincial_auditor.png	ceo	0
ironic_liu_yu_tribal_management	ui/Campaign UI/effect_bundles/3k_ironic_190_revamp_liu_yu.png	ceo	0
ironic_liu_yu_artisan_labour	ui/buildings/icons/district/artisan/3k_district_artisan_minting_5_info.png	building	1
ironic_hoarder_of_sources	ui/units/water/Large/ironic_chibi_hoarder_of_sources.png	unit	0
ironic_hoarder_of_ways	ui/units/wood/mh_unit_wood_stalwart_shields.png	unit	0
ironic_wu_hu_warband	ui/units/metal/3k_dlc06_unit_metal_ravine_warriors.png	unit	0
ironic_han_sui_spy_master	UI\ancillaries\followers\3k_main_ancillary_provincial_auditor.png	ceo	0
3k_mod_unit_earth_wuhuan_cavalry	ui/units/earth/3k_mod_unit_earth_wuhuan_cavalry.png	unit	0
3k_mod_unit_fire_wuhuan_dragons	ui/units/metal/3k_mod_unit_fire_wuhuan_dragons.png	unit	0
3k_mod_unit_metal_wuhuan_infantry	ui/units/metal/3k_mod_unit_metal_wuhuan_infantry.png	unit	0
3k_mod_unit_water_wuhuan_archers	ui/hvo/units_reworked/large/hv_unit_xianbei_archer_cavalry.png	unit	0
unit_wood_ironic_spear_milita_infantry	ui/hvo/units_reworked/hv_unit_buqu_spearmen.png	unit	0
unit_wood_ironic_han_fu_wood_infantry	ui/vaca_units/wood/guardians_of_hebei.png	unit	0
unit_metal_ironic_zhang_yang_metal_infantry	ui/units/metal/3k_dlc05_unit_metal_zhanmajian_infantry.png	unit	0
unit_earth_ironic_zhang_yang_earth_cavalry	ui/vaca_units/earth/bingzhou_riders.png	unit	0
unit_water_ironic_wang_kuang_water_archers	ui/hvo/units_reworked/large/hv_unit_xiliang_elite_enforcers.png	unit	0
unit_wood_ironic_wang_kuang_wood_infantry	ui/vaca_units/wood/swiftfood_spears.png	unit	0
unit_water_ironic_chen_gui_water_crossbow	ui/hvo/units_reworked/large/hv_unit_porcupine_crossbowmen.png	unit	0
unit_water_ironic_chen_gui_water_archers	ui/hvo/units_reworked/large/hv_unit_dan_yang_archers.png	unit	0
3k_ytr_unit_earth_white_wave_horsemen	ui/units/earth/3k_ytr_unit_earth_white_wave_horsemen.png	unit	0
3k_ytr_unit_metal_white_wave_veterans	ui/units/metal/3k_ytr_unit_metal_white_wave_veterans.png	unit	0
ironic_wuhuan_feature_recharge_movement	UI\skins\default\scroll.png	ceo	0
ironic_barbarian_feature_constant_war	UI\skins\default\scroll.png	ceo	0
ironic_jia_long_assignments	UI\skins\default\scroll.png	ceo	0
ironic_jia_long_country_estate	UI\Buildings\Icons\district\government\3k_district_government_administration_yuan_5.png	building	1
ironic_goguryeo_unit_rew_iro_goguryeo_unit_fire_gaema_lancers	ui/units/fire/3k_mod_unit_fire_malgal_lancer.png	unit	0
ironic_goguryeo_unit_rew_iro_goguryeo_unit_fire_noble_gaema_lancers	ui/units/fire/3k_mod_unit_fire_goguryeo_gaema.png	unit	1
ironic_goguryeo_unit_rew_iro_goguryeo_unit_fire_noble_gaema_cataphracts	ui/units/fire/3k_mod_unit_fire_goguryeo_gaema_cataphracts.png	unit	2
ironic_goguryeo_unit_rew_iro_goguryeo_unit_wood_gaema_tribesmen	ui/units/wood/3k_mod_unit_wood_malgal_raider.png	unit	3
