frontend_faction_leader	frontend_faction_leader_unique_feature
#frontend_faction_leaders_to_frontend_faction_leader_unique_features_junctions_tables;0;db/frontend_faction_leaders_to_frontend_faction_leader_unique_features_junctions_tables/ironic_190e_korean_rosters	
3k_main_political_party_gaya_190	rew_iro_gaya_unit_metal_ingot_breakers
3k_main_political_party_gaya_190	rew_iro_gaya_unit_metal_iron_plate_guard
3k_main_political_party_bakaja_190	rew_iro_bakaja_unit_earth_border_raiders
3k_main_political_party_bakaja_190	rew_iro_bakaja_unit_metal_yoche_stormers
3k_main_political_party_shitla_190	rew_iro_shitla_unit_water_cloud_readers
3k_main_political_party_shitla_190	rew_iro_shitla_unit_wood_fortress_wardens
3k_main_political_party_korea_ye_190	rew_iro_korea_ye_unit_water_dan_gung_archers
3k_main_political_party_korea_ye_190	rew_iro_korea_ye_unit_wood_three_zhang_spears
3k_main_political_party_tamno_190	rew_iro_tamno_unit_earth_samseong_ponies
3k_main_political_party_tamno_190	rew_iro_tamno_unit_wood_strait_raiders
3k_main_political_party_buyeo_190	rew_iro_buyeo_unit_wood_household_levy
3k_main_political_party_buyeo_190	rew_iro_buyeo_unit_fire_ma_ga_lancers
