frontend_faction_leader	frontend_faction_leader_unique_feature
#frontend_faction_leaders_to_frontend_faction_leader_unique_features_junctions_tables;0;db/frontend_faction_leaders_to_frontend_faction_leader_unique_features_junctions_tables/ironic_190e_southern_rosters	
3k_dlc06_political_party_shi_xie_ruler_190	rew_iro_shi_xie_wood_jiaozhi_javelin_spears
3k_dlc06_political_party_shi_xie_ruler_190	rew_iro_shi_xie_water_jiaozhi_longbows
3k_main_political_party_faction_jiuzhen_190	rew_iro_qu_pan_metal_jiuzhen_tiger_handlers
3k_main_political_party_faction_jiuzhen_190	rew_iro_qu_pan_water_jiuzhen_elephants
3k_main_political_party_shi_huang_190	rew_iro_shi_huang_wood_cangwu_shield_spears
3k_main_political_party_shi_huang_190	rew_iro_shi_huang_metal_cangwu_axes
3k_main_political_party_fei_zhan_190	rew_iro_fei_zhan_water_yue_hill_archers
3k_main_political_party_fei_zhan_190	rew_iro_fei_zhan_metal_yue_forest_axes
3k_main_political_party_zhang_xian_190	rew_iro_zhang_xian_wood_lingling_spears
3k_main_political_party_zhang_xian_190	rew_iro_zhang_xian_metal_lingling_swordguard
3k_main_political_party_pan_lin_190	rew_iro_pan_lin_water_shanyue_hunters
3k_main_political_party_pan_lin_190	rew_iro_pan_lin_wood_shanyue_dread_spears
3k_main_political_party_liu_pan_190	rew_iro_liu_pan_earth_changsha_raiders
3k_main_political_party_liu_pan_190	rew_iro_liu_pan_metal_changsha_stalking_axes
3k_main_political_party_liu_xun_190	rew_iro_liu_xun_water_lujiang_spear_archers
3k_main_political_party_liu_xun_190	rew_iro_liu_xun_metal_lujiang_shieldguard
3k_main_political_party_ni_xiaode_190	rew_iro_ni_xiaode_water_nanhai_marine_crossbows
3k_main_political_party_ni_xiaode_190	rew_iro_ni_xiaode_wood_nanhai_pearl_halberdiers
3k_main_political_party_zhu_fu_190	rew_iro_zhu_fu_metal_wuling_improvisers
3k_main_political_party_zhu_fu_190	rew_iro_zhu_fu_water_wuling_inconstant_guard
3k_main_political_party_bian_rang_190	rew_iro_bian_rang_water_scholar_crossbows
3k_main_political_party_bian_rang_190	rew_iro_bian_rang_wood_retainer_spearguards
3k_main_political_party_su_dai_190	rew_iro_su_dai_water_hired_marksmen
3k_main_political_party_su_dai_190	rew_iro_su_dai_metal_caravan_guards
3k_main_political_party_lai_gong_190	rew_iro_lai_gong_wood_gaoliang_levy_spears
3k_main_political_party_lai_gong_190	rew_iro_lai_gong_water_southern_watch_archers
3k_main_political_party_wu_ju_190	rew_iro_wu_ju_metal_yulin_storm_axes
3k_main_political_party_wu_ju_190	rew_iro_wu_ju_metal_yulin_tempest_glaives
ironic_faction_yellow_turban_wu_huan_190	rew_iro_wu_huan_ytr_wood_jiangdong_zealot_spears
ironic_faction_yellow_turban_wu_huan_190	rew_iro_wu_huan_ytr_water_faithful_archers
3k_main_political_party_zhang_jin_190	rew_iro_zhang_jin_water_vermilion_veil_archers
3k_main_political_party_zhang_jin_190	rew_iro_zhang_jin_wood_meridian_halberdiers
