frontend_faction_leader	frontend_faction_leader_unique_feature
#frontend_faction_leaders_to_frontend_faction_leader_unique_features_junctions_tables;0;db/frontend_faction_leaders_to_frontend_faction_leader_unique_features_junctions_tables/ironic_unique_features	
3k_main_political_party_cai_mao_190	ironic_cao_ren_assignment
3k_main_political_party_cai_mao_190	3k_main_unique_features_liu_biao_imperial_defenders
3k_main_political_party_cai_mao_190	3k_main_unique_features_liu_biao_infantry_of_jing
ironic_main_gao_gan_faction_leader	ironic_gao_gan_unique_conscription
ironic_main_gao_gan_faction_leader	ironic_gao_gan_fire_cavalry
ironic_main_gao_gan_faction_leader	ironic_gao_gan_metal_cavalry
3k_main_political_party_gan_ning_190	ironic_gan_ning_fire_cavalry
3k_main_political_party_gan_ning_190	ironic_gan_ning_metal_infantry
3k_main_political_party_huang_zu_190	3k_main_unique_features_liu_biao_imperial_defenders
3k_main_political_party_huang_zu_190	3k_main_unique_features_liu_biao_infantry_of_jing
3k_main_political_party_huang_zu_190	ironic_huang_zu_positions
3k_main_political_party_huang_zu_190	rew_iro_huang_zu_wood_jingzhou_ambushers
3k_main_political_party_huang_zu_190	rew_iro_huang_zu_metal_skyrim_stealth_archers
3k_main_political_party_cai_mao_190	rew_iro_cai_mao_metal_jingzhou_marines
3k_main_political_party_cai_mao_190	rew_iro_cai_mao_metal_assault_marines
3k_main_political_party_liu_yu_190	ironic_liu_yu_tribal_management
3k_main_political_party_liu_yu_190	ironic_liu_yu_artisan_labour
ironic_main_song_jian_faction_leader	ironic_hoarder_of_sources
ironic_main_song_jian_faction_leader	ironic_hoarder_of_ways
ironic_main_han_sui_faction_leader	ironic_wu_hu_warband
ironic_main_han_sui_faction_leader	3k_main_unique_features_ma_teng_qiang_hunters
ironic_main_han_sui_faction_leader	3k_main_unique_features_ma_teng_qiang_marauders
ironic_main_han_sui_faction_leader	3k_main_unique_features_ma_teng_qiang_raiders
ironic_main_han_sui_faction_leader	3k_main_unique_features_dong_zhuo_xiliang_cavalry
ironic_main_han_sui_faction_leader	ironic_han_sui_spy_master
3k_main_political_party_wu_ju_190	ep_unqiue_features_sima_jiong_assignment
3k_main_political_party_wu_ju_190	ep_unqiue_features_sima_jiong_captains
