key	accuracy	armour	campaign_action_points	category	charge_bonus	class	dismounted_charge_bonus	dismounted_melee_attack	historical_description_text	melee_attack	melee_defence	morale	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	strengths_weaknesses_text	supports_first_person	training_level	officers	is_male	visibility_spotting_range_min	visibility_spotting_range_max	ability_global_recharge	attribute_group	spot_dist_tree	spot_dist_scrub	loose_spacing	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	capture_power	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	sync_locomotion	melee_attack_interval_reduction_percentage	reload_time_reduction_percentage	personalities_location	is_primarily_melee	secondary_melee_weapon
#land_units_tables;49;db/land_units_tables/ironic_190e_southern_rosters																																																			
rew_iro_shi_xie_wood_jiaozhi_javelin_spears	0	3k_main_unit_leather_reinforced	1900	inf_melee	90	inf_spr	90	0	none	0	38	50	3k_main_unit_2h250_spear	3k_dlc06_unit_javelin_precursor	10	none	none	3k_infantry_default	none	false	well_trained	A_blank_record	true	60.0000	800.0000	0.0000	3k_mod_hide_forest_snipe	50	50	false	battle_vo_order_spearmen	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_medium	0	12	0	0	0	0	0	3k_main_infantry_spear	false	false	0	0	random	true	
rew_iro_shi_xie_water_jiaozhi_longbows	0	3k_main_unit_leather_partial	1900	inf_ranged	26	inf_mis	26	0	none	0	18	40	3k_main_unit_1h095_sword_single_edge	ironic_bow_jiaozhi_long	10	none	none	3k_infantry_default	none	false	trained	A_blank_record	true	60.0000	800.0000	0.0000	3k_hide_forest	50	50	false	battle_vo_order_archers	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_light	0	20	0	0	0	0	0	3k_main_infantry_ranged	true	false	0	0	random	false	
rew_iro_qu_pan_metal_jiuzhen_tiger_handlers	0	3k_dlc06_unit_rattan_heavy	1950	inf_melee	150	inf_mel	150	0	none	0	24	36	3k_dlc06_unit_dw_mixed_mace_axe		4	none	none	3k_infantry_handlers	none	false	elite	A_blank_record	true	50.0000	1000.0000	0.0000	3k_hide_forest_stalk	50	50	false	battle_vo_order_nanman_tiger_warriors	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_medium_nanman	0	0	-100	0	0	0	0	3k_main_infantry_melee	false	false	0	0	random	false	3k_dlc_06_tiger_handler
rew_iro_qu_pan_water_jiuzhen_elephants	0	3k_main_unit_tunic	2450	war_beast	491	elph	491	0	none	0	12	34	3k_dlc06_unit_elephant_trunk	3k_dlc06_unit_sling	3	none	none	3k_elephant	none	false	elite	A_blank_record	true	50.0000	1000.0000	0.0000	3k_hide_forest_stalk	50	50	false	battle_vo_order_nanman_war_elephants	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_elephant	0	30	0	0	0	0	0	ironic_elephants_stalker	false	false	0	-50	random	true	
rew_iro_shi_huang_wood_cangwu_shield_spears	0	3k_main_unit_iron_partial	1900	inf_melee	95	inf_spr	95	0	none	0	48	56	3k_main_unit_1h175_spear		10	3k_main_unit_infantry_tower	none	3k_infantry_elite	none	false	well_trained	A_blank_record	true	60.0000	800.0000	0.0000	3k_hide_forest_charge_reflector_vs_large_disciplined	50	50	false	battle_vo_order_spearmen	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_heavy	0	0	0	0	0	50	0	3k_main_infantry_spear	false	false	0	0	random	true	
rew_iro_shi_huang_metal_cangwu_axes	0	3k_main_unit_leather_partial	1900	inf_melee	130	inf_mel	130	0	none	0	22	44	3k_main_unit_1h095_axe		10	none	none	3k_infantry_default	none	false	trained	A_blank_record	true	60.0000	800.0000	0.0000	3k_hide_forest	50	50	false	battle_vo_order_axes	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_light	0	0	0	0	0	-25	0	3k_main_infantry_melee	false	false	0	0	random	true	
rew_iro_fei_zhan_water_yue_hill_archers	0	3k_main_unit_tunic	1900	inf_ranged	22	inf_mis	22	0	none	0	14	36	3k_main_unit_1h095_sword_single_edge_weak	3k_main_unit_bow_wooden_composite_militia	10	none	none	3k_infantry_default	none	false	poorly_trained	A_blank_record	true	60.0000	800.0000	0.0000	3k_hide_forest_ignore_terrain	50	50	false	battle_vo_order_archers	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_light	0	22	0	0	0	0	0	3k_main_infantry_ranged	true	false	0	0	random	false	
rew_iro_fei_zhan_metal_yue_forest_axes	0	3k_main_unit_leather_heavy	1900	inf_melee	165	inf_mel	165	0	none	0	32	52	3k_dlc05_unit_2h175_axe	3k_dlc06_unit_throwing_axe_precursor	10	none	none	3k_infantry_default	none	false	well_trained	A_blank_record	true	60.0000	800.0000	0.0000	3k_hide_forest_ignore_terrain	50	50	false	battle_vo_order_axes	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_medium	0	3	0	0	0	0	0	3k_main_infantry_melee	false	false	0	0	random	true	
rew_iro_zhang_xian_wood_lingling_spears	0	3k_main_unit_leather_partial	1900	inf_melee	80	inf_spr	80	0	none	0	34	44	3k_main_unit_2h250_spear		10	none	none	3k_infantry_default	none	false	trained	A_blank_record	true	60.0000	800.0000	0.0000	3k_hide_forest_charge_reflector_vs_large_disciplined	50	50	false	battle_vo_order_spearmen	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_light	0	0	0	0	0	-25	0	3k_main_infantry_spear	false	false	0	0	random	true	
