key	accuracy	armour	campaign_action_points	category	charge_bonus	class	dismounted_charge_bonus	dismounted_melee_attack	historical_description_text	melee_attack	melee_defence	morale	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	strengths_weaknesses_text	supports_first_person	training_level	officers	is_male	visibility_spotting_range_min	visibility_spotting_range_max	ability_global_recharge	attribute_group	spot_dist_tree	spot_dist_scrub	loose_spacing	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	capture_power	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	sync_locomotion	melee_attack_interval_reduction_percentage	reload_time_reduction_percentage	personalities_location	is_primarily_melee	secondary_melee_weapon
#land_units_tables;49;db/land_units_tables/ironic_diy_two																																																			
ironic_militia_mounted_sabre_earth	0	3k_main_unit_leather_partial	2450	cavalry	137	cav_mel	34	0	ironic_militia_mounted_sabre_earth	0	17	38	3k_main_unit_1h095_sword_single_edge_militia		5	3k_main_unit_cavalry_rattan	ironic_militia_mounted_sabre_earth	3k_cavalry_militia	placeholder	false	rabble	A_blank_record	true	50.0000	1000.0000	0.0000	3k_hide_forest	50	50	false	battle_vo_order_cavalry	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_cavalry_light	0	0	0	0	0	50	0	3k_main_cavalry_melee	false	false	-10	0	random	false	
ironic_militia_ji_wood	0	3k_main_unit_leather_partial	1900	inf_melee	18	inf_pik	18	0	ironic_militia_ji_wood	0	4	32	3k_main_unit_2h250_polearm_ji_militia		10	none	ironic_militia_ji_wood	3k_infantry_militia	placeholder	false	rabble	A_blank_record	true	50.0000	800.0000	0.0000	3k_hide_forest_charge_reflector_vs_large	50	50	false	battle_vo_order_halberds	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_light	0	0	0	0	0	0	0	3k_main_infantry_pike	false	false	-10	0	random	false	
ironic_militia_spearmen_wood	0	3k_main_unit_leather_partial	1900	inf_melee	12	inf_spr	12	0	ironic_militia_spearmen_wood	0	2	32	3k_main_unit_1h175_spear_militia		10	3k_main_unit_infantry_oval	ironic_militia_spearmen_wood	3k_infantry_militia	placeholder	false	rabble	A_blank_record	true	50.0000	800.0000	0.0000	3k_hide_forest_charge_reflector_vs_large	50	50	false	battle_vo_order_spearmen	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_light	0	0	0	0	0	0	0	3k_main_infantry_spear	false	false	-10	0	random	false	
ironic_tianshi_horse_archers_water	0	3k_main_unit_leather_reinforced	2450	cavalry	72	cav_mis	18	0	ironic_tianshi_horse_archers_water	0	12	41	3k_main_unit_1h095_sword_single_edge	3k_main_unit_bow_long_siyah_horn	5	none	ironic_tianshi_horse_archers_water	3k_cavalry_default	placeholder	false	well_trained	A_blank_record	true	50.0000	1000.0000	0.0000	3k_hide_forest_mounted_fire_move_mounted_fire_parthian	50	50	false	battle_vo_order_cavalry	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_cavalry_medium	0	50	0	0	0	0	0	3k_main_cavalry_ranged	true	false	5	60	random	false	
ironic_farmland_warriors_metal	0	3k_main_unit_tunic	1900	inf_melee	70	inf_mel	70	0	ironic_farmland_warriors_metal	0	10	28	3k_main_unit_dw095_axe		10	none	ironic_farmland_warriors_metal	3k_infantry_militia	placeholder	false	mob	A_blank_record	true	50.0000	800.0000	0.0000	3k_hide_forest	50	50	false	battle_vo_order_axes	battle_vo_order_peasants	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_light	0	0	0	0	0	0	0	3k_main_infantry_melee	false	false	-50	0	random	false	
ironic_farmland_protectors_wood	0	3k_main_unit_tunic	1900	inf_melee	22	inf_spr	22	0	ironic_farmland_protectors_wood	0	10	26	3k_main_unit_2h175_rake		10	none	ironic_farmland_protectors_wood	3k_infantry_militia	placeholder	false	mob	A_blank_record	true	50.0000	800.0000	0.0000	3k_hide_forest_charge_reflector_vs_large	50	50	false	battle_vo_order_spearmen	battle_vo_order_peasants	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_light	0	0	0	0	0	0	0	3k_main_infantry_spear	false	false	-50	0	random	false	
ironic_farmland_hunters_water	0	3k_main_unit_tunic	1900	inf_ranged	1	inf_mis	1	0	ironic_farmland_hunters_water	0	1	23	3k_ytr_unit_1h095_club	3k_main_unit_bow_wooden_composite_militia	10	none	ironic_farmland_hunters_water	3k_infantry_militia	placeholder	false	mob	A_blank_record	true	50.0000	800.0000	0.0000	3k_hide_forest	50	50	false	battle_vo_order_archers	battle_vo_order_peasants	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_light	0	13	0	0	0	0	0	3k_main_infantry_ranged	true	false	-50	-25	random	false	
ironic_wudou_ji_infantry_wood	0	3k_main_unit_leather_reinforced	1900	inf_melee	26	inf_pik	26	0	ironic_wudou_ji_infantry_wood	0	5	40	3k_main_unit_2h250_polearm_ji		10	none	ironic_wudou_ji_infantry_wood	3k_infantry_default	placeholder	false	poorly_trained	A_blank_record	true	50.0000	800.0000	0.0000	3k_hide_forest_charge_reflector_vs_large	50	50	false	battle_vo_order_halberds	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_medium	0	0	0	0	0	0	0	3k_main_infantry_pike	false	false	-5	-5	random	false	
ironic_wudou_spear_guards_wood	0	3k_main_unit_leather_reinforced	1900	inf_melee	19	inf_spr	19	0	ironic_wudou_spear_guards_wood	0	3	40	3k_main_unit_1h175_spear_militia		10	3k_main_unit_infantry_large	ironic_wudou_spear_guards_wood	3k_infantry_default	placeholder	false	poorly_trained	A_blank_record	true	50.0000	800.0000	0.0000	3k_hide_forest_charge_reflector_vs_large	50	50	false	battle_vo_order_spearmen	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_medium	0	0	0	0	0	0	0	3k_main_infantry_spear	false	false	-5	-5	random	false	
