key	accuracy	armour	campaign_action_points	category	charge_bonus	class	dismounted_charge_bonus	dismounted_melee_attack	historical_description_text	melee_attack	melee_defence	morale	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	strengths_weaknesses_text	supports_first_person	training_level	officers	is_male	visibility_spotting_range_min	visibility_spotting_range_max	ability_global_recharge	attribute_group	spot_dist_tree	spot_dist_scrub	loose_spacing	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	capture_power	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	sync_locomotion	melee_attack_interval_reduction_percentage	reload_time_reduction_percentage	personalities_location	is_primarily_melee	secondary_melee_weapon
#land_units_tables;49;db/land_units_tables/rew_iro_korean_units_rosters																																																			
rew_iro_korean_unit_earth_hwandudaedo_guards	0	ep_unit_cataphract	2450	cavalry	175	cav_mel	58	0	3k_main_unit_earth_jian_cavalry_captain	0	44	64	3k_main_unit_1h095_sword_double_edge_elite		5	3k_main_unit_cavalry_side_jade	3k_main_unit_earth_jian_cavalry_captain	3k_cavalry_elite	3k_main_unit_earth_jian_cavalry_captain	false	elite	A_blank_record	true	50.0000	1000.0000	0.0000	3k_hide_forest_encourage_disciplined	50	50	false	battle_vo_order_cataphract	battle_vo_order_jian	battle_vo_order_select	1.0000	10.0000	3k_main_cavalry_heavy	0	0	0	0	0	50	0	3k_main_cavalry_melee	false	false	35	0	random	false	
rew_iro_korean_unit_earth_scout_cavalry	0	3k_main_unit_leather_partial	2450	cavalry	145	cav_mel	36	0	3k_dlc05_unit_earth_bandit_marauders	0	9	32	3k_main_unit_1h095_axe_militia		5	none	3k_dlc05_unit_earth_bandit_marauders	3k_cavalry_militia	3k_dlc05_unit_earth_bandit_marauders	false	poorly_trained	A_blank_record	true	50.0000	1000.0000	0.0000	3k_hide_forest_ignore_terrain	800	800	false	battle_vo_order_cavalry	battle_vo_order_axes	battle_vo_order_select	1.0000	25.0000	rew_iro_scout_cav	0	0	0	0	0	50	0	3k_main_cavalry_shock	false	false	0	0	random	false	
rew_iro_korean_unit_fire_noble_pillager_cavalry	0	3k_main_unit_iron_full	2450	cavalry	282	cav_shk	70	0	3k_main_unit_fire_raider_cavalry	0	26	43	rew_iro_1h175_spear_elite		5	3k_main_unit_cavalry_side_jade	3k_main_unit_fire_raider_cavalry	3k_cavalry_elite	3k_main_unit_fire_raider_cavalry	false	elite	A_blank_record	true	50.0000	1000.0000	0.0000	3k_hide_forest_raider	50	50	false	battle_vo_order_cavalry	battle_vo_order_spearmen	battle_vo_order_select	1.0000	25.0000	3k_main_cavalry_heavy	0	3	0	0	0	0	0	3k_main_cavalry_shock	false	false	0	0	random	false	
rew_iro_korean_unit_fire_pillager_cavalry	0	rew_iro_korean_bronze_armour_regular	2450	cavalry	245	cav_shk	61	0	3k_main_unit_fire_raider_cavalry	0	22	32	3k_main_unit_1h175_spear		5	3k_main_unit_cavalry_rattan	3k_main_unit_fire_raider_cavalry	3k_cavalry_default	3k_main_unit_fire_raider_cavalry	false	trained	A_blank_record	true	50.0000	1000.0000	0.0000	3k_hide_forest_raider	50	50	false	battle_vo_order_cavalry	battle_vo_order_spearmen	battle_vo_order_select	1.0000	25.0000	3k_main_cavalry_medium	0	2	0	0	0	0	0	3k_main_cavalry_shock	false	false	0	0	random	false	
rew_iro_korean_unit_metal_elite_axe_warriors	0	3k_main_unit_iron_full	1900	inf_melee	165	inf_mel	105	0	3k_main_unit_metal_axe_band	0	23	44	3k_main_unit_1h095_axe_elite		10	3k_main_unit_cavalry_side_jade	3k_main_unit_metal_axe_band	3k_infantry_elite	3k_main_unit_metal_axe_band	false	well_trained	A_blank_record	true	50.0000	800.0000	0.0000	3k_hide_forest	50	50	false	battle_vo_order_axes	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_heavy	0	0	0	0	0	0	0	3k_main_infantry_melee	false	false	0	0	random	false	
rew_iro_korean_unit_metal_axe_warriors	0	rew_iro_korean_bronze_armour_regular	1900	inf_melee	144	inf_mel	105	0	3k_main_unit_metal_axe_band	0	19	35	3k_main_unit_1h095_axe		10	3k_main_unit_infantry_rattan	3k_main_unit_metal_axe_band	3k_infantry_default	3k_main_unit_metal_axe_band	false	trained	A_blank_record	true	50.0000	800.0000	0.0000	3k_hide_forest	50	50	false	battle_vo_order_axes	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_medium	0	0	0	0	0	0	0	3k_main_infantry_melee	false	false	0	0	random	false	
rew_iro_korean_unit_metal_axe_militia	0	3k_main_unit_leather_partial	1900	inf_melee	125	inf_mel	105	0	3k_main_unit_metal_axe_band	0	11	26	3k_main_unit_1h095_axe_militia		10	3k_main_unit_infantry_rattan	3k_main_unit_metal_axe_band	3k_infantry_militia	3k_main_unit_metal_axe_band	false	poorly_trained	A_blank_record	true	50.0000	800.0000	0.0000	3k_hide_forest	50	50	false	battle_vo_order_axes	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_light	0	0	0	0	0	0	0	3k_main_infantry_melee	false	false	0	0	random	false	
rew_iro_korean_unit_metal_peasants_warriors	0	3k_main_unit_tunic	1900	inf_melee	80	inf_mel	105	0	3k_main_unit_metal_axe_band	0	3	22	3k_ytr_unit_1h095_club		10	3k_main_unit_infantry_oval	3k_main_unit_metal_axe_band	3k_infantry_militia	3k_main_unit_metal_axe_band	false	mob	A_blank_record	true	50.0000	800.0000	0.0000	3k_hide_forest	50	50	false	battle_vo_order_peasants	battle_vo_order_axes	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_light	0	0	0	0	0	0	0	3k_main_infantry_melee	false	false	0	0	random	false	
rew_iro_korean_unit_water_noble_archers	0	3k_main_unit_iron_partial	1900	inf_ranged	14	inf_mis	21	0	3k_main_unit_water_archers	0	10	42	3k_main_unit_1h095_axe	3k_main_unit_bow_long_siyah_horn_elite	10	none	3k_main_unit_water_archers	3k_infantry_elite	3k_main_unit_water_archers	false	well_trained	A_blank_record	true	50.0000	800.0000	0.0000	3k_hide_forest	50	50	false	battle_vo_order_archers	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_medium	0	31	0	0	0	0	0	3k_main_infantry_ranged	true	false	-25	0	random	false	
