unit	additional_building_requirement	campaign_cap	caste	create_time	can_trade	land_unit	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	resource_requirement	world_leader_only	is_naval	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	min_health_fraction	restrict_xp_gain_in_campaign	is_mergeable	turns_to_muster_to_full_strength	unit_card	campaign_siege_escalation_percentage_effectiveness	voiceover_actor_group	spawning_health_fraction	adc_plays_as_conversation
#main_units_tables;42;db/main_units_tables/ironic_190e_southern_rosters																																															
rew_iro_shi_xie_wood_jiaozhi_javelin_spears		0	melee_infantry	0	false	rew_iro_shi_xie_wood_jiaozhi_javelin_spears	0	1100	3k_main_campaign_ship_transport	1	1	320	0	1250			260	medium		false	false	0	190825010	true		vo_Empire	3k_main_unit_spear_infantry_wood	3k_main_unit_spear_infantry_wood	3	false	default		true		780.0000	240.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_buqu_ji_infantry	3.0000	vo_actor_group_generic_any_male_wood_general	0.2000	true
rew_iro_shi_xie_water_jiaozhi_longbows		0	missile_infantry	0	false	rew_iro_shi_xie_water_jiaozhi_longbows	0	900	3k_main_campaign_ship_transport	1	1	320	0	780			190	light		false	false	0	190825011	true		vo_Empire	3k_main_unit_ranged_infantry_water	3k_main_unit_ranged_infantry_water	2	false	default		true		170.0000	520.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_buqu_archers	6.0000	vo_actor_group_generic_any_male_water_general	0.2000	true
rew_iro_qu_pan_metal_jiuzhen_tiger_handlers		0	melee_infantry	0	false	rew_iro_qu_pan_metal_jiuzhen_tiger_handlers	0	900	3k_main_campaign_ship_transport	1	1	320	0	1150			280	medium		false	false	0	190825012	true		vo_Empire	3k_dlc06_unit_animal_handlers_metal	3k_dlc06_unit_animal_handlers_metal	3	false	default		true		500.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/units/metal/3k_dlc06_unit_metal_tiger_warriors	4.0000	vo_actor_group_generic_any_male_metal_general	0.2000	true
rew_iro_qu_pan_water_jiuzhen_elephants		0	melee_cavalry	0	false	rew_iro_qu_pan_water_jiuzhen_elephants	0	1300	3k_main_campaign_ship_transport	1	1	320	0	1900			460	heavy		false	false	0	190825013	true		vo_Empire	3k_dlc06_unit_elephant_water	3k_dlc06_unit_elephant_water	4	false	default		true		340.0000	190.0000	false	vo_Empire	0.1000	false	true	8	ui/units/fire/3k_dlc06_unit_fire_war_elephants	2.0000	vo_actor_group_generic_any_male_water_general	0.2000	true
rew_iro_shi_huang_wood_cangwu_shield_spears		0	melee_infantry	0	false	rew_iro_shi_huang_wood_cangwu_shield_spears	0	1250	3k_main_campaign_ship_transport	1	1	320	0	1450			300	heavy		false	false	0	190825014	true		vo_Empire	3k_main_unit_spear_infantry_wood	3k_main_unit_spear_infantry_wood	3	false	default		true		950.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/3k_dlc07_unit_wood_northern_spear_guards	3.0000	vo_actor_group_generic_any_male_wood_general	0.2000	true
rew_iro_shi_huang_metal_cangwu_axes		0	melee_infantry	0	false	rew_iro_shi_huang_metal_cangwu_axes	0	900	3k_main_campaign_ship_transport	1	1	320	0	820			200	light		false	false	0	190825015	true		vo_Empire	3k_main_unit_axe_infantry_metal	3k_main_unit_axe_infantry_metal	2	false	default		true		620.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/vaca_units/metal/wu_engineers	5.0000	vo_actor_group_generic_any_male_metal_general	0.2000	true
rew_iro_fei_zhan_water_yue_hill_archers		0	missile_infantry	0	false	rew_iro_fei_zhan_water_yue_hill_archers	0	700	3k_main_campaign_ship_transport	1	1	320	0	620			160	light		false	false	0	190825016	true		vo_Empire	3k_main_unit_ranged_infantry_water	3k_main_unit_ranged_infantry_water	1	false	default		true		140.0000	380.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_bandits_archers	6.0000	vo_actor_group_generic_any_male_water_general	0.2000	true
rew_iro_fei_zhan_metal_yue_forest_axes		0	melee_infantry	0	false	rew_iro_fei_zhan_metal_yue_forest_axes	0	1100	3k_main_campaign_ship_transport	1	1	320	0	1300			270	medium		false	false	0	190825017	true		vo_Empire	3k_main_unit_axe_infantry_metal	3k_main_unit_axe_infantry_metal	3	false	default		true		880.0000	120.0000	false	vo_Empire	0.1000	false	true	8	ui/units/metal/3k_dlc06_unit_metal_might_of_the_valley	4.0000	vo_actor_group_generic_any_male_metal_general	0.2000	true
rew_iro_zhang_xian_wood_lingling_spears		0	melee_infantry	0	false	rew_iro_zhang_xian_wood_lingling_spears	0	850	3k_main_campaign_ship_transport	1	1	320	0	760			185	light		false	false	0	190825018	true		vo_Empire	3k_main_unit_spear_infantry_wood	3k_main_unit_spear_infantry_wood	2	false	default		true		560.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_jingchou_buqu_2h_spearmen	4.0000	vo_actor_group_generic_any_male_wood_general	0.2000	true
rew_iro_zhang_xian_metal_lingling_swordguard		0	melee_infantry	0	false	rew_iro_zhang_xian_metal_lingling_swordguard	0	1250	3k_main_campaign_ship_transport	1	1	320	0	1500			310	heavy		false	false	0	190825019	true		vo_Empire	3k_main_unit_sword_infantry_metal	3k_main_unit_sword_infantry_metal	3	false	default		true		1000.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_elite_swordsmen	4.0000	vo_actor_group_generic_any_male_metal_general	0.2000	true
rew_iro_pan_lin_water_shanyue_hunters		0	missile_infantry	0	false	rew_iro_pan_lin_water_shanyue_hunters	0	850	3k_main_campaign_ship_transport	1	1	320	0	740			180	light		false	false	0	190825020	true		vo_Empire	3k_main_unit_ranged_infantry_water	3k_main_unit_ranged_infantry_water	2	false	default		true		190.0000	430.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_shanyue_javelineer	6.0000	vo_actor_group_generic_any_male_water_general	0.2000	true
rew_iro_pan_lin_wood_shanyue_dread_spears		0	melee_infantry	0	false	rew_iro_pan_lin_wood_shanyue_dread_spears	0	1200	3k_main_campaign_ship_transport	1	1	320	0	1400			290	medium		false	false	0	190825021	true		vo_Empire	3k_main_unit_spear_infantry_wood	3k_main_unit_spear_infantry_wood	3	false	default		true		900.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_shanyue_warriors	3.0000	vo_actor_group_generic_any_male_wood_general	0.2000	true
rew_iro_liu_pan_earth_changsha_raiders		0	melee_cavalry	0	false	rew_iro_liu_pan_earth_changsha_raiders	0	1000	3k_main_campaign_ship_transport	1	1	320	0	1050			260	light		false	false	0	190825022	true		vo_Empire	3k_main_unit_sword_cavalry_earth	3k_main_unit_sword_cavalry_earth	2	false	default		true		820.0000	210.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_buqu_raid_cavalry	2.0000	vo_actor_group_generic_any_male_earth_general	0.2000	true
rew_iro_liu_pan_metal_changsha_stalking_axes		0	melee_infantry	0	false	rew_iro_liu_pan_metal_changsha_stalking_axes	0	1150	3k_main_campaign_ship_transport	1	1	320	0	1380			285	medium		false	false	0	190825023	true		vo_Empire	3k_main_unit_axe_infantry_metal	3k_main_unit_axe_infantry_metal	3	false	default		true		920.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_jingchou_buqu_2h_axemen	4.0000	vo_actor_group_generic_any_male_metal_general	0.2000	true
rew_iro_liu_xun_water_lujiang_spear_archers		0	missile_infantry	0	false	rew_iro_liu_xun_water_lujiang_spear_archers	0	1200	3k_main_campaign_ship_transport	1	1	320	0	1480			305	medium		false	false	0	190825024	true		vo_Empire	3k_main_unit_glavie_bow_infantry_wood	3k_main_unit_glavie_bow_infantry_wood	3	false	default		true		600.0000	480.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_elite_heavy_bow_archers	4.0000	vo_actor_group_generic_any_male_water_general	0.2000	true
rew_iro_liu_xun_metal_lujiang_shieldguard		0	melee_infantry	0	false	rew_iro_liu_xun_metal_lujiang_shieldguard	0	900	3k_main_campaign_ship_transport	1	1	320	0	880			210	medium		false	false	0	190825025	true		vo_Empire	3k_main_unit_sword_infantry_metal	3k_main_unit_sword_infantry_metal	2	false	default		true		700.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_guanxibing_swordsmen	4.0000	vo_actor_group_generic_any_male_metal_general	0.2000	true
rew_iro_ni_xiaode_water_nanhai_marine_crossbows		0	missile_infantry	0	false	rew_iro_ni_xiaode_water_nanhai_marine_crossbows	0	950	3k_main_campaign_ship_transport	1	1	320	0	860			205	light		false	false	0	190825026	true		vo_Empire	3k_main_unit_crossbow_infantry_water	3k_main_unit_crossbow_infantry_water	2	false	default		true		180.0000	560.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_chen_crossbow_defenders	6.0000	vo_actor_group_generic_any_male_water_general	0.2000	true
