unit	additional_building_requirement	campaign_cap	caste	create_time	can_trade	land_unit	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	resource_requirement	world_leader_only	is_naval	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	min_health_fraction	restrict_xp_gain_in_campaign	is_mergeable	turns_to_muster_to_full_strength	unit_card	campaign_siege_escalation_percentage_effectiveness	voiceover_actor_group	spawning_health_fraction	adc_plays_as_conversation
#main_units_tables;42;db/main_units_tables/ironic_nomadic_units_updated_stats																																															
3k_ironic_unit_water_untried_archers		0	missile_infantry	0	false	3k_ironic_unit_water_untried_archers	0	300	3k_main_campaign_ship_transport	1	1	320	0	300			70	light		false	false	0	134274252	true		vo_Empire	3k_main_unit_ranged_infantry_water	3k_main_unit_ranged_infantry_water	0	false	default		true		50.0000	250.0000	false	vo_Empire	0.1000	false	true	8	ui/units/water/ironic_untried_archers	2.0000	vo_actor_group_generic_any_male_earth_general	0.2000	true
3k_ironic_unit_water_hardened_archers		0	missile_infantry	0	false	3k_ironic_unit_water_hardened_archers	0	450	3k_main_campaign_ship_transport	1	1	320	0	450			105	medium		false	false	0	134274253	true		vo_Empire	3k_main_unit_ranged_infantry_water	3k_main_unit_ranged_infantry_water	0	false	default		true		75.0000	375.0000	false	vo_Empire	0.1000	false	true	8	ui/units/water/ironic_bloodied_archers	2.0000	vo_actor_group_generic_any_male_earth_general	0.2000	true
3k_ironic_unit_water_sworn_archers		0	missile_infantry	0	false	3k_ironic_unit_water_sworn_archers	0	600	3k_main_campaign_ship_transport	1	1	320	0	600			140	medium		false	false	0	134274254	true		vo_Empire	3k_main_unit_ranged_infantry_water	3k_main_unit_ranged_infantry_water	1	false	default		true		100.0000	500.0000	false	vo_Empire	0.1000	false	true	8	ui/units/water/ironic_sworn_archers	2.0000	vo_actor_group_generic_any_male_earth_general	0.2000	true
3k_ironic_unit_metal_untried_warriors		0	melee_infantry	0	false	3k_ironic_unit_metal_untried_warriors	0	350	3k_main_campaign_ship_transport	1	1	320	0	350			100	light		false	false	0	134274255	true		vo_Empire	3k_main_unit_sword_infantry_metal	3k_main_unit_sword_infantry_metal	0	false	default		true		350.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/units/metal/large/ironic_untried_warriors	2.0000	vo_actor_group_generic_any_male_earth_general	0.2000	true
3k_ironic_unit_metal_hardened_warriors		0	melee_infantry	0	false	3k_ironic_unit_metal_hardened_warriors	0	500	3k_main_campaign_ship_transport	1	1	320	0	500			135	medium		false	false	0	134274256	true		vo_Empire	3k_main_unit_sword_infantry_metal	3k_main_unit_sword_infantry_metal	0	false	default		true		500.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/units/metal/large/ironic_hardened_warriors	2.0000	vo_actor_group_generic_any_male_earth_general	0.2000	true
3k_ironic_unit_metal_sworn_warriors		0	melee_infantry	0	false	3k_ironic_unit_metal_sworn_warriors	0	750	3k_main_campaign_ship_transport	1	1	320	0	750			180	heavy		false	false	0	134274257	true		vo_Empire	3k_main_unit_sword_infantry_metal	3k_main_unit_sword_infantry_metal	1	false	default		true		750.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/units/metal/large/ironic_sworn_warriors	2.0000	vo_actor_group_generic_any_male_earth_general	0.2000	true
3k_ironic_unit_metal_untried_blades		0	melee_infantry	0	false	3k_ironic_unit_metal_untried_blades	0	400	3k_main_campaign_ship_transport	1	1	320	0	400			120	light		false	false	0	134274258	true		vo_Empire	3k_main_unit_sword_infantry_metal	3k_main_unit_sword_infantry_metal	0	false	default		true		400.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_bandits_fanatics	2.0000	vo_actor_group_generic_any_male_earth_general	0.2000	true
3k_ironic_unit_metal_hardened_blades		0	melee_infantry	0	false	3k_ironic_unit_metal_hardened_blades	0	550	3k_main_campaign_ship_transport	1	1	320	0	550			160	medium		false	false	0	134274259	true		vo_Empire	3k_main_unit_sword_infantry_metal	3k_main_unit_sword_infantry_metal	0	false	default		true		550.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_buqu_sabre_infantry	2.0000	vo_actor_group_generic_any_male_earth_general	0.2000	true
3k_ironic_unit_metal_sworn_blades		0	melee_infantry	0	false	3k_ironic_unit_metal_sworn_blades	0	800	3k_main_campaign_ship_transport	1	1	320	0	800			225	heavy		false	false	0	134274260	true		vo_Empire	3k_main_unit_sword_infantry_metal	3k_main_unit_sword_infantry_metal	1	false	default		true		800.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_yuan_sword_infantry	2.0000	vo_actor_group_generic_any_male_earth_general	0.2000	true
