key	factor	maximum	minimum	resource	ai_can_propose	is_recurring_factor
#pooled_resource_factor_junctions_tables;3;db/pooled_resource_factor_junctions_tables/ganningresource						
ironic_robin_hood_factor	ironic_robin_hood_factor	2147483647	-2147483647	ironic_robin_hood	true	true
ironic_robin_hood_victory	ironic_robin_hood_victory	2147483647	-2147483647	ironic_robin_hood	true	false
ironic_robin_hood_defeat	ironic_robin_hood_defeat	2147483647	-2147483647	ironic_robin_hood	true	false
ironic_robin_hood_decay	ironic_robin_hood_decay	2147483647	-2147483647	ironic_robin_hood	true	true
ironic_robin_hood_at_war	ironic_robin_hood_at_war	2147483647	-2147483647	ironic_robin_hood	true	false
ironic_robin_hood_post_battle_options	ironic_robin_hood_post_battle_options	2147483647	-2147483647	ironic_robin_hood	true	false
ironic_gan_ning_resource_raze	ironic_gan_ning_resource_raze	2147483647	-2147483647	ironic_robin_hood	true	false
ironic_gan_ning_resource_loot	ironic_gan_ning_resource_loot	2147483647	-2147483647	ironic_robin_hood	true	false
ironic_gan_ning_resource_sack	ironic_gan_ning_resource_sack	2147483647	-2147483647	ironic_robin_hood	true	false
ironic_gan_ning_resource_occupy	ironic_gan_ning_resource_occupy	2147483647	-2147483647	ironic_robin_hood	true	false
ironic_robin_hood_gain_spoils	ironic_robin_hood_gain_spoils	2147483647	-2147483647	ironic_robin_hood	true	true
ironic_robin_hood_loss_raid	ironic_robin_hood_loss_raid	2147483647	-2147483647	ironic_robin_hood	true	true
