key	factor	maximum	minimum	resource	ai_can_propose	is_recurring_factor
#pooled_resource_factor_junctions_tables;3;db/pooled_resource_factor_junctions_tables/handanresource						
ironic_firmness_factor	ironic_firmness_factor	2147483647	-2147483647	ironic_firmness	true	true
ironic_firmness_victory	ironic_firmness_victory	2147483647	-2147483647	ironic_firmness	true	false
ironic_firmness_defeat	ironic_firmness_defeat	2147483647	-2147483647	ironic_firmness	true	false
ironic_firmness_decay	ironic_firmness_decay	2147483647	-2147483647	ironic_firmness	true	true
ironic_firmness_at_war	ironic_firmness_at_war	2147483647	-2147483647	ironic_firmness	true	false
ironic_firmness_post_battle_options	ironic_firmness_post_battle_options	2147483647	-2147483647	ironic_firmness	true	false
ironic_firmness_assignments	ironic_firmness_assignments	2147483647	-2147483647	ironic_firmness	true	false
ironic_firmness_armies	ironic_firmness_armies	2147483647	-2147483647	ironic_firmness	true	true
ironic_handan_clan_firmness_governors	ironic_handan_clan_firmness_governors	2147483647	-2147483647	ironic_firmness	true	true
ironic_handan_clan_diplomatic_treaties	ironic_handan_clan_diplomatic_treaties	2147483647	-2147483647	ironic_firmness	true	true
