key	factor	maximum	minimum	resource	ai_can_propose	is_recurring_factor
#pooled_resource_factor_junctions_tables;3;db/pooled_resource_factor_junctions_tables/jiefanresource						
ironic_great_ambition_factor	ironic_great_ambition_factor	2147483647	-2147483647	ironic_great_ambition	true	true
ironic_great_ambition_victory	ironic_great_ambition_victory	2147483647	-2147483647	ironic_great_ambition	true	false
ironic_great_ambition_defeat	ironic_great_ambition_defeat	2147483647	-2147483647	ironic_great_ambition	true	false
ironic_great_ambition_decay	ironic_great_ambition_decay	2147483647	-2147483647	ironic_great_ambition	true	true
ironic_great_ambition_at_war	ironic_great_ambition_at_war	2147483647	-2147483647	ironic_great_ambition	true	false
ironic_great_ambition_post_battle_options	ironic_great_ambition_post_battle_options	2147483647	-2147483647	ironic_great_ambition	true	false
ironic_great_ambition_assignments	ironic_great_ambition_assignments	2147483647	-2147483647	ironic_great_ambition	true	false
ironic_great_ambition_buildings	ironic_great_ambition_buildings	2147483647	-2147483647	ironic_great_ambition	true	false
ironic_great_ambition_coecrion	ironic_great_ambition_coecrion	2147483647	-2147483647	ironic_great_ambition	true	false
