key	factor	maximum	minimum	resource	ai_can_propose	is_recurring_factor
#pooled_resource_factor_junctions_tables;3;db/pooled_resource_factor_junctions_tables/maairesource						
ironic_ma_ai_mercantilism_factor	ironic_ma_ai_mercantilism_factor	2147483647	-2147483647	ironic_ma_ai_mercantilism	true	true
ironic_ma_ai_mercantilism_victory	ironic_ma_ai_mercantilism_victory	2147483647	-2147483647	ironic_ma_ai_mercantilism	true	false
ironic_ma_ai_mercantilism_defeat	ironic_ma_ai_mercantilism_defeat	2147483647	-2147483647	ironic_ma_ai_mercantilism	true	false
ironic_ma_ai_mercantilism_decay	ironic_ma_ai_mercantilism_decay	2147483647	-2147483647	ironic_ma_ai_mercantilism	true	true
ironic_ma_ai_mercantilism_at_war	ironic_ma_ai_mercantilism_at_war	2147483647	-2147483647	ironic_ma_ai_mercantilism	true	false
ironic_ma_ai_mercantilism_post_battle_options	ironic_ma_ai_mercantilism_post_battle_options	2147483647	-2147483647	ironic_ma_ai_mercantilism	true	false
ironic_ma_ai_mercantilism_assignments	ironic_ma_ai_mercantilism_assignments	2147483647	-2147483647	ironic_ma_ai_mercantilism	true	false
ironic_ma_ai_mercantilism_governor	ironic_ma_ai_mercantilism_governor	2147483647	-2147483647	ironic_ma_ai_mercantilism	true	true
ironic_ma_ai_mercantilism_armies	ironic_ma_ai_mercantilism_armies	2147483647	-2147483647	ironic_ma_ai_mercantilism	true	true
ironic_ma_ai_mercantilism_trade	ironic_ma_ai_mercantilism_trade	2147483647	-2147483647	ironic_ma_ai_mercantilism	true	true
