key	factor	maximum	minimum	resource	ai_can_propose	is_recurring_factor
#pooled_resource_factor_junctions_tables;3;db/pooled_resource_factor_junctions_tables/rebellionresource						
ironic_bandit_rebellion_factor	ironic_bandit_rebellion_factor	2147483647	-2147483647	ironic_bandit_rebellion	true	true
ironic_bandit_rebellion_decay	ironic_bandit_rebellion_decay	2147483647	-2147483647	ironic_bandit_rebellion	true	true
ironic_bandit_rebellion_army	ironic_bandit_rebellion_army	2147483647	-2147483647	ironic_bandit_rebellion	true	false
ironic_bandit_rebellion_post_battle_options	ironic_bandit_rebellion_post_battle_options	2147483647	-2147483647	ironic_bandit_rebellion	true	false
ironic_bandit_rebellion_bandit	ironic_bandit_rebellion_bandit	2147483647	-2147483647	ironic_bandit_rebellion	true	false
ironic_bandit_rebellion_garrisoned	ironic_bandit_rebellion_garrisoned	2147483647	-2147483647	ironic_bandit_rebellion	true	false
ironic_bandit_rebellion_vassalized	ironic_bandit_rebellion_vassalized	2147483647	-2147483647	ironic_bandit_rebellion	true	false
ironic_bandit_rebellion_victory_attack	ironic_bandit_rebellion_victory_attack	2147483647	-2147483647	ironic_bandit_rebellion	true	false
ironic_bandit_rebellion_victory_defense	ironic_bandit_rebellion_victory_defense	2147483647	-2147483647	ironic_bandit_rebellion	true	false
ironic_bandit_rebellion_defeat_attack	ironic_bandit_rebellion_defeat_attack	2147483647	-2147483647	ironic_bandit_rebellion	true	false
ironic_bandit_rebellion_defeat_defense	ironic_bandit_rebellion_defeat_defense	2147483647	-2147483647	ironic_bandit_rebellion	true	false
