key	factor	maximum	minimum	resource	ai_can_propose	is_recurring_factor
#pooled_resource_factor_junctions_tables;3;db/pooled_resource_factor_junctions_tables/zhangluresource						
ironic_zhang_lu_celestial_factor	ironic_zhang_lu_celestial_factor	2147483647	-2147483647	ironic_zhang_lu_celestial	true	true
ironic_zhang_lu_celestial_victory	ironic_zhang_lu_celestial_victory	2147483647	-2147483647	ironic_zhang_lu_celestial	true	false
ironic_zhang_lu_celestial_defeat	ironic_zhang_lu_celestial_defeat	2147483647	-2147483647	ironic_zhang_lu_celestial	true	false
ironic_zhang_lu_celestial_stance	ironic_zhang_lu_celestial_stance	2147483647	-2147483647	ironic_zhang_lu_celestial	true	true
ironic_zhang_lu_celestial_release	ironic_zhang_lu_celestial_release	2147483647	-2147483647	ironic_zhang_lu_celestial	true	true
ironic_zhang_lu_celestial_execute	ironic_zhang_lu_celestial_execute	2147483647	-2147483647	ironic_zhang_lu_celestial	true	true
ironic_zhang_lu_celestial_assignment	ironic_zhang_lu_celestial_assignment	2147483647	-2147483647	ironic_zhang_lu_celestial	true	false
ironic_zhang_lu_celestial_decay	ironic_zhang_lu_celestial_decay	2147483647	-2147483647	ironic_zhang_lu_celestial	true	true
ironic_zhang_lu_celestial_faction_leader	ironic_zhang_lu_celestial_faction_leader	2147483647	-2147483647	ironic_zhang_lu_celestial	true	true
ironic_zhang_lu_celestial_casuality	ironic_zhang_lu_celestial_casuality	2147483647	-2147483647	ironic_zhang_lu_celestial	true	false
ironic_zhang_lu_celestial_building_gain	ironic_zhang_lu_celestial_building_gain	2147483647	-2147483647	ironic_zhang_lu_celestial	true	false
ironic_zhang_lu_celestial_building_loss	ironic_zhang_lu_celestial_building_loss	2147483647	-2147483647	ironic_zhang_lu_celestial	true	false
ironic_zhang_lu_resource_occupy_major	ironic_zhang_lu_resource_occupy_major	2147483647	-2147483647	ironic_zhang_lu_celestial	true	false
ironic_zhang_lu_resource_occupy_minor	ironic_zhang_lu_resource_occupy_minor	2147483647	-2147483647	ironic_zhang_lu_celestial	true	false
ironic_zhang_lu_resource_loot_major	ironic_zhang_lu_resource_loot_major	2147483647	-2147483647	ironic_zhang_lu_celestial	true	false
ironic_zhang_lu_resource_loot_minor	ironic_zhang_lu_resource_loot_minor	2147483647	-2147483647	ironic_zhang_lu_celestial	true	false
ironic_zhang_lu_resource_sack_major	ironic_zhang_lu_resource_sack_major	2147483647	-2147483647	ironic_zhang_lu_celestial	true	false
ironic_zhang_lu_resource_sack_minor	ironic_zhang_lu_resource_sack_minor	2147483647	-2147483647	ironic_zhang_lu_celestial	true	false
ironic_zhang_lu_resource_occupy_unique_major	ironic_zhang_lu_resource_occupy_unique_major	2147483647	-2147483647	ironic_zhang_lu_celestial	true	false
ironic_zhang_lu_resource_occupy_unique_minor	ironic_zhang_lu_resource_occupy_unique_minor	2147483647	-2147483647	ironic_zhang_lu_celestial	true	false
