campaign	id	region	slot_template	slot_type
#start_pos_region_slot_templates_tables;0;db/start_pos_region_slot_templates_tables/data_3k_dlc04_start_pos				
3k_dlc04_start_pos	1001944971	3k_main_shangyong_capital	3k_districts	secondary
3k_dlc04_start_pos	1005496941	3k_main_jiangyang_capital	3k_districts_port	secondary
3k_dlc04_start_pos	1009278019	3k_main_chenjun_resource_1	3k_districts	secondary
3k_dlc04_start_pos	1010707920	ironic_region_ye_capital	3k_city	primary
3k_dlc04_start_pos	1011396420	ironic_region_ye_capital	3k_districts	secondary
3k_dlc04_start_pos	1012851099	ironic_region_xi_capital	3k_districts	secondary
3k_dlc04_start_pos	1013036823	3k_main_daijun_capital	3k_city	primary
3k_dlc04_start_pos	1017772513	3k_main_nanyang_resource_1	3k_resource_metal_jade	primary
3k_dlc04_start_pos	1019866714	3k_main_anding_resource_2	3k_resource_bandit	secondary
3k_dlc04_start_pos	1024315296	3k_main_zhongshan_capital	3k_districts	secondary
3k_dlc04_start_pos	1029123558	ironic_region_xiping_resource_2	3k_resource_fire_iron	primary
3k_dlc04_start_pos	1029738308	3k_main_dongjun_capital	3k_districts_port	secondary
3k_dlc04_start_pos	1032072881	3k_main_yizhou_island_capital	3k_districts	secondary
3k_dlc04_start_pos	1034687947	3k_main_pingyuan_resource_1	3k_resource_bandit	secondary
3k_dlc04_start_pos	104398733	3k_main_guangling_resource_1	3k_resource_bandit	secondary
3k_dlc04_start_pos	1048180061	3k_main_chengdu_resource_3	3k_resource_water_salt	primary
3k_dlc04_start_pos	1048274255	3k_main_jincheng_capital	3k_districts_port	secondary
3k_dlc04_start_pos	1052749022	3k_main_taiyuan_resource_2	3k_resource_metal_tools	primary
3k_dlc04_start_pos	1058939689	3k_main_langye_capital	3k_districts	secondary
3k_dlc04_start_pos	1063603087	3k_main_shoufang_capital	3k_districts_port	secondary
3k_dlc04_start_pos	1073329170	3k_main_yuzhang_capital	3k_districts	secondary
3k_dlc04_start_pos	1074926750	3k_main_changsha_resource_2	3k_resource_bandit	secondary
3k_dlc04_start_pos	107546832	3k_main_xindu_resource_2	3k_resource_wood_fish	primary
3k_dlc04_start_pos	1080593985	3k_main_taishan_capital	3k_districts	secondary
3k_dlc04_start_pos	1086087531	3k_main_hedong_capital	3k_districts	secondary
3k_dlc04_start_pos	1088021017	ironic_region_gyeongju_capital	3k_districts	secondary
3k_dlc04_start_pos	1089248284	3k_main_donglai_capital	3k_districts_port	secondary
3k_dlc04_start_pos	1089548437	3k_main_shangdang_resource_1	3k_resource_wood_farms_grain	primary
3k_dlc04_start_pos	1090945271	3k_main_jiangxia_resource_1	3k_resource_wood_farms_grain	primary
3k_dlc04_start_pos	1096025183	3k_main_jianan_resource_1	3k_resource_bandit	secondary
3k_dlc04_start_pos	1099763683	ironic_region_baek_capital	3k_city	primary
3k_dlc04_start_pos	1100877352	3k_main_jianan_resource_2	3k_resource_bandit	secondary
3k_dlc04_start_pos	1107727085	3k_main_yuzhang_resource_1	3k_resource_bandit	secondary
3k_dlc04_start_pos	111114963	3k_main_jiangyang_resource_1	3k_resource_bandit	secondary
3k_dlc04_start_pos	1122711429	3k_main_yingchuan_resource_1	3k_resource_bandit	secondary
3k_dlc04_start_pos	1124845104	3k_main_dongou_resource_1	3k_resource_water_salt	primary
3k_dlc04_start_pos	1124862118	3k_main_jiangyang_resource_3	3k_resource_bandit	secondary
3k_dlc04_start_pos	1134252086	3k_main_daijun_capital	3k_districts	secondary
3k_dlc04_start_pos	1137487900	3k_dlc06_liaodong_resource_1	3k_resource_wood_lumber_pine	primary
3k_dlc04_start_pos	1139584603	3k_main_yizhou_island_capital	3k_city	primary
3k_dlc04_start_pos	1156781506	3k_main_pingyuan_capital	3k_districts	secondary
3k_dlc04_start_pos	1160193117	3k_main_yu_resource_1	3k_resource_bandit	secondary
3k_dlc04_start_pos	1160333951	ironic_region_xiping_capital	3k_city	primary
3k_dlc04_start_pos	1169247110	3k_main_hedong_resource_1	3k_resource_water_trading_port	primary
3k_dlc04_start_pos	1172092108	3k_main_bohai_capital	3k_city	primary
3k_dlc04_start_pos	1173376497	ironic_region_hanseong_resource_1	3k_minor_port	port
3k_dlc04_start_pos	1178809246	3k_main_chenjun_capital	3k_city	primary
3k_dlc04_start_pos	117943516	3k_main_taiyuan_resource_1	3k_resource_fire_iron	primary
3k_dlc04_start_pos	1182690070	3k_main_weijun_resource_1	3k_resource_wood_farms_grain	primary
3k_dlc04_start_pos	1183583368	3k_dlc06_jiaozhi_resource_3	3k_resource_bandit	secondary
3k_dlc04_start_pos	1183779017	3k_main_changsha_capital	3k_districts	secondary
3k_dlc04_start_pos	1186570599	3k_main_lingling_resource_1	3k_resource_metal_tools	primary
3k_dlc04_start_pos	1187007829	3k_main_runan_resource_1	3k_resource_fire_iron	primary
3k_dlc04_start_pos	1187715003	3k_main_dongou_capital	3k_districts_port	secondary
3k_dlc04_start_pos	1198454304	3k_main_xindu_capital	3k_city	primary
3k_dlc04_start_pos	1203740051	3k_main_shoufang_resource_2	3k_resource_bandit	secondary
3k_dlc04_start_pos	1203929139	3k_dlc06_yongchang_capital	3k_districts	secondary
3k_dlc04_start_pos	1205384356	ironic_region_dongokjeo_resource_1	3k_minor_port	port
