region	campaign	id	owning_faction	faction_capital	base_population	base_max_population	population	base_gdp	town_wealth	rebel_faction	cultural_originator	settler_rebellions_enabled	capture_prestige	alternative_rebel_faction	development_points	base_fertility	slot_cap	initial_faction_support_value
#start_pos_regions_tables;10;db/start_pos_regions_tables/data_3k_dlc07_start_pos																		
3k_dlc06_gu_pass	3k_dlc07_start_pos	1648456591	2075154652	false	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	1	100
3k_dlc06_hangu_pass	3k_dlc07_start_pos	1060609727	2095046185	false	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	1	100
3k_dlc06_hedong_resource_2	3k_dlc07_start_pos	624741350	2095046185	false	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	2	100
3k_dlc06_hulao_pass	3k_dlc07_start_pos	1702086312	2095046185	false	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	1	100
3k_dlc06_jiameng_pass	3k_dlc07_start_pos	2088240418		false	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	1	100
3k_dlc06_jianning_resource_3	3k_dlc07_start_pos	513202920	504124875	false	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	2	100
3k_dlc06_jiaozhi_resource_3	3k_dlc07_start_pos	1524804440	778763227	false	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	2	100
3k_dlc06_jiuzhen_capital	3k_dlc07_start_pos	1704693151	712577664	true	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	7	100
3k_dlc06_jiuzhen_resource_1	3k_dlc07_start_pos	1533807185	712577664	false	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	2	100
