region	campaign	id	owning_faction	faction_capital	base_population	base_max_population	population	base_gdp	town_wealth	rebel_faction	cultural_originator	settler_rebellions_enabled	capture_prestige	alternative_rebel_faction	development_points	base_fertility	slot_cap	initial_faction_support_value
#start_pos_regions_tables;10;db/start_pos_regions_tables/data_8p_start_pos																		
3k_dlc06_gu_pass	8p_start_pos	1843471729	1455640148	false	100000	500000	100000	0	0	ep_faction_rebels	3k_main_chinese	false	0	ep_factions_shadow_rebels	5	0	1	100
3k_dlc06_hangu_pass	8p_start_pos	677993295	1455640148	false	100000	500000	100000	0	0	ep_faction_rebels	3k_main_chinese	false	0	ep_factions_shadow_rebels	5	0	1	100
3k_dlc06_hedong_resource_2	8p_start_pos	40257214	681486425	true	100000	500000	100000	0	0	ep_faction_rebels	3k_main_chinese	false	0	ep_factions_shadow_rebels	5	0	2	100
3k_dlc06_hulao_pass	8p_start_pos	40167296	267568298	true	100000	500000	100000	0	0	ep_faction_rebels	3k_main_chinese	false	0	ep_factions_shadow_rebels	5	0	1	100
3k_dlc06_jiameng_pass	8p_start_pos	306543507	1455640148	false	100000	500000	100000	0	0	ep_faction_rebels	3k_main_chinese	false	0	ep_factions_shadow_rebels	5	0	1	100
3k_dlc06_jianning_resource_3	8p_start_pos	929752412	1455640148	false	100000	500000	100000	0	0	ep_faction_rebels	3k_main_chinese	false	0	ep_factions_shadow_rebels	5	0	2	100
3k_dlc06_jiaozhi_resource_3	8p_start_pos	25980620	1455640148	false	100000	500000	100000	0	0	ep_faction_rebels	3k_main_chinese	false	0	ep_factions_shadow_rebels	5	0	2	100
3k_dlc06_jiuzhen_capital	8p_start_pos	148472332	1534456921	true	100000	500000	100000	0	0	ep_faction_rebels	3k_main_chinese	false	0	ep_factions_shadow_rebels	5	0	7	100
3k_dlc06_jiuzhen_resource_1	8p_start_pos	1700347604	1455640148	false	100000	500000	100000	0	0	ep_faction_rebels	3k_main_chinese	false	0	ep_factions_shadow_rebels	5	0	2	100
3k_dlc06_kui_pass	8p_start_pos	1748287046	1455640148	false	100000	500000	100000	0	0	ep_faction_rebels	3k_main_chinese	false	0	ep_factions_shadow_rebels	5	0	1	100
