3k_main_effect_province_public_order_from_characters_minister	text	tooltip
#Loc;1;text/db/effects__.loc		
effects_value_format_3k_ytr_dummy_unlocks_assignment_ytr_heaven_1		FALSE
effects_value_format_3k_main_skill_adamant_resolve		FALSE
effects_value_format_3k_main_effect_undercover_character_defence_against_action_network_cost_bonus		FALSE
effects_value_format_ep_dummy_effect_faction_unique_sima_jiong_control_reward		FALSE
effects_value_format_3k_dlc05_dummy_effect_faction_resource_lu_bu_momentum_court_action		FALSE
effects_value_format_3k_dlc05_effect_bandit_network_cost_reduction_yang_jianye		FALSE
effects_description_3k_main_effect_province_population_attraction_from_migration	[[b]]%+n[[/b]] population growth (migration)	FALSE
effects_description_3k_main_effect_undercover_character_defence_against_action_cover_cost_bonus_family_member_hidden	[HIDDEN] [[b]]%+n[[/b]] cover cost for enemy spies who are family members	FALSE
effects_description_3k_main_effect_force_all_campaign_recruitment_cost_all	[[b]]%+n%[[/b]] recruitment cost	FALSE
effects_value_format_3k_main_dummy_effect_character_action_cost_dong_zhuo		FALSE
effects_value_format_3k_dlc05_effect_unit_cap_metal_venerable_wu		FALSE
effects_value_format_3k_main_effect_province_siege_tower_projectile_advanced		FALSE
effects_description_3k_main_effect_unit_rank_new_recruits_peasants	[[b]]%+n[[/b]] starting rank for peasant recruits	FALSE
effects_description_3k_main_ancillary_testudo_formation	Enables formation: Turtle	FALSE
effects_value_format_3k_dlc07_skill_ability_mighty_thrust		FALSE
effects_value_format_3k_main_effect_province_supply_stockpile_abs_increase_from_food		FALSE
effects_value_format_3k_dlc06_stomp		FALSE
effects_description_3k_dlc04_effect_faction_resource_liu_biao_domain_gain_buildings	%+n domain	FALSE
effects_description_3k_main_faction_trait_zhang_yan_1	Enables: Ignore Forest Penalties	FALSE
effects_value_format_3k_dlc07_effect_unit_cap_wood_dongzhoubing_defenders		FALSE
effects_value_format_3k_dlc05_effect_bandit_network_cost_reduction_sili_luoyang		FALSE
effects_description_3k_dlc05_effect_force_military_supplies_from_raiding_dummy	Generates loot (when used in enemy territory)	FALSE
effects_description_3k_main_effect_economy_gdp_mod_silk	[[b]]%+n%[[/b]] income from silk	FALSE
effects_description_3k_dlc05_effect_bandit_network_cost_reduction_liang_anding	[HIDDEN] %+n cost of establishing connections with the Watchers of the Long Rampart	FALSE
effects_description_3k_dlc07_dummy_effect_liu_yan_ambition_tradeoff_tracker	[[b]]%n[[/b]] Trade-offs enabled	FALSE
effects_description_3k_main_frontend_description_specialisation_yuan_shu_2	"[[b]]Characters[[/b]] will periodically appear in your court, offering their services in myriad positions around your realm. "	FALSE
effects_value_format_ep_dyn_ability_multishot		FALSE
effects_description_3k_main_skill_poisioned_blade	Ability: Poisoned Blade	FALSE
effects_value_format_3k_dlc05_dummy_effect_bandit_network_bing_shangdang		FALSE
effects_value_format_3k_dlc07_dummy_effect_faction_resources_cao_cao_deceive		FALSE
effects_description_3k_dlc05_dummy_effect_bandit_network_yi_badong	[[i]]Ownership of {{tr:map_regions}} within Badong will make it easier to expand your local bandit network.[[/i]]	FALSE
effects_value_format_3k_dlc05_dummy_effect_bandit_network_bing_taiyuan		FALSE
effects_value_format_3k_main_effect_faction_trait_gongsun_zan_reinforcement		FALSE
effects_value_format_3k_dummy_effect_court_position_tutor		FALSE
effects_description_3k_dlc06_dummy_effect_bandit_network_jiaozhi_jiuzhen	[[i]]Ownership of {{tr:map_regions}} within Jiuzhen will make it easier to expand your local bandit network.[[/i]]	FALSE
effects_description_3k_dlc06_effect_pooled_resource_mulu_pride_from_rituals	%n pride from rituals	FALSE
effects_value_format_3k_main_effect_population_effects_kong_rong_trade		FALSE
effects_description_3k_main_effect_action_effects_gift_to_emperor	Gifting this emperor seat to your vassal lord will enable them to ascend to the throne and avoid war between you.	FALSE
effects_description_3k_dlc04_deployables_towers_enable	%+n Towers (pre-battle deployable) (land battle)	FALSE
effects_value_format_ep_frontend_description_specialisation_prince_of_qi_3		FALSE
effects_description_3k_dlc06_effect_unit_stats_battle_movement_speed_mod_axe_infantry	[[b]]%+n%[[/b]] speed for axe infantry	FALSE
effects_description_3k_dlc07_dummy_issue_non_allied_factions_control_northern_ports	Bohai Bay Pirate Raids Launched	FALSE
effects_description_ep_effect_faction_resource_sima_liang_jurisdiction_gain_buildings	[[b]]%+n[[/b]] jurisdiction	FALSE
effects_value_format_3k_dlc06_dummy_effect_mulu_pride_rituals_info		FALSE
effects_value_format_3k_dlc05_effect_bandit_network_cost_reduction_jing_xiangyang		FALSE
effects_value_format_ep_effect_faction_resource_sima_jiong_control_gain_buildings		FALSE
effects_value_format_3k_main_skill_loose_formation		FALSE
effects_description_3k_dlc05_effect_unit_cap_metal_peoples_warband	Peoples Warband available for recruitment: %+n	FALSE
effects_description_3k_dlc05_effect_unit_cap_metal_fists_of_the_bandit_queen	Fists of the Bandit Queen available for recruitment: %+n	FALSE
effects_value_format_ep_frontend_description_specialisation_prince_of_hejian_3		FALSE
effects_description_3k_dlc07_effect_captain_missions_unlock_dummy	Unlocks access to the captain missions	FALSE
effects_value_format_3k_main_effect_ai_hint_spy		FALSE
effects_description_3k_dlc05_effect_unit_cap_metal_white_tiger_warriors	White Tiger Warriors available for recruitment: %+n	FALSE
effects_description_3k_dlc05_effect_bandit_network_category_cost_reduction_bandits	[[b]]%+n%[[/b]] cost of establishing Outlaws & Outcasts connections	FALSE
effects_value_format_3k_dlc07_effect_dummy_imperial_favour_low		FALSE
effects_value_format_3k_dummy_effect_assignment_unlock_fire_oversee_mustering		FALSE
effects_value_format_3k_dlc06_skill_natures_protection		FALSE
effects_description_ep_dummy_effect_faction_rank_increase	Increase your prestige by capturing and expanding settlements or by constructing special buildings. Prestige is also acquired through decisions made in events or by building a strong alignment.	FALSE
effects_description_ep_dummy_effect_faction_resource_null_capture_chance	No effect on the chance of capturing enemy officers post-battle	FALSE
effects_description_3k_main_effect_characters_satisfaction_sentinel_technologies	[[b]]%+n[[/b]] satisfaction for sentinels	FALSE
effects_value_format_ep_dummy_effect_progression_rank_emperor_might_flee		FALSE
effects_description_3k_main_effect_unit_stats_ranged_ap_damage_water_units	[[b]]%+n%[[/b]] armour-piercing ranged damage for ranged units	FALSE
effects_description_3k_main_effect_force_military_supplies_from_stances	[[b]]%+n[[/b]] {{tr:military_supplies}}	FALSE
effects_description_3k_main_effect_dummy_technologies_fire	[[col:scope_description]]This branch will lead to increased military capabilities.[[/col]]	FALSE
effects_description_3k_main_frontend_description_specialisation_ma_teng_1	[[b]]Encamp[[/b]] is a stance for armies that allow them to set up a more permanent camp.\\n\\n[[b]]Food[[/b]] is used to establish bigger settlements.	FALSE
effects_value_format_3k_main_ancillary_scare_horse		FALSE
effects_value_format_3k_main_effect_pooled_resource_intimidation_gain_rate_1_dong_zhuo		FALSE
effects_description_3k_main_effect_attribute_mounted_fire_parthian	Enables: Fire Backwards	FALSE
effects_value_format_3k_dummy_effect_ceo_subcategory_weapon_mace_two_handed		FALSE
effects_value_format_3k_dlc06_dummy_effect_character_stat_mod_melee_damage		FALSE
effects_value_format_3k_main_effect_force_all_campaign_loot_income		FALSE
effects_description_3k_main_prestige_objectives	[HIDDEN]	FALSE
effects_value_format_3k_main_effect_construction_cost_artisan_and_market		FALSE
effects_description_3k_dlc05_effect_force_military_supplies_from_raiding_mod	[[b]]%+n%[[/b]] {{tr:military_supplies}} (when raiding enemy territory)	FALSE
effects_description_3k_dlc06_effect_dummy_technologies_diplomacy_unlock_mercenary_contracts	Unlocks the diplomatic option to offer yourself as a mercenary to other factions	FALSE
effects_description_3k_dlc06_effect_bandit_network_cost_reduction_xu_xiapi	[HIDDEN] %+n cost of establishing connections with the	FALSE
effects_value_format_3k_dlc05_dummy_effect_bandit_network_yang_yuzhang		FALSE
effects_description_3k_dlc04_ability_way_of_the_thunder	Ability: Way of the Thunder	FALSE
effects_description_3k_dlc04_effect_region_fervour_regional_fervour_adjacent	[[b]]%+n[[/b]] {{tr:dlc04_term_regional_fervour}} neighbouring {{tr:map_regions}}	FALSE
effects_value_format_3k_dlc05_effect_bandit_network_cost_reduction_yang_lujiang		FALSE
