key	text	tooltip
#Loc;1;text/ceo/general_items/@@ironic_ceo_armour.loc		
ceo_nodes_title_3k_main_ancillary_armour_lu_sus_armour_unique	Lu Su's Armour	true
ceo_nodes_description_3k_main_ancillary_armour_lu_sus_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancillary_armour_ze_rongs_armour_unique	Ze Rong's Armour	true
ceo_nodes_description_3k_main_ancillary_armour_ze_rongs_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancillary_armour_wang_kuangs_armour_unique	Wang Kuang's Armour	true
ceo_nodes_description_3k_main_ancillary_armour_wang_kuangs_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancillary_armour_gao_gans_armour_unique	Gao Gan's Armour	true
ceo_nodes_description_3k_main_ancillary_armour_gao_gans_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancillary_armour_zhang_yangs_armour_unique	Zhang Yang's Armour	true
ceo_nodes_description_3k_main_ancillary_armour_zhang_yangs_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancilliary_armour_cai_mao_armour_unique	Cai Mao's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_cai_mao_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancilliary_armour_han_fu_armour_unique	Han Fu's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_han_fu_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancilliary_armour_jia_long_armour_unique	Jia Long's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_jia_long_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancilliary_armour_kong_zhou_armour_unique	Kong Zhou's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_kong_zhou_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancilliary_armour_liu_yu_armour_unique	Liu Yu's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_liu_yu_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancilliary_armour_sheng_xian_armour_unique	Sheng Xian's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_sheng_xian_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancilliary_armour_zhang_chao_armour_unique	Zhang Chao's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_zhang_chao_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancilliary_armour_zhang_lu_armour_unique	Zhang Lu's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_zhang_lu_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancillary_armour_cao_chuns_armour_unique	Cao Chun's Armour	true
ceo_nodes_description_3k_main_ancillary_armour_cao_chuns_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancillary_armour_cao_hongs_armour_unique	Cao Hong's Armour	true
ceo_nodes_description_3k_main_ancillary_armour_cao_hongs_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancillary_armour_cao_xius_armour_unique	Cao Xiu's Armour	true
ceo_nodes_description_3k_main_ancillary_armour_cao_xius_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancillary_armour_cao_zhens_armour_unique	Cao Zhen's Armour	true
ceo_nodes_description_3k_main_ancillary_armour_cao_zhens_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancilliary_armour_cao_ang_armour_unique	Cao Ang's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_cao_ang_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancilliary_armour_cao_biao_armour_unique	Cao Biao's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_cao_biao_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancilliary_armour_cao_de_armour_unique	Cao De's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_cao_de_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancilliary_armour_cao_jie_armour_unique	Cao Jie's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_cao_jie_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancilliary_armour_cao_rui_armour_unique	Cao Rui's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_cao_rui_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancilliary_armour_cao_shuang_armour_unique	Cao Shuang's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_cao_shuang_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancilliary_armour_cao_song_armour_unique	Cao Song's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_cao_song_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancilliary_armour_cao_xi_armour_unique	Cao Xi's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_cao_xi_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancilliary_armour_cao_zhang_armour_unique	Cao Zhang's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_cao_zhang_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancilliary_armour_cao_zhi_armour_unique	Cao Zhi's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_cao_zhi_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_threshold_ancilliary_guo_yuan_armour_unique	Guo Yuan's Armour	true
ceo_nodes_description_3k_main_threshold_ancilliary_guo_yuan_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_threshold_ancilliary_deng_sheng_armour_unique	Deng Sheng's Armour	true
ceo_nodes_description_3k_main_threshold_ancilliary_deng_sheng_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_threshold_ancilliary_xia_zhao_armour_unique	Xia Zhao's Armour	true
ceo_nodes_description_3k_main_threshold_ancilliary_xia_zhao_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_threshold_ancilliary_zuozhi_zhulan_armour_unique	Zuozi Zhulan's Armour	true
ceo_nodes_description_3k_main_threshold_ancilliary_zuozhi_zhulan_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancilliary_armour_tadun_armour_unique	Tadun's Armour	true
ceo_nodes_title_3k_main_ancilliary_armour_leipan_armour_unique	Leipan's Armour	true
ceo_nodes_title_3k_main_ancilliary_armour_wuyan_armour_unique	Wuyan's Armour	true
ceo_nodes_title_3k_main_ancilliary_armour_supuyan_armour_unique	Supuyan's Armour	true
ceo_nodes_title_3k_main_ancilliary_armour_wangdong_armour_unique	Wangdong's Armour	true
ceo_nodes_title_3k_main_ancilliary_armour_gujin_armour_unique	Gujin's Armour	true
ceo_nodes_title_3k_main_ancilliary_armour_gurudun_armour_unique	Gurudun's Armour	true
