key	text	tooltip
#Loc;1;text/ceo/general_items/all_titles.loc		
ceo_nodes_title_3k_ironic_ancillary_accessory_scripture_of_rice_pecks	Xiang'er	false
ceo_nodes_description_3k_ironic_ancillary_accessory_scripture_of_rice_pecks	"I nourish myself by means of rustic simplicity, and dare to take joy in vacuous non-being."	false
ceo_nodes_title_3k_ironic_ancillary_accessory_drunken_bottle	Eight Immortal Gourd	false
ceo_nodes_description_3k_ironic_ancillary_accessory_drunken_bottle	A seemingly bottomless flask of specially fermented and spiced yeast wine, brewed for use in ancient Taoist rituals and ceremonies. Sipping from the gourd in moderation is said to be able to help one open their minds and concentrate on the universe, whilst consuming in excess can grant powers and truths beyond a mortal's capabilities and masteries.	false
ceo_nodes_title_3k_ironic_ancillary_accessory_daoist_manual	The Manual of Concealing Method	false
ceo_nodes_description_3k_ironic_ancillary_accessory_daoist_manual	"Astonishing magicians, swifter than one's eye, change their appearance, sunder their own bodies into multiples, swallow knives and exhale fire."	false
ceo_nodes_title_3k_ironic_ancillary_accessory_commander_lu	Commander Lu	false
ceo_nodes_description_3k_ironic_ancillary_accessory_commander_lu	Parrot on the advice of this trusty wingman, or you'll surely be in a flap! Don't forget to give him a cracker.	false
ceo_nodes_title_3k_main_ancillary_armour_lu_sus_armour_unique	Lu Su's Armour	true
ceo_nodes_description_3k_main_ancillary_armour_lu_sus_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancillary_armour_ze_rongs_armour_unique	Ze Rong's Armour	true
ceo_nodes_description_3k_main_ancillary_armour_ze_rongs_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancillary_armour_wang_kuangs_armour_unique	Wang Kuang's Armour	true
ceo_nodes_description_3k_main_ancillary_armour_wang_kuangs_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancillary_armour_gao_gans_armour_unique	Gao Gan's Armour	true
ceo_nodes_description_3k_main_ancillary_armour_gao_gans_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancillary_armour_zhang_yangs_armour_unique	Zhang Yang's Armour	true
ceo_nodes_description_3k_main_ancillary_armour_zhang_yangs_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancilliary_armour_cai_mao_armour_unique	Cai Mao's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_cai_mao_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancilliary_armour_han_fu_armour_unique	Han Fu's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_han_fu_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancilliary_armour_jia_long_armour_unique	Jia Long's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_jia_long_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancilliary_armour_kong_zhou_armour_unique	Kong Zhou's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_kong_zhou_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancilliary_armour_liu_yu_armour_unique	Liu Yu's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_liu_yu_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancilliary_armour_sheng_xian_armour_unique	Sheng Xian's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_sheng_xian_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancilliary_armour_zhang_chao_armour_unique	Zhang Chao's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_zhang_chao_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancilliary_armour_zhang_lu_armour_unique	Zhang Lu's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_zhang_lu_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancillary_armour_cao_chuns_armour_unique	Cao Chun's Armour	true
ceo_nodes_description_3k_main_ancillary_armour_cao_chuns_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancillary_armour_cao_hongs_armour_unique	Cao Hong's Armour	true
ceo_nodes_description_3k_main_ancillary_armour_cao_hongs_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancillary_armour_cao_xius_armour_unique	Cao Xiu's Armour	true
ceo_nodes_description_3k_main_ancillary_armour_cao_xius_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancillary_armour_cao_zhens_armour_unique	Cao Zhen's Armour	true
ceo_nodes_description_3k_main_ancillary_armour_cao_zhens_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancilliary_armour_cao_ang_armour_unique	Cao Ang's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_cao_ang_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancilliary_armour_cao_biao_armour_unique	Cao Biao's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_cao_biao_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ancilliary_armour_cao_de_armour_unique	Cao De's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_cao_de_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
