key	text	tooltip
#Loc;1;text/db/buildings/hanbuilding/hansidebuildings.loc		
building_chains_chain_tooltip_ironic_supply_chain	Supply Chains	true
building_chains_encyclopedia_description_ironic_supply_chain	Supply Chains	true
building_chains_encyclopedia_name_ironic_supply_chain	Supply Chains	true
building_chains_override_description_ironic_supply_chain	Supply Chains	true
building_chains_chain_tooltip_ironic_garrison_improvement	Support Garrisons	true
building_chains_encyclopedia_description_ironic_garrison_improvement	Support Garrisons	true
building_chains_encyclopedia_name_ironic_garrison_improvement	Support Garrisons	true
building_chains_override_description_ironic_garrison_improvement	Support Garrisons	true
building_culture_variants_name_ironic_supply_chain	Forager's Camp	true
building_culture_variants_name_ironic_supply_chain_level_1	Agricultural Encampment	true
building_culture_variants_name_ironic_supply_chain_level_2	Military Depot	true
building_levels_settlement_ui_displays_tooltip_ironic_supply_chain_name	Supply Chains	true
building_culture_variants_name_ironic_garrison_improvement	Support Garrisons	true
building_culture_variants_name_ironic_garrison_improvement_level_1	Support Garrisons Level 1	true
building_culture_variants_name_ironic_garrison_improvement_level_2	Support Garrisons Level 2	true
building_levels_settlement_ui_displays_tooltip_ironic_garrison_side_name	Support Garrisons	true
building_chains_chain_tooltip_ironic_recruitment_hub	Military Hubs	true
building_chains_encyclopedia_description_ironic_recruitment_hub	Military Hubs	true
building_chains_encyclopedia_name_ironic_recruitment_hub	Military Hubs	true
building_chains_override_description_ironic_recruitment_hub	Military Hubs	true
building_chains_chain_tooltip_ironic_trading_hubs	Trading Dens	true
building_chains_encyclopedia_description_ironic_trading_hubs	Trading Dens	true
building_chains_encyclopedia_name_ironic_trading_hubs	Trading Dens	true
building_chains_override_description_ironic_trading_hubs	Trading Dens	true
building_culture_variants_name_ironic_recruitment_hub	Mustering Field	true
building_culture_variants_name_ironic_recruitment_hub_level_2	Reinforced Stockade	true
building_culture_variants_name_ironic_recruitment_hub_level_3	Fortified Camp	true
building_levels_settlement_ui_displays_tooltip_ironic_recruitment_name	Recruitment Hubs	true
building_culture_variants_name_ironic_trading_hubs	Merchant's Camp	true
building_culture_variants_name_ironic_trading_hubs_level_2	Military Market	true
building_culture_variants_name_ironic_trading_hubs_level_3	Grand Military Market	true
building_levels_settlement_ui_displays_tooltip_ironic_trade_name	Trading Dens	true
