key	text	tooltip
#Loc;1;text/db/buildings/unqiuebuildings/liu_dai.loc		
building_chains_chain_tooltip_3k_district_residential_logistics_liu_dai	[[col:flavour]]Guard Grainary[[/col]]	false
building_chains_encyclopedia_description_3k_district_residential_logistics_liu_dai	Guard Granary Chain	false
building_chains_encyclopedia_name_3k_district_residential_logistics_liu_dai	Guard Granary Chain	false
building_chains_override_description_3k_district_residential_logistics_liu_dai	Guard Granary Chain	false
building_culture_variants_name_3k_district_residential_logistics_1_liu_dai	Supply Sheds	false
building_culture_variants_name_3k_district_residential_logistics_2_liu_dai	Surplus Stockpile	false
building_culture_variants_name_3k_district_residential_logistics_3_liu_dai	Military Depot	false
building_culture_variants_name_3k_district_residential_logistics_4_liu_dai	Fortified Granary	false
building_culture_variants_name_3k_district_residential_logistics_5_liu_dai	Bastion Granary	false
