key	text	tooltip
#Loc;1;text/db/factions/faction_resources/caoren/!!caorenresource.loc		
effect_bundles_localised_title_ironic_cao_ren_effect_bundle_level_0	War Within	true
effect_bundles_localised_title_ironic_cao_ren_effect_bundle_level_1	On many Fronts	true
effect_bundles_localised_title_ironic_cao_ren_effect_bundle_level_2	Caught Offguard	true
effect_bundles_localised_title_ironic_cao_ren_effect_bundle_level_3	Alerted	true
effect_bundles_localised_title_ironic_cao_ren_effect_bundle_level_4	Preparing for War	true
effect_bundles_localised_title_ironic_cao_ren_effect_bundle_level_5	Provisions for the Empire	true
effect_bundles_localised_title_ironic_cao_ren_effect_bundle_level_6	Prepared for All	true
effect_bundles_localised_description_ironic_cao_ren_effect_bundle_level_0	You have fallen low, without anyway out, your lord looks away from your fruitless battles, as he regrets even allowing this to even occur.	true
effect_bundles_localised_description_ironic_cao_ren_effect_bundle_level_1	Another roadblock hits you, and your chance back to your glory, fades away ever so faster.	true
effect_bundles_localised_description_ironic_cao_ren_effect_bundle_level_2	You have stumbled back, your armies have been beaten back, but at least there is a way back to your former glory.	true
effect_bundles_localised_description_ironic_cao_ren_effect_bundle_level_3	Many factions are looking at your land with greed in their eyes, each of their foolish decisions only bring opportunity to you.	true
effect_bundles_localised_description_ironic_cao_ren_effect_bundle_level_4	War seems to be on the horizons or is it already? Either way, you must prepare for each foolish attempt at an assault and defence.	true
effect_bundles_localised_description_ironic_cao_ren_effect_bundle_level_5	Each battles is trivial, each battle ends with your glowing success, but you mustn't let it get to your head, for one flaw will draw all down onto you.	true
effect_bundles_localised_description_ironic_cao_ren_effect_bundle_level_6	Your land is well protected, your army are well cared for, all is well. Do not become too complacent, or your lands will fall like the Han.	true
effects_description_ironic_cao_ren_decay	%-n Preparation decay	true
effects_description_ironic_cao_ren_stance	%+n Preparation increase	true
effects_description_ironic_cao_ren_assignment	%+n Preparation 	true
effects_description_ironic_four_caos	%+n Preparation	true
frontend_faction_leader_playstyles_localised_title_ironic_faction_cao_ren	[[b]]Playstyle focus:[[/b]] Preparation	true
frontend_faction_leaders_localised_difficulty_ironic_cao_ren_208_faction	Starting situation: [[col:fe_difficulty_normal]]Hard[[/col]]	true
frontend_faction_leaders_localised_subtitle_ironic_cao_ren_208_faction	Brave Hunter	true
pooled_resource_factors_display_name_negative_ironic_cao_ren_preparation_decay	Decay	true
pooled_resource_factors_display_name_negative_ironic_cao_ren_preparation_ambush_defeat	Defeat	true
pooled_resource_factors_display_name_positive_ironic_cao_ren_preparation_diplomacy	Diplomacy	true
pooled_resource_factors_display_name_positive_ironic_cao_ren_preparation_ambush_victor	Victory	true
pooled_resource_factors_display_name_positive_ironic_cao_ren_preparation_war	War Declared	true
pooled_resource_factors_display_name_negative_ironic_cao_ren_preparation_war	Declared War on	true
pooled_resource_factors_display_name_positive_ironic_cao_ren_preparation_factor	Base	true
pooled_resource_factors_display_name_positive_ironic_zhang_liao_reputation_faction_leader	Faction Leader	true
pooled_resource_factors_display_name_negative_ironic_cao_ren_preparation_court_actions	Court Actions	true
pooled_resource_factors_display_name_positive_ironic_cao_ren_preparation_stance	Stances	true
pooled_resource_factors_display_name_positive_ironic_cao_ren_preparation_assignment	Assignments	true
pooled_resource_factors_display_name_negative_ironic_cao_ren_preparation_assignment	Assignment Loss	true
pooled_resource_factors_display_name_positive_ironic_cao_ren_preparation_four_caos	Family Members	true
pooled_resources_description_ironic_cao_ren_preparation	Without proper planning, many things can go wrong.	true
pooled_resources_display_name_ironic_cao_ren_preparation	Preparation	true
pooled_resources_foreign_diplomacy_view_tooltip_ironic_cao_ren_preparation	Preparation	true
pooled_resources_negative_factors_display_name_ironic_cao_ren_preparation	Decrease	true
pooled_resources_positive_factors_display_name_ironic_cao_ren_preparation	Increase	true
ui_text_replacements_localised_text_victory_condition_four_caos	CHINA MUST BE UNITED!	true
