key	text	tooltip
#Loc;1;text/db/factions/faction_resources/gaoganresource/resource_defensive.loc		
effect_bundles_localised_title_ironic_defensive_effect_bundle	Impenetrable	true
effect_bundles_localised_title_ironic_defensive_resource_level_0	Impenetrable: Shattered	true
effect_bundles_localised_title_ironic_defensive_resource_level_1	Impenetrable: Collapsing	true
effect_bundles_localised_title_ironic_defensive_resource_level_2	Impenetrable: Pierced	true
effect_bundles_localised_title_ironic_defensive_resource_level_3	Impenetrable: Warded	true
effect_bundles_localised_title_ironic_defensive_resource_level_4	Impenetrable: Bulwark	true
effect_bundles_localised_title_ironic_defensive_resource_level_5	Impenetrable: Impervious	true
effect_bundles_localised_title_ironic_defensive_resource_level_6	Impenetrable: Endurance of the Mountains	true
effect_bundles_localised_description_ironic_defensive_resource_level_0	All is reduced to dust on the wind.	true
effect_bundles_localised_description_ironic_defensive_resource_level_1	Like a spark spreading through a wooden shack on a dry day, catastrophe is imminent unless drastic measures are taken.	true
effect_bundles_localised_description_ironic_defensive_resource_level_2	A warrior cannot be protected by a punctured shield.	true
effect_bundles_localised_description_ironic_defensive_resource_level_3	Even a suit of armour will not save a soldier without confidence and zeal.	true
effect_bundles_localised_description_ironic_defensive_resource_level_4	The best offense is a good defense.	true
effect_bundles_localised_description_ironic_defensive_resource_level_5	Even the fangs of a tiger shatter against the turtle's shell.	true
effect_bundles_localised_description_ironic_defensive_resource_level_6	Not even the wrath of the Heavens can shake the foundations of the opposing Black Mountains.	true
effects_description_ironic_defensive_gao_gan_decay	[[b]]%+n[[/b]] Impenetrable	true
effects_description_ironic_defensive_gao_gan_armies	[[b]]%+n[[/b]] 	true
effects_description_ironic_defensive_struggle_defensive	[[b]]%+n[[/b]] 	true
effects_description_ironic_defensive_struggle_garrisoned	[[b]]%+n[[/b]] 	true
effects_description_ironic_defensive_struggle_vassalized	[[b]]%+n[[/b]] 	true
effects_description_ironic_defensive_struggle_info_gain	[[b]] Impenetrable [[/b]] can be increased by winning defensive battles.	true
effects_description_ironic_defensive_struggle_info_loss	[[b]] Impenetrable [[/b]] can be decreased by losing battles	true
effects_generalised_descriptions_localised_description_ironic_defensive_frontend_1	• Increases Defensive Capabilities	true
effects_generalised_descriptions_localised_description_ironic_defensive_frontend_2	• Provides bonuses to Allies.	true
effects_generalised_descriptions_localised_description_ironic_defensive_frontend_3	• Gained by winning defensive battles. 	true
effects_generalised_descriptions_localised_description_ironic_frontend_description_defensive_4		true
pooled_resource_factors_display_name_positive_ironic_defensive_struggle_decay	Passive	true
pooled_resource_factors_display_name_negative_ironic_defensive_struggle_decay	Decay	true
pooled_resource_factors_display_name_negative_ironic_defensive_struggle_defeat	Battles Lost	true
pooled_resource_factors_display_name_positive_ironic_defensive_struggle_victory	Battles Won	true
pooled_resource_factors_display_name_positive_ironic_defensive_struggle_stance	Stance	true
pooled_resource_factors_display_name_positive_ironic_defensive_struggle_release 	Release Captive	true
pooled_resource_factors_display_name_positive_ironic_defensive_struggle_execute	Executed Captives	true
pooled_resource_factors_display_name_positive_ironic_defensive_struggle_assignment	Assignments	true
pooled_resource_factors_display_name_positive_ironic_defensive_struggle_factor	Base	true
pooled_resource_factors_display_name_positive_ironic_defensive_struggle_faction_leader	Faction Leader	true
pooled_resource_factors_display_name_positive_ironic_defensive_struggle_army	Armies	true
pooled_resource_factors_display_name_positive_ironic_defensive_struggle_post_battle_options	Post Battle Options	true
pooled_resource_factors_display_name_positive_ironic_defensive_struggle_at_war	At War	true
pooled_resource_factors_display_name_negative_ironic_defensive_struggle_army	Armies	true
pooled_resource_factors_display_name_negative_ironic_defensive_struggle_post_battle_options	Post Battle Options	true
pooled_resource_factors_display_name_negative_ironic_defensive_struggle_at_war	At War	true
pooled_resources_description_ironic_defensive_struggle	Impenetrable	true
pooled_resources_display_name_ironic_defensive_struggle	Impenetrable	true
pooled_resources_foreign_diplomacy_view_tooltip_ironic_defensive_struggle	Impenetrable	true
pooled_resources_negative_factors_display_name_ironic_defensive_struggle	Decrease	true
pooled_resources_positive_factors_display_name_ironic_defensive_struggle	Increase	true
ui_text_replacements_localised_text_victory_condition_defensive	CHINA MUST BE UNITED!	true
frontend_faction_leader_playstyles_localised_title_ironic_faction_gao_gan	Playstyle focus: Protection	true
frontend_faction_leaders_localised_subtitle_ironic_main_gao_gan_faction_leader	Loyal Nephew	true
frontend_faction_leaders_localised_difficulty_ironic_main_gao_gan_faction_leader	Starting Situation: [[col:fe_difficulty_normal]]Normal[[/col]]	true
