key	text	tooltip
#Loc;1;text/db/factions/faction_resources/huangclanresource/resource_supervision.loc		
effect_bundles_localised_title_ironic_frontend_leader_supervision_special	Supervision	true
effect_bundles_localised_title_ironic_supervision_resource_level_0	Supervision: Torpid	true
effect_bundles_localised_title_ironic_supervision_resource_level_1	Supervision: Lax	true
effect_bundles_localised_title_ironic_supervision_resource_level_2	Supervision: Attentive	true
effect_bundles_localised_title_ironic_supervision_resource_level_3	Supervision: Watchful	true
effect_bundles_localised_title_ironic_supervision_resource_level_4	Supervision: Vigilant	true
effect_bundles_localised_description_ironic_supervision_resource_level_0	With listless officials loafing around, the state stagnates.	true
effect_bundles_localised_description_ironic_supervision_resource_level_1	Slacking hands lead to lacking contributions.	true
effect_bundles_localised_description_ironic_supervision_resource_level_2	Well managed offices are set to secure resources for the needs of the state.	true
effect_bundles_localised_description_ironic_supervision_resource_level_3	Everything must run at a strict schedule, from gathering harvests to the operation of markets.	true
effect_bundles_localised_description_ironic_supervision_resource_level_4	Let no effort shirk, let no man act without purpose.	true
effects_description_ironic_supervision_decay	[[b]]%+n[[/b]] Decay	true
effects_description_ironic_supervision_armies	[[b]]%+n[[/b]] Supervision	true
effects_description_ironic_supervision_robin_hood	[[b]]%+n[[/b]] Supervision	true
effects_description_ironic_supervision_garrisoned	[[b]]%+n[[/b]] Supervision	true
effects_description_ironic_supervision_vassalized	[[b]]%+n[[/b]] Supervision	true
effects_description_ironic_supervision_info_gain	[[b]]Supervision[[/b]] can be increased by assignments, non-aggression pacts, and military access.	true
effects_description_ironic_supervision_info_loss	[[b]]Supervision[[/b]] can be decreased by armies on field, court positions, and assignments.	true
effect_bundles_localised_title_ironic_supervision_effect_bundle	Supervision	true
effect_bundles_localised_description_ironic_supervision_effect_bundle	With careful management, every small effort can contribute to a greater whole. At times of peace, soldiers are better used put to public works than standing around idle.	false
effects_generalised_descriptions_localised_description_ironic_huang_ang_supervision_frontend_1	• Increases income from cities	true
effects_generalised_descriptions_localised_description_ironic_huang_ang_supervision_frontend_2	• Reduce income from trade	true
effects_generalised_descriptions_localised_description_ironic_huang_ang_supervision_frontend_3	• Armies boost Income in cities while consuming Supervision & reducing morale by 1	true
effects_generalised_descriptions_localised_description_ironic_huang_ang_supervision_frontend_4	• Governor boost Income in cities while consuming Supervision & reducing trade income	true
pooled_resource_factors_display_name_negative_ironic_supervision_decay	Decay	true
pooled_resource_factors_display_name_negative_ironic_supervision_defeat	Battles Lost	true
pooled_resource_factors_display_name_positive_ironic_supervision_victory	Battles Won	true
pooled_resource_factors_display_name_positive_ironic_supervision_stance	Stance	true
pooled_resource_factors_display_name_positive_ironic_supervision_release 	Release Captive	true
pooled_resource_factors_display_name_positive_ironic_supervision_execute	Executed Captives	true
pooled_resource_factors_display_name_positive_ironic_supervision_assignment	Assignments	true
pooled_resource_factors_display_name_positive_ironic_supervision_factor	Base	true
pooled_resource_factors_display_name_positive_ironic_supervision_faction_leader	Faction Leader	true
pooled_resource_factors_display_name_positive_ironic_supervision_armies	Armies on Field	true
pooled_resource_factors_display_name_positive_ironic_supervision_post_battle_options	Post Battle Options	true
pooled_resource_factors_display_name_positive_ironic_supervision_at_war	At War	true
pooled_resource_factors_display_name_negative_ironic_supervision_armies	Armies on Field	true
pooled_resource_factors_display_name_negative_ironic_supervision_post_battle_options	Post Battle Options	true
pooled_resource_factors_display_name_negative_ironic_supervision_at_war	At War	true
pooled_resource_factors_display_name_positive_ironic_huang_clan_diplomatic_treaties	Diplomatic Treaties	false
pooled_resource_factors_display_name_negative_ironic_huang_clan_diplomatic_treaties	Diplomatic Treaties	false
pooled_resources_description_ironic_supervision	With careful management, every small effort can contribute to a greater whole. At times of peace, soldiers are better used put to public works than standing around idle.	true
pooled_resources_display_name_ironic_supervision	Supervision	true
pooled_resources_foreign_diplomacy_view_tooltip_ironic_supervision	With careful management, every small effort can contribute to a greater whole. At times of peace, soldiers are better used put to public works than standing around idle.	true
pooled_resources_negative_factors_display_name_ironic_supervision	Decrease	true
pooled_resources_positive_factors_display_name_ironic_supervision	Increase	true
ui_text_replacements_localised_text_victory_condition_supervision	CHINA MUST BE UNITED!	true
ui_character_assignments_localised_title_ironic_supervision_improve	Appoint Managers	false
ui_character_assignments_localised_description_ironic_supervision_improve	Supervisors, managers and investigators must be hired, their offices staffed and provided for. Your aide will procure what is needed, and recruit those worthy.	false
ui_character_assignments_localised_title_ironic_supervision_reduce	Official Investigation	false
ui_character_assignments_localised_description_ironic_supervision_reduce	Your attendant will perform a subtle, yet thorough inspection of all military and civil offices. Should any man prove to be idle at his post, he must be replaced with someone more capable.	false
pooled_resource_factors_display_name_negative_ironic_supervision_factor	Base	false
pooled_resource_factors_display_name_negative_ironic_supervision_victory	Battles Won	false
pooled_resource_factors_display_name_positive_ironic_supervision_defeat	Battles Lost	false
pooled_resource_factors_display_name_positive_ironic_supervision_decay	Decay	false
pooled_resource_factors_display_name_positive_ironic_supervision_assignments	Assignments	false
