key	text	tooltip
#Loc;1;text/db/factions/faction_resources/huangzu/!!huangzu.loc		
effect_bundles_localised_title_ironic_huang_zu_prime_ambush_level_0	Subservience: Parasite	true
effect_bundles_localised_title_ironic_huang_zu_prime_ambush_level_1	Subservience: Frog	true
effect_bundles_localised_title_ironic_huang_zu_prime_ambush_level_2	Subservience: Rat	true
effect_bundles_localised_title_ironic_huang_zu_prime_ambush_level_3	Subservience: Snake	true
effect_bundles_localised_title_ironic_huang_zu_prime_ambush_level_4	Subservience: Fox	true
effect_bundles_localised_title_ironic_huang_zu_prime_ambush_level_5	Subservience: Owl	true
effect_bundles_localised_title_ironic_huang_zu_prime_ambush_level_6	Subservience: Hawk	true
effect_bundles_localised_description_ironic_huang_zu_prime_ambush_level_0	You are the merely dust on the shoe of anyone, all ignore none wish to speak to man who relies on a greater power to survive.	true
effect_bundles_localised_description_ironic_huang_zu_prime_ambush_level_1	You have lost your former glory, you are now seen a mere frog in a well.	true
effect_bundles_localised_description_ironic_huang_zu_prime_ambush_level_2	You are almost on your last legs, while your army may continue to push, your appearance to the world is only that of a rat.	true
effect_bundles_localised_description_ironic_huang_zu_prime_ambush_level_3	You are known to the world, but do not become the snake who tries to consume the elephant.	true
effect_bundles_localised_description_ironic_huang_zu_prime_ambush_level_4	You fame increases, your courtesy intimidates of a tiger, which you murdered.	true
effect_bundles_localised_description_ironic_huang_zu_prime_ambush_level_5	Your decisions are made up by yourself, but your will is not of your own.	true
effect_bundles_localised_description_ironic_huang_zu_prime_ambush_level_6	You have made it to the top, as you were all along, a hawk who hid his talons.	true
effects_description_ironic_huang_zu_decay	%-n Subservience decay	true
effects_description_ironic_huang_zu_vassal_master	%+n Subservience 	true
effects_description_ironic_huang_zu_vassal_alone	%-n Subservience 	true
effects_description_ironic_huang_zu_stance	%+n Subservience Stance 	true
effects_description_ironic_huang_zu_position	%+n Subservience Positions 	true
frontend_faction_leader_playstyles_localised_title_ironic_faction_huang_zu	[[b]]Playstyle focus:[[/b]] Ambush and Court	true
frontend_faction_leaders_localised_difficulty_ironic_huang_zu_208_faction	Starting situation: [[col:fe_difficulty_hard]]Hard[[/col]]	true
frontend_faction_leaders_localised_subtitle_ironic_huang_zu_208_faction	Ranged Ambusher	true
pooled_resource_factors_display_name_negative_ironic_huang_zu_prime_ambush_decay	Decay	true
pooled_resource_factors_display_name_negative_ironic_huang_zu_prime_ambush_defeat	Defeat	true
pooled_resource_factors_display_name_positive_ironic_huang_zu_prime_ambush_position	Positions	true
pooled_resource_factors_display_name_positive_ironic_huang_zu_prime_ambush_victor	Victory	true
pooled_resource_factors_display_name_positive_ironic_huang_zu_prime_ambush_population	Building	true
pooled_resource_factors_display_name_positive_ironic_huang_zu_prime_ambush_execution	Execution	true
pooled_resource_factors_display_name_positive_ironic_huang_zu_prime_ambush_vassal_master	Vassalized	true
pooled_resource_factors_display_name_negative_ironic_huang_zu_prime_ambush_vassal_master	Freedom	true
pooled_resource_factors_display_name_positive_ironic_huang_zu_prime_ambush_factor	Base	true
pooled_resource_factors_display_name_positive_ironic_huang_zu_prime_ambush_stance	Stances	true
pooled_resources_description_ironic_huang_zu_prime_ambush		true
pooled_resources_display_name_ironic_huang_zu_prime_ambush	Subservience 	true
pooled_resources_foreign_diplomacy_view_tooltip_ironic_huang_zu_prime_ambush		true
pooled_resources_negative_factors_display_name_ironic_huang_zu_prime_ambush	Decrease	true
pooled_resources_positive_factors_display_name_ironic_huang_zu_prime_ambush	Increase	true
ui_text_replacements_localised_text_victory_condition_zhang_liao	CHINA MUST BE UNITED!	true
