key	text	tooltip
#Loc;1;text/db/factions/faction_resources/qu_panresource/qu_pan_effects.loc		
effect_bundles_localised_title_ironic_madness_parrot_economy	Parrot Economy	false
effect_bundles_localised_description_ironic_madness_parrot_economy	Your people have been replaced with parrots, courtesy of Commander Lu, and they have forgone sleep increasing the output of your economy.	false
campaign_payload_ui_details_description_ironic_madness_reduction	Madness: -2	false
campaign_payload_ui_details_description_ironic_madness_gain	Madness: +1	false
effect_bundles_localised_title_ironic_madness_satisfaction_bonus	Blessings from the Parrot God	false
effect_bundles_localised_description_ironic_madness_satisfaction_bonus	Blessings from the Parrot God	false
effect_bundles_localised_title_ironic_madness_extreme_spears	Blessings from the Parrot God	false
effect_bundles_localised_description_ironic_madness_extreme_spears	Blessings from the Parrot God	false
effect_bundles_localised_title_ironic_madness_extreme_charge_cavalry	Blessings from the Parrot God	false
effect_bundles_localised_description_ironic_madness_extreme_charge_cavalry	Blessings from the Parrot God	false
effect_bundles_localised_title_ironic_madness_extreme_melee_cavalry	Blessings from the Parrot God	false
effect_bundles_localised_description_ironic_madness_extreme_melee_cavalry	Blessings from the Parrot God	false
effect_bundles_localised_title_ironic_madness_extreme_bows	Blessings from the Parrot God	false
effect_bundles_localised_description_ironic_madness_extreme_bows	Blessings from the Parrot God	false
effect_bundles_localised_title_ironic_madness_extreme_charge_infantry	Blessings from the Parrot God	false
effect_bundles_localised_description_ironic_madness_extreme_charge_infantry	Blessings from the Parrot God	false
effect_bundles_localised_title_ironic_madness_extreme_frontline	Blessings from the Parrot God	false
effect_bundles_localised_description_ironic_madness_extreme_frontline	Blessings from the Parrot God	false
effect_bundles_localised_title_ironic_madness_extreme_animals	Blessings from the Parrot God	false
effect_bundles_localised_description_ironic_madness_extreme_animals	Blessings from the Parrot God	false
effects_description_ironic_madness_character_spawn	Of Age Character spawns	false
effects_description_ironic_madness_character_wounded	Character is wounded	false
effects_description_ironic_madness_character_killed	Character is killed	false
effects_description_ironic_madness_army_travel	Army is traveled to Beihai	false
effects_description_ironic_madness_total_war	Total War!	false
effects_description_ironic_madness_trade_off	Trade Off!	false
effects_description_ironic_madness_destroyer_of_worlds	Faction is destroyed	false
effects_description_ironic_madness_confedrate_faction	Faction is confederated	false
effects_description_ironic_madness_vassal_faction	Faction is vassalized	false
effects_description_ironic_madness_good_to_bad	Character loses good trait	false
effects_description_ironic_madness_bad_to_good	Character gains good trait	false
effects_description_ironic_madness_ihnmaims	All characters are killed, game over.	false
effect_bundles_localised_title_ironic_madness_fox_cheese_wheel	PLACEHOLDER	false
effect_bundles_localised_description_ironic_madness_fox_cheese_wheel	PLACEHOLDER	false
effect_bundles_localised_title_ironic_madness_lu_meets_pig	PLACEHOLDER	false
effect_bundles_localised_description_ironic_madness_lu_meets_pig	PLACEHOLDER	false
effect_bundles_localised_title_ironic_madness_dementia	PLACEHOLDER	false
effect_bundles_localised_description_ironic_madness_dementia	PLACEHOLDER	false
effect_bundles_localised_title_ironic_madness_something_bad	PLACEHOLDER	false
effect_bundles_localised_description_ironic_madness_something_bad	PLACEHOLDER	false
effect_bundles_localised_title_ironic_madness_all_horses_belong	PLACEHOLDER	false
effect_bundles_localised_description_ironic_madness_all_horses_belong	PLACEHOLDER	false
effect_bundles_localised_title_ironic_madness_the_father	PLACEHOLDER	false
effect_bundles_localised_description_ironic_madness_the_father	PLACEHOLDER	false
effect_bundles_localised_title_ironic_madness_rat_infestion	PLACEHOLDER	false
effect_bundles_localised_description_ironic_madness_rat_infestion	PLACEHOLDER	false
effect_bundles_localised_title_ironic_madness_talking_trees	PLACEHOLDER	false
effect_bundles_localised_description_ironic_madness_talking_trees	PLACEHOLDER	false
effect_bundles_localised_title_ironic_madness_cross_lu	PLACEHOLDER	false
effect_bundles_localised_description_ironic_madness_cross_lu	PLACEHOLDER	false
effect_bundles_localised_title_ironic_madness_cross_death_lu	PLACEHOLDER	false
effect_bundles_localised_description_ironic_madness_cross_death_lu	PLACEHOLDER	false
effect_bundles_localised_title_ironic_madness_airplane_travel	PLACEHOLDER	false
effect_bundles_localised_description_ironic_madness_airplane_travel	PLACEHOLDER	false
effect_bundles_localised_title_ironic_madness_total_war	PLACEHOLDER	false
effect_bundles_localised_description_ironic_madness_total_war	PLACEHOLDER	false
effect_bundles_localised_title_ironic_madness_trade_offs	PLACEHOLDER	false
effect_bundles_localised_description_ironic_madness_trade_offs	PLACEHOLDER	false
effect_bundles_localised_title_ironic_madness_destroyer_of_worlds	PLACEHOLDER	false
effect_bundles_localised_description_ironic_madness_destroyer_of_worlds	PLACEHOLDER	false
effect_bundles_localised_title_ironic_madness_confedrate_faction	PLACEHOLDER	false
effect_bundles_localised_description_ironic_madness_confedrate_faction	PLACEHOLDER	false
effect_bundles_localised_title_ironic_madness_vassal_faction	PLACEHOLDER	false
effect_bundles_localised_description_ironic_madness_vassal_faction	PLACEHOLDER	false
effect_bundles_localised_title_ironic_madness_good_to_bad_traits	PLACEHOLDER	false
effect_bundles_localised_description_ironic_madness_good_to_bad_traits	PLACEHOLDER	false
effect_bundles_localised_title_ironic_madness_bad_to_good_traits	PLACEHOLDER	false
effect_bundles_localised_description_ironic_madness_bad_to_good_traits	PLACEHOLDER	false
effect_bundles_localised_title_ironic_madness_madness_enchance	PLACEHOLDER	false
effect_bundles_localised_description_ironic_madness_madness_enchance	PLACEHOLDER	false
effect_bundles_localised_title_ironic_madness_ihnmains	PLACEHOLDER	false
effect_bundles_localised_description_ironic_madness_ihnmains	PLACEHOLDER	false
