key	text	tooltip
#Loc;1;text/db/factions/faction_resources/wu_jingresource/resource_family persistence.loc		
effect_bundles_localised_title_ironic_frontend_leader_family_persistence_special	Fraternity	true
effect_bundles_localised_title_ironic_family_persistence_resource_level_0	Fraternity: Betrayed	true
effect_bundles_localised_title_ironic_family_persistence_resource_level_1	Fraternity: Disunified	true
effect_bundles_localised_title_ironic_family_persistence_resource_level_2	Fraternity: Joined	true
effect_bundles_localised_title_ironic_family_persistence_resource_level_3	Fraternity: Congenial	true
effect_bundles_localised_title_ironic_family_persistence_resource_level_4	Fraternity: Embraced	true
effect_bundles_localised_description_ironic_family_persistence_resource_level_0	"Without honour, you've got no family."	true
effect_bundles_localised_description_ironic_family_persistence_resource_level_1	"You don't turn your back on family, even when they do."	true
effect_bundles_localised_description_ironic_family_persistence_resource_level_2	"Without family, you've got nothing."	true
effect_bundles_localised_description_ironic_family_persistence_resource_level_3	"You will always be with me, and you will always be my brother."	true
effect_bundles_localised_description_ironic_family_persistence_resource_level_4	"The most important thing to me will always be the people in this room - my family."	true
effects_description_ironic_family_persistence_decay	[[b]]%+n[[/b]] Fraternity	true
effects_description_ironic_family_persistence_armies	[[b]]%+n[[/b]] Fraternity	true
effects_description_ironic_family_persistence_robin_hood	[[b]]%+n[[/b]] Fraternity	true
effects_description_ironic_family_persistence_garrisoned	[[b]]%+n[[/b]] Fraternity	true
effects_description_ironic_family_persistence_vassalized	[[b]]%+n[[/b]] Fraternity	true
effects_description_ironic_family_persistence_info_gain	[[b]]Fraternity[[/b]] can be increased by winning battles, enemy casualities, and family members in faction.	true
effects_description_ironic_family_persistence_info_loss	[[b]]Fraternity[[/b]] can be decreased by losing battles, friendly casualities, and non-family members in faction.	true
effect_bundles_localised_title_ironic_family_persistence_effect_bundle	Fraternity	false
effect_bundles_localised_description_ironic_family_persistence_effect_bundle	"I don't have friends. I have family."	false
effects_generalised_descriptions_localised_description_ironic_wu_jing_frontend_1	• Boosts construction and public order	true
effects_generalised_descriptions_localised_description_ironic_wu_jing_frontend_2	• Boosts morale and damage for armies	true
effects_generalised_descriptions_localised_description_ironic_wu_jing_frontend_3	• Reduces satisfaction for non-family generals	true
effects_generalised_descriptions_localised_description_ironic_wu_jing_frontend_4	• Gain through battles & family members	true
pooled_resource_factors_display_name_negative_ironic_family_persistence_decay	Decay	true
pooled_resource_factors_display_name_negative_ironic_family_persistence_defeat	Battles Lost	true
pooled_resource_factors_display_name_positive_ironic_family_persistence_victory	Battles Won	true
pooled_resource_factors_display_name_positive_ironic_family_persistence_stance	Stance	true
pooled_resource_factors_display_name_positive_ironic_family_persistence_release 	Release Captive	true
pooled_resource_factors_display_name_positive_ironic_family_persistence_execute	Executed Captives	true
pooled_resource_factors_display_name_positive_ironic_family_persistence_assignment	Assignments	true
pooled_resource_factors_display_name_positive_ironic_family_persistence_factor	Base	true
pooled_resource_factors_display_name_positive_ironic_family_persistence_faction_leader	Faction Leader	true
pooled_resource_factors_display_name_positive_ironic_family_persistence_army	Armies	true
pooled_resource_factors_display_name_positive_ironic_family_persistence_post_battle_options	Post Battle Options	true
pooled_resource_factors_display_name_positive_ironic_family_persistence_at_war	At War	true
pooled_resource_factors_display_name_negative_ironic_family_persistence_army	Armies	true
pooled_resource_factors_display_name_negative_ironic_family_persistence_post_battle_options	Post Battle Options	true
pooled_resource_factors_display_name_negative_ironic_family_persistence_at_war	At War	true
pooled_resources_description_ironic_family_persistence	"I don't have friends. I have family."	true
pooled_resources_display_name_ironic_family_persistence	Fraternity	true
pooled_resources_foreign_diplomacy_view_tooltip_ironic_family_persistence	"I don't have friends. I have family."	true
pooled_resources_negative_factors_display_name_ironic_family_persistence	Decrease	true
pooled_resources_positive_factors_display_name_ironic_family_persistence	Increase	true
ui_text_replacements_localised_text_victory_condition_family_persistence	CHINA MUST BE UNITED!	true
ui_character_assignments_localised_title_ironic_family_persistence_improve	family_persistence Improve	false
ui_character_assignments_localised_description_ironic_family_persistence_improve	PLACEHOLDER	false
ui_character_assignments_localised_title_ironic_family_persistence_reduce	family_persistence Reduce	false
ui_character_assignments_localised_description_ironic_family_persistence_reduce	PLACEHOLDER	false
pooled_resource_factors_display_name_negative_ironic_family_persistence_factor	Base	false
pooled_resource_factors_display_name_negative_ironic_family_persistence_victory	Battles Won	false
pooled_resource_factors_display_name_positive_ironic_family_persistence_defeat	Battles Lost	false
pooled_resource_factors_display_name_positive_ironic_family_persistence_decay	Decay	false
pooled_resource_factors_display_name_positive_ironic_family_persistence_assignments	Assignments	false
pooled_resource_factors_display_name_negative_ironic_family_persistence_assignments	Assignments	false
pooled_resource_factors_display_name_positive_ironic_family_persistence_characters_family	Family Members	false
pooled_resource_factors_display_name_negative_ironic_family_persistence_characters_family	Non-Family Members	false
effects_description_ironic_family_persistence_captives_post_battle	[[b]]%+n[[/b]] family_persistence	false
effects_description_ironic_family_persistence_characters	[[b]]%+n[[/b]] family_persistence	false
effects_description_ironic_family_persistence_executed	[[b]]%+n[[/b]] family_persistence	false
effects_description_ironic_family_persistence_assignments	[[b]]%+n[[/b]] family_persistence	false
effect_bundles_localised_title_effect_Bundle_wu_jing_satisfaction	effect_Bundle_wu_jing_satisfaction	false
effect_bundles_localised_description_effect_Bundle_wu_jing_satisfaction	PLACEHOLDER	false
loyalty_factors_localised_negative_name_DATA_bonus_values_faction_wu_jing	Not Family Member of Wu	false
loyalty_factors_localised_positive_name_DATA_bonus_values_faction_wu_jing	Family Member of Wu	false
effects_description_3k_dlc06_effect_characters_satisfaction_bonus_wu_jing	[[b]]%+n[[/b]] Satisfaction (for family members)	false
