key	text	tooltip
#Loc;1;text/db/factions/faction_resources/yellow_turbans/data_yt9.loc		
effects_description_3k_ytr_guv_embers_gong_du_caches	[[b]]%+n[[/b]] embers	false
frontend_faction_leader_unique_features_localised_description_3k_ytr_unique_features_gong_du_technology	Unlocked technology "Pardon Old-Regime Supports" from the start:\\n\\n[[col:green]]+[[/col]] Enlightenment\\n\\nUnlocks unit through Technology:\\n[[b]]Guardians of the Land[[/b]]\\n[[col:scope_description]]Heavy assault infantry[[/col]]\\n\\nRole: frontline\\n[[col:green]]+[[/col]] Good armour\\n[[col:green]]+[[/col]] Good in melee\\n\\n[[col:flavour]][[i]] Armoured former palace guards who use ji polearms raided from their previous masters in the fight for the Great Peace.[[/col]][[/i]]\\n\\nUnlocks unit through Technology:\\n\\n[[b]]Stalwart Shields[[/b]]\\n[[col:scope_description]]Heavy spear infantry[[/col]]\\n\\nRole: anti-cavalry\\n[[col:green]]+[[/col]] Good morale\\n[[col:green]]+[[/col]] Missile defence\\n\\n[[col:flavour]][[i]] The Yellow Turbans must be sword and shield both, holding back the tide of corruption whilst simultaneously pushing it back.[[/col]][[/i]]	true
frontend_faction_leader_unique_features_localised_description_3k_ytr_unique_features_he_yi_technology	Unlocked technology "Call for Warriors" from the start:\\n\\n[[col:green]]+[[/col]] Enlightenment\\n\\nUnlocks unit through Technology:\\n[[b]]Youxia[[/b]]\\n[[col:scope_description]]Heavy assault infantry[[/col]]\\n\\nRole: frontline\\n[[col:green]]+[[/col]] Good armour\\n[[col:green]]+[[/col]] Guerrilla deployment\\n\\n[[col:flavour]][[i]] With a tally of many victories between them, this armoured infantry form the vanguard of the frontline with sword and shield. [[/col]][[/i]]\\n\\nUnlocks unit through Technology:\\n[[b]]Jiazi Raiders[[/b]]\\n[[col:scope_description]]Heavy sword cavalry[[/col]]\\n\\nRole: all-rounder\\n[[col:green]]+[[/col]] Good armour\\n[[col:red]]-[[/col]] Small unit\\n\\n[[col:flavour]][[i]] When you fight to live, you tend to become exceedingly good at it.[[/col]][[/i]]	true
frontend_faction_leader_unique_features_localised_description_3k_ytr_unique_features_huang_shao_technology	Unlocked technology "Archer's Discipline" from the start:\\n\\n[[col:green]]+[[/col]] Enlightenment\\n\\nUnlocks unit through Technology:\\n[[b]]Archery Masters[[/b]]\\n[[col:scope_description]]Archer infantry[[/col]]\\n\\nRole: suppression\\n[[col:green]]+[[/col]] Missile attack\\n[[col:red]]-[[/col]] Poor in melee\\n\\n[[col:flavour]][[i]] Archers with an unerring eye; their arrows rarely miss their targets.[[/col]][[/i]]\\n\\nUnlocks unit through Technology:\\n[[b]]The Land's Chosen[[/b]]\\n[[col:scope_description]]Archer infantry[[/col]]\\n\\nRole: rear line\\n[[col:green]]+[[/col]] Missile attack\\n[[col:red]]-[[/col]] Weak against cavalry\\n\\n[[col:flavour]][[i]] Nature must be preserved and the world saved. These warriors will see it done.[[/col]][[/i]]	true
effects_description_3k_ytr_faction_trait_he_yi_3_population_recruitment	He Yi's Population reduces recruitment cost in local {{tr:map_provinces}}	true
effects_generalised_descriptions_localised_description_3k_main_faction_trait_gong_du_0	• Resource shared with other Yellow Turbans	true
effects_generalised_descriptions_localised_description_3k_main_faction_trait_gong_du_1	• Increases campaign movement range	true
effects_generalised_descriptions_localised_description_3k_main_faction_trait_gong_du_2	• Increases loot from battles	true
effects_generalised_descriptions_localised_description_3k_main_faction_trait_gong_du_2_2	• Embers is gained from inflicting casualties	true
