key	text	tooltip
#Loc;1;text/db/factions/frontend/factiondifficulty.loc		
frontend_faction_leaders_localised_difficulty_3k_main_political_party_liu_yu_190	Starting situation: [[col:fe_difficulty_hard]]Hard[[/col]]	true
frontend_faction_leaders_localised_difficulty_ironic_main_song_jian_faction_leader	Starting situation: [[col:fe_difficulty_normal]]Normal[[/col]]	true
frontend_faction_leaders_localised_difficulty_ironic_main_han_sui_faction_leader	Starting situation: [[col:fe_difficulty_normal]]Normal[[/col]]	true
frontend_faction_leaders_localised_difficulty_ironic_main_wuhuan_faction_leader	Starting situation: [[col:fe_difficulty_hard]]Hard[[/col]]	true
frontend_faction_leaders_localised_difficulty_ironic_main_xiongnu_faction_leader	Starting situation: [[col:fe_difficulty_hard]]Hard[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_wang_kuang_190	Starting situation: [[col:fe_difficulty_normal]]Normal[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_zhang_yang_190	Starting situation: [[col:fe_difficulty_hard]]Hard[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_yang_feng_190	Starting situation: [[col:fe_difficulty_hard]]Hard[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_gongsun_du_190	Starting situation: [[col:fe_difficulty_normal]]Normal[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_liu_dai_190	Starting situation: [[col:fe_difficulty_very_hard]]Very Hard[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_ying_shao_190	Starting situation: [[col:fe_difficulty_normal]]Normal[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_chen_gui_190	Starting situation: [[col:fe_difficulty_normal]]Normal[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_ze_rong_190	Starting situation: [[col:fe_difficulty_normal]]Normal[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_zhang_chao_190	Starting situation: [[col:fe_difficulty_normal]]Normal[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_chen_wen_190	Starting situation: [[col:fe_difficulty_normal]]Normal[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_bian_rang_190	Starting situation: [[col:fe_difficulty_very_hard]]Very Hard[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_lu_kang_190	Starting situation: [[col:fe_difficulty_hard]]Hard[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_zhang_lu_190	Starting situation: [[col:fe_difficulty_hard]]Hard[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_jia_long_190	Starting situation: [[col:fe_difficulty_very_hard]]Very Hard[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_liu_yao_190	Starting situation: [[col:fe_difficulty_hard]]Hard[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_sheng_xian_190	Starting situation: [[col:fe_difficulty_very_hard]]Not Tested[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_wang_lang_190	Starting situation: [[col:fe_difficulty_hard]]Hard[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_zhu_hao_190	Starting situation: [[col:fe_difficulty_very_hard]]Not Tested[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_hua_xin_190	Starting situation: [[col:fe_difficulty_hard]]Hard[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_zhuge_xuan_190	Starting situation: [[col:fe_difficulty_hard]]Hard[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_liu_pan_190	Starting situation: [[col:fe_difficulty_very_hard]]Not Tested[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_zhang_xian_190	Starting situation: [[col:fe_difficulty_very_hard]]Not Tested[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_zhang_jin_190	Starting situation: [[col:fe_difficulty_very_hard]]Not Tested[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_shi_huang_190	Starting situation: [[col:fe_difficulty_very_hard]]Not Tested[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_gan_ning_190	Starting situation: [[col:fe_difficulty_hard]]Hard[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_han_empire_190	Starting situation: [[col:fe_difficulty_very_hard]]Not Tested[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_huang_zu_190	Starting situation: [[col:fe_difficulty_very_hard]]Very Hard[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_cai_mao_190	Starting situation: [[col:fe_difficulty_very_hard]]Very Hard[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_kong_zhou_190	Starting situation: [[col:fe_difficulty_hard]]Hard[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_yt_generic_190	Starting situation: [[col:fe_difficulty_very_hard]]Not Tested[[/col]]	true
frontend_faction_leaders_localised_difficulty_3k_main_political_party_zhu_fu_190	Starting situation: [[col:fe_difficulty_very_hard]]Not Tested[[/col]]	true
