key	text	tooltip
#Loc;1;text/db/factions/frontend/factionleadersubtitle.loc		
frontend_faction_leaders_localised_subtitle_ironic_cao_ren_political_party_208	Brave Hunter	true
frontend_faction_leaders_localised_subtitle_ironic_gongsun_political_party_208	King of Liaodong	true
frontend_faction_leaders_localised_subtitle_ironic_han_sui_political_party_208	Tireless Insurgent	true
frontend_faction_leaders_localised_subtitle_ironic_huang_zu_political_party_208	Ranged Ambusher	true
frontend_faction_leaders_localised_subtitle_ironic_ma_chao_political_party_208	Most-Brilliant Warrior	true
frontend_faction_leaders_localised_subtitle_ironic_shi_huang_political_party_208	Gentleman of the South	true
frontend_faction_leaders_localised_subtitle_ironic_shi_hui_political_party_208	Naively Ambitious	true
frontend_faction_leaders_localised_subtitle_ironic_shi_wu_political_party_208	Warden of Zhoukang	true
frontend_faction_leaders_localised_subtitle_ironic_shi_yi_political_party_208	Complacent Bureaucrat	true
frontend_faction_leaders_localised_subtitle_ironic_sun_ben_political_party_208	Of Loyalty or Distress	true
frontend_faction_leaders_localised_subtitle_ironic_sun_quan_political_party_208	Emerald-Eyed Adminstrator	true
frontend_faction_leaders_localised_subtitle_ironic_tian_yu_political_party_208	Crafty Operator	true
frontend_faction_leaders_localised_subtitle_ironic_wuhuan_political_party_208	Leader of Five Thousand	true
frontend_faction_leaders_localised_subtitle_ironic_xiahou_yuan_political_party_208	Maker of Ways	true
frontend_faction_leaders_localised_subtitle_ironic_zhang_lu_political_party_208	Celestial Master	true
frontend_faction_leaders_localised_subtitle_ironic_han_empire_political_party_208	Hegemon's Aide	true
frontend_faction_leaders_localised_subtitle_ironic_song_jian_political_party_208	Lord of the Sources	true
frontend_faction_leaders_localised_subtitle_ironic_xu_he_political_party_208	Leader of the Remnants	true
frontend_faction_leaders_localised_subtitle_ironic_chen_lan_political_party_208	Milita Veteran	true
frontend_faction_leaders_localised_subtitle_ironic_zhou_yu_political_party_208	Melodic Strategist	true
frontend_faction_leaders_localised_subtitle_3k_main_political_party_liu_yu_190	Prosperous Trader	true
frontend_faction_leaders_localised_subtitle_ironic_main_song_jian_faction_leader	Lord of the Sources	true
frontend_faction_leaders_localised_subtitle_ironic_main_han_sui_faction_leader	Tireless Insurgent	true
frontend_faction_leaders_localised_subtitle_ironic_main_wuhuan_faction_leader	Leader of Five Thousand	true
frontend_faction_leaders_localised_subtitle_ironic_main_xiongnu_faction_leader	The Mercenary Chanyu	true
frontend_faction_leaders_localised_subtitle_3k_main_political_party_wang_kuang_190	Proprietor of Punishment	true
frontend_faction_leaders_localised_subtitle_3k_main_political_party_zhang_yang_190	Ignored Warlord	true
frontend_faction_leaders_localised_subtitle_3k_main_political_party_yang_feng_190	White Wave Warlord	true
frontend_faction_leaders_localised_subtitle_3k_main_political_party_gongsun_du_190	the Warlike	true
frontend_faction_leaders_localised_subtitle_3k_main_political_party_liu_dai_190	Generous Attendant	true
frontend_faction_leaders_localised_subtitle_3k_main_political_party_ying_shao_190	Compiler of Almanacs	true
frontend_faction_leaders_localised_subtitle_3k_main_political_party_chen_gui_190	Abundant Talent	true
frontend_faction_leaders_localised_subtitle_3k_main_political_party_ze_rong_190	Populist Rogue	true
