key	text	tooltip
#Loc;1;text/db/factions/frontend/factionplaystyle.loc		
frontend_faction_leader_playstyles_localised_title_3k_main_faction_liu_yu	Playstyle focus: Pacifism	true
frontend_faction_leader_playstyles_localised_title_3k_main_faction_wang_kuang	Playstyle focus: Aggressive Expansion	true
frontend_faction_leader_playstyles_localised_title_3k_main_faction_zhang_yang	Playstyle focus: War	true
frontend_faction_leader_playstyles_localised_title_3k_dlc05_faction_yang_feng	Playstyle focus: War & Sabotage	true
frontend_faction_leader_playstyles_localised_title_3k_main_faction_gongsun_du	Playstyle focus: Conquest & Diplomacy	true
frontend_faction_leader_playstyles_localised_title_3k_main_faction_liu_dai	Playstyle focus: Sieging	true
frontend_faction_leader_playstyles_localised_title_3k_dlc04_faction_ying_shao	Playstyle focus: Scholarship & teaching	true
frontend_faction_leader_playstyles_localised_title_3k_dlc04_faction_chen_gui	Playstyle focus: Espionage & Diplomacy	true
frontend_faction_leader_playstyles_localised_title_3k_main_faction_zhai_rong	Playstyle focus: Raiding	true
frontend_faction_leader_playstyles_localised_title_3k_main_faction_zhang_chao	Playstyle focus: Characters & Schools	true
frontend_faction_leader_playstyles_localised_title_ironic_faction_chen_wen	Playstyle focus: Alliance & Diplomacy	true
frontend_faction_leader_playstyles_localised_title_ironic_faction_bian_rang	Playstyle focus: Characters	true
frontend_faction_leader_playstyles_localised_title_3k_dlc04_faction_lu_kang	Playstyle focus: Restoration	true
frontend_faction_leader_playstyles_localised_title_3k_main_faction_zhang_lu	Playstyle focus: Population & Building	true
frontend_faction_leader_playstyles_localised_title_3k_main_faction_jia_long	Playstyle focus: Appeasement	true
frontend_faction_leader_playstyles_localised_title_3k_main_faction_liu_yao	Playstyle focus: Population Management	true
frontend_faction_leader_playstyles_localised_title_3k_dlc05_faction_sheng_xian	Playstyle focus: No Resource	true
frontend_faction_leader_playstyles_localised_title_3k_main_faction_wang_lang	Playstyle focus: Education	true
frontend_faction_leader_playstyles_localised_title_ironic_faction_zhu_hao	Playstyle focus: Unit Warfare	true
frontend_faction_leader_playstyles_localised_title_3k_dlc05_faction_hua_xin	Playstyle focus: Court	true
frontend_faction_leader_playstyles_localised_title_ironic_faction_zhuge_xuan	Playstyle focus: Units & Characters	true
frontend_faction_leader_playstyles_localised_title_ironic_faction_liu_pan	Playstyle focus: Skrimsher	true
frontend_faction_leader_playstyles_localised_title_ironic_faction_zhang_xian	Playstyle focus: Aggressive	true
frontend_faction_leader_playstyles_localised_title_ironic_faction_zhang_jin	Playstyle focus: Trickery	true
frontend_faction_leader_playstyles_localised_title_3k_dlc05_faction_shi_huang	Playstyle focus: No Resource	true
frontend_faction_leader_playstyles_localised_title_ironic_faction_gan_ning	Playstyle focus: Fame	true
frontend_faction_leader_playstyles_localised_title_3k_main_faction_han_empire	Playstyle focus: No Resource	true
frontend_faction_leader_playstyles_localised_title_3k_main_faction_huang_zu	Playstyle focus: Ambushes & Subservience	true
frontend_faction_leader_playstyles_localised_title_3k_main_faction_cai_mao	Playstyle focus: Defense	true
frontend_faction_leader_playstyles_localised_title_3k_main_faction_kong_zhou	Playstyle focus: Characters	true
frontend_faction_leader_playstyles_localised_title_3k_main_faction_yellow_turban_generic	Playstyle focus: No Resource	true
frontend_faction_leader_playstyles_localised_title_3k_dlc05_faction_zhu_fu	Playstyle focus: No Resource	true
frontend_faction_leader_playstyles_localised_title_3k_main_faction_yulin	Playstyle focus: No Resource	true
frontend_faction_leader_playstyles_localised_title_3k_main_faction_gaoliang	Playstyle focus: No Resource	true
frontend_faction_leader_playstyles_localised_title_3k_main_faction_han_fu	Playstyle focus: Politics & internal government	true
frontend_faction_leader_playstyles_localised_title_ironic_faction_xiongnu_tribes	[[b]]Playstyle focus:[[/b]] Tributes and Expansion	true
frontend_faction_leader_playstyles_localised_title_ironic_faction_wuhuan_tribes	[[b]]Playstyle focus:[[/b]] Chaos	true
frontend_faction_leader_playstyles_localised_title_ironic_faction_goguryeo	[[b]]Playstyle focus:[[/b]] Conquest	true
frontend_faction_leader_playstyles_localised_title_ironic_faction_bakaja	Playstyle focus: No Resource	true
frontend_faction_leader_playstyles_localised_title_ironic_faction_shitla	Playstyle focus: No Resource	true
frontend_faction_leader_playstyles_localised_title_ironic_faction_xianbei_tuoba	[[b]]Playstyle focus:[[/b]] Expansion	true
frontend_faction_leader_playstyles_localised_title_ironic_faction_ma_ai	[[b]]Playstyle focus:[[/b]] Trade	true
frontend_faction_leader_playstyles_localised_title_ironic_faction_huang_clan	[[b]]Playstyle focus:[[/b]] Economic	true
frontend_faction_leader_playstyles_localised_title_ironic_faction_zhang_jin_border	[[b]]Playstyle focus:[[/b]] Warfare	true
frontend_faction_leader_playstyles_localised_title_ironic_faction_di_tribes	[[b]]Playstyle focus:[[/b]] Population & Casualities	true
frontend_faction_leader_playstyles_localised_title_ironic_faction_xianbei_kuitou	[[b]]Playstyle focus:[[/b]] Casualities & Court	true
frontend_faction_leader_playstyles_localised_title_3k_dlc06_faction_jiuzhen	Playstyle focus: No Resource	false
frontend_faction_leader_playstyles_localised_title_3k_dlc06_faction_nanman_jiangyang	Playstyle focus: No Resource	false
frontend_faction_leader_playstyles_localised_title_3k_dlc06_faction_nanman_jianning	Playstyle focus: No Resource	false
frontend_faction_leader_playstyles_localised_title_3k_dlc06_faction_nanman_yunnan	Playstyle focus: No Resource	false
frontend_faction_leader_playstyles_localised_title_3k_dlc06_faction_nanman_ahuinan	Playstyle focus: No Resource	false
frontend_faction_leader_playstyles_localised_title_3k_dlc06_faction_nanman_mangyachang	Playstyle focus: No Resource	false
frontend_faction_leader_playstyles_localised_title_3k_dlc06_faction_nanman_zangke	Playstyle focus: No Resource	false
frontend_faction_leader_playstyles_localised_title_3k_dlc06_faction_nanman_jinhuansanjie	Playstyle focus: No Resource	false
frontend_faction_leader_playstyles_localised_title_3k_dlc06_faction_nanman_dongtuna	Playstyle focus: No Resource	false
frontend_faction_leader_playstyles_localised_title_3k_dlc06_faction_nanman_tu_an	Playstyle focus: No Resource	false
frontend_faction_leader_playstyles_localised_title_3k_dlc06_faction_nanman_xi_ni	Playstyle focus: No Resource	false
frontend_faction_leader_playstyles_localised_title_3k_dlc06_faction_nanman_king_wutugu	Playstyle focus: No Resource	false
frontend_faction_leader_playstyles_localised_title_3k_dlc06_faction_nanman_jiaozhi	Playstyle focus: No Resource	false
frontend_faction_leader_playstyles_localised_title_3k_dlc06_faction_nanman_yang_feng	Playstyle focus: No Resource	false
frontend_faction_leader_playstyles_localised_title_3k_dlc06_faction_nanman_king_duosi	Playstyle focus: No Resource	false
frontend_faction_leader_playstyles_localised_title_3k_dlc06_faction_nanman_yongchang	Playstyle focus: No Resource	false
frontend_faction_leader_playstyles_localised_title_3k_dlc05_faction_wu_jing	Playstyle focus: War & Family	false
frontend_faction_leader_playstyles_localised_title_ironic_faction_wang_sheng	Playstyle focus: No Resource	false
frontend_faction_leader_playstyles_localised_title_ironic_faction_tong_zhi	Playstyle focus: No Resource	false
frontend_faction_leader_playstyles_localised_title_3k_dlc04_faction_liu_xun	Playstyle focus: No Resource	false
frontend_faction_leader_playstyles_localised_title_ironic_faction_yellow_turban_wu_huan	Playstyle focus: No Resource	false
