key	text	tooltip
#Loc;1;text/db/names/!!ironic_addon_korea_clone_names.loc		
names_name_8550000	Jin	false
names_alt_name_8550000	眞	false
names_name_8550001	Jinmo	false
names_alt_name_8550001	眞牟	false
names_name_8550002	Mok	false
names_alt_name_8550002	木	false
names_name_8550003	Mokri	false
names_alt_name_8550003	木刕	false
names_name_8550004	Mokra	false
names_alt_name_8550004	木羅	false
names_name_8550005	Sa	false
names_alt_name_8550005	沙	false
names_name_8550006	Sataek	false
names_alt_name_8550006	沙宅	false
names_name_8550007	Sata	false
names_alt_name_8550007	沙咤	false
names_name_8550008	Baek	false
names_alt_name_8550008	苩	false
names_name_8550009	Dapbon	false
names_alt_name_8550009	答㶱	false
names_name_8550010	Wang	false
names_alt_name_8550010	王	false
names_name_8550011	Jang	false
names_alt_name_8550011	張	false
names_name_8550012	Yang	false
names_alt_name_8550012	楊	false
names_name_8550013	Yang	false
names_alt_name_8550013	陽	false
names_name_8550014	Jin	false
names_alt_name_8550014	陳	false
names_name_8550015	Gokna	false
names_alt_name_8550015	谷那	false
names_name_8550016	Sabi	false
names_alt_name_8550016	四比	false
names_name_8550017	Do	false
names_alt_name_8550017	都	false
names_name_8550018	Gu	false
names_alt_name_8550018	句	false
names_name_8550019	Myeongrim	false
names_alt_name_8550019	明臨	false
names_name_8550020	Sosil	false
names_alt_name_8550020	少室	false
names_name_8550021	Jungsil	false
names_alt_name_8550021	仲室	false
names_name_8550022	Yu	false
names_alt_name_8550022	劉	false
names_name_8550023	Seol	false
names_alt_name_8550023	薛	false
names_name_8550024	Yeon	false
names_alt_name_8550024	延	false
names_name_8550025	Geuk	false
names_alt_name_8550025	克	false
names_name_8550026	Heo	false
names_alt_name_8550026	許	false
names_name_8550027	Choe	false
names_alt_name_8550027	崔	false
names_name_8550028	Yeon	false
names_alt_name_8550028	淵	false
names_name_8550029	Yeon	false
names_alt_name_8550029	燕	false
names_name_8550030	Yeonbi	false
names_alt_name_8550030	燕比	false
names_name_8550031	Guk	false
names_alt_name_8550031	國	false
names_name_8550032	Jeo	false
names_alt_name_8550032	姐	false
names_name_8550033	Jeomi	false
names_alt_name_8550033	姐彌	false
names_name_8550034	Jeok	false
names_alt_name_8550034	適	false
names_name_8550035	Jak	false
names_alt_name_8550035	灼	false
names_name_8550036	Ma	false
names_alt_name_8550036	馬	false
names_name_8550037	Bokbu	false
names_alt_name_8550037	福富	false
names_name_8550038	Nan	false
names_alt_name_8550038	難	false
names_name_8550039	Deok	false
names_alt_name_8550039	德	false
names_name_8550040	Gil	false
names_alt_name_8550040	吉	false
names_name_8550041	Sunmu	false
names_alt_name_8550041	淳武	false
names_name_8550042	Hyeong	false
names_alt_name_8550042	荊	false
names_name_8550043	Ga	false
names_alt_name_8550043	賈	false
names_name_8550044	Dapta	false
names_alt_name_8550044	答他	false
names_name_8550045	Jimo	false
names_alt_name_8550045	支母	false
names_name_8550046	Goi	false
names_alt_name_8550046	古爾	false
names_name_8550047	Dongseong	false
names_alt_name_8550047	東城	false
names_name_8550048	Munhyu	false
names_alt_name_8550048	汶休	false
names_name_8550049	Munsa	false
names_alt_name_8550049	汶斯	false
names_name_8550050	Heukchi	false
names_alt_name_8550050	黑齒	false
names_name_8550051	Gwisil	false
names_alt_name_8550051	鬼室	false
names_name_8550052	Eokrye	false
names_alt_name_8550052	憶禮	false
names_name_8550053	Eokroe	false
names_alt_name_8550053	憶賴	false
names_name_8550054	Mulbu	false
names_alt_name_8550054	物部	false
names_name_8550055	Lee	false
names_alt_name_8550055	李	false
names_name_8550056	Park	false
names_alt_name_8550056	朴	false
names_name_8550057	Jeong	false
names_alt_name_8550057	鄭	false
names_name_8550058	Jo	false
names_alt_name_8550058	趙	false
names_name_8550059	Gang	false
names_alt_name_8550059	姜	false
names_name_8550060	Yun	false
names_alt_name_8550060	尹	false
names_name_8550061	Lim	false
names_alt_name_8550061	林	false
names_name_8550062	Song	false
names_alt_name_8550062	宋	false
names_name_8550063	Gwon	false
names_alt_name_8550063	權	false
names_name_8550064	Yang	false
names_alt_name_8550064	梁	false
names_name_8550065	O	false
names_alt_name_8550065	吳	false
names_name_8550066	Gang	false
names_alt_name_8550066	康	false
names_name_8550067	MUN	false
names_alt_name_8550067	文	false
names_name_8550068	Hwang	false
names_alt_name_8550068	黃	false
names_name_8550069	Han	false
names_alt_name_8550069	韓	false
names_name_8550070	Dokgo	false
names_alt_name_8550070	獨孤	false
names_name_8550071	Dongbang	false
names_alt_name_8550071	東方	false
names_name_8550072	Namgung	false
names_alt_name_8550072	南宮	false
names_name_8550073	Gwa	false
names_alt_name_8550073	果	false
names_name_8550074	Mul	false
names_alt_name_8550074	勿	false
names_name_8550075	Ui	false
names_alt_name_8550075	義	false
names_name_8550076	Godo	false
names_alt_name_8550076	高道	false
names_name_8550077	Gamo	false
names_alt_name_8550077	嘉謨	false
names_name_8550078	Mojin	false
names_alt_name_8550078	毛津	false
names_name_8550079	Ro	false
names_alt_name_8550079	老	false
names_name_8550080	Mogwinun	false
names_alt_name_8550080	牟貴文	false
names_name_8550081	Gu	false
names_alt_name_8550081	仇	false
names_name_8550082	Su	false
names_alt_name_8550082	須	false
names_name_8550083	Myeong	false
names_alt_name_8550083	明	false
names_name_8550084	Geunja	false
names_alt_name_8550084	斤資	false
names_name_8550085	Geum	false
names_alt_name_8550085	衿	false
names_name_8550086	Mana	false
names_alt_name_8550086	麻那	false
names_name_8550087	Yungwi	false
names_alt_name_8550087	尹貴	false
names_name_8550088	Geumdon	false
names_alt_name_8550088	今敦	false
names_name_8550089	Sogiwija	false
names_alt_name_8550089	素貴子	false
names_name_8550090	Sojeongmu	false
names_alt_name_8550090	素丁武	false
names_name_8550091	Du	false
names_alt_name_8550091	豆	false
names_name_8550092	Beommyeong	false
names_alt_name_8550092	法名	false
names_name_8550093	Giru	false
names_alt_name_8550093	己婁	false
names_name_8550094	Jeokdeok	false
names_alt_name_8550094	積德	false
names_name_8550095	Cheonbok	false
names_alt_name_8550095	千福	false
names_name_8550096	Sangyeo	false
names_alt_name_8550096	相如	false
names_name_8550097	Mansu	false
names_alt_name_8550097	萬首	false
names_name_8550098	Manbok	false
names_alt_name_8550098	萬福	false
names_name_8550099	Dol	false
names_alt_name_8550099	突	false
names_name_8550100	Munjin	false
names_alt_name_8550100	文進	false
names_name_8550101	Ga	false
names_alt_name_8550101	加	false
names_name_8550102	Gi	false
names_alt_name_8550102	奇	false
names_name_8550103	Jimo	false
names_alt_name_8550103	知牟	false
names_name_8550104	Golbu	false
names_alt_name_8550104	骨富	false
names_name_8550105	Saekdon	false
names_alt_name_8550105	塞敦	false
