key	text	tooltip
#Loc;1;text/db/rew_iro_regional_units_localisation_tables.loc		
land_units_onscreen_name_rew_iro_regional_sili_wood_brave_protectors	Feathered Forest Warriors	true
land_units_onscreen_name_rew_iro_regional_sili_wood_dynasty_warriors	Warriors of the Western Garden	true
land_units_onscreen_name_rew_iro_regional_bing_earth_auxilia_xiongnu_raiders	Xiongnu Ravagers	true
land_units_onscreen_name_rew_iro_regional_bing_water_auxilia_xianbei_skirmishers	Heishan Cavalry	true
land_units_onscreen_name_rew_iro_regional_liang_wood_xiliang_spearmen	Western Border Guards	true
land_units_onscreen_name_rew_iro_regional_liang_metal_xiliang_macemen	Xiliang Hammer Guard 	true
land_units_onscreen_name_rew_iro_regional_yong_metal_defenders_of_capitals	Chencang Guardians	true
land_units_onscreen_name_rew_iro_regional_yong_wood_downtrodden_refugees	Conscripted Convicts 	true
land_units_onscreen_name_rew_iro_regional_you_fire_auxiliary_wuhuan_raiders	Wusun Auxiliaries	true
land_units_onscreen_name_rew_iro_regional_you_metal_fierce_northern_axemen	Youzhou Brutes	true
land_units_onscreen_name_rew_iro_regional_ji_wood_cavalrybane_infantry	Cangting Rearguards	true
land_units_onscreen_name_rew_iro_regional_ji_metal_jizhou_elite_swordguards	Jizhou Noble Bodyguards	true
land_units_onscreen_name_rew_iro_regional_yan_wood_yellow_turban_remnants	Qingzhou Migrant Warriors	true
land_units_onscreen_name_rew_iro_regional_yan_water_river_guards	Dingtao Crossbowmen 	true
land_units_onscreen_name_rew_iro_regional_qing_earth_bookish_cavaliers	Sages of the Analects 	true
land_units_onscreen_name_rew_iro_regional_qing_water_thunderous_repeaters	Storms of Lu	true
land_units_onscreen_name_rew_iro_regional_yu_fire_firestarter_cavalry	Impetuous Lancers	true
land_units_onscreen_name_rew_iro_regional_yu_metal_yuzhou_assault_infantry	Yuzhou Diehard Warriors	true
land_units_onscreen_name_rew_iro_regional_xu_water_coastal_homeguard	Shields of Xiapi	true
land_units_onscreen_name_rew_iro_regional_xu_wood_valiant_vigilantes	Guangling Marines	true
land_units_onscreen_name_rew_iro_regional_jing_metal_sword_saints	Chu Blademasters 	true
land_units_onscreen_name_rew_iro_regional_jing_earth_northern_nobles	Jingzhou Noble Guards	true
land_units_onscreen_name_rew_iro_regional_yang_metal_yangtze_patrollers	Yangzhou Marines	true
land_units_onscreen_name_rew_iro_regional_yang_wood_yang_guardians	Danyang Elite Spears 	true
land_units_onscreen_name_rew_iro_regional_jiao_wood_headcrushers	Jiaozhou Linebreakers	true
land_units_onscreen_name_rew_iro_regional_jiao_metal_blades_of_the_south	Warriors of the Pearl	true
land_units_onscreen_name_rew_iro_regional_yi_metal_forest_fighters	Guerilla of the Gorges	true
land_units_onscreen_name_rew_iro_regional_yi_water_yizhou_stalkers	Flying Warriors	true
ui_unit_bullet_point_enums_onscreen_name_strength_forest_fighter	Forest Fighters	false
ui_unit_bullet_point_enums_tooltip_strength_forest_fighter	This units benefits both offensively and defensively when fighting in forested terrain	false
unit_abilities_onscreen_name_rew_ability_insightful_words	Insightful Words	false
unit_abilities_tooltip_text_rew_ability_insightful_words	"And yes according to this you should strike as the mountain upon the ocean... What does it mean ? Just bash their head in !"	false
