key	text	tooltip
#Loc;1;text/db/skills/general_of_wu.loc		
unit_abilities_tooltip_text_ironic_han_dang	When death draws near, the warrior's desperation unleashes devastating power at great cost!	false
unit_abilities_onscreen_name_ironic_han_dang	Last Stand	false
character_skills_localised_name_ironic_dong_xi	Reckless Advance	false
character_skills_localised_description_ironic_dong_xi	Abandoning all defense, the warrior charges forth with unstoppable momentum!	false
unit_abilities_tooltip_text_ironic_jiang_qin	Swift as thunder, the warrior becomes an unstoppable force that sends foes flying!	false
unit_abilities_onscreen_name_ironic_jiang_qin	Lightning Strike	false
unit_abilities_tooltip_text_ironic_xu_sheng	Raw aggression overwhelms technique, trading accuracy for devastating crushing power!	false
unit_abilities_onscreen_name_ironic_xu_sheng	Battle Frenzy	false
character_skills_localised_name_ironic_pan_zhang	Flame Burst	false
character_skills_localised_description_ironic_pan_zhang	Explosive fire erupts from within, consuming all enemies in its scorching embrace!	false
unit_abilities_tooltip_text_ironic_chen_wu	The warrior's resolve becomes unbreakable, turning enemy strikes back upon themselves!	false
unit_abilities_onscreen_name_ironic_chen_wu	Iron Will	false
unit_ability_types_onscreen_name_ironic_han_dang	Active Buff	false
unit_ability_types_localised_description_ironic_han_dang	Last Stand	false
effects_description_ironic_ling_tong	Ability: Warrior's Spirit	false
special_ability_phases_onscreen_name_ironic_han_dang	Last Stand	false
special_ability_phases_onscreen_name_ironic_ling_tong	Warrior's Spirit	false
character_skills_localised_name_ironic_han_dang	Last Stand	false
character_skills_localised_description_ironic_han_dang	When death draws near, the warrior's desperation unleashes devastating power at great cost!	false
unit_abilities_tooltip_text_ironic_ling_tong	The seasoned veteran's fighting prowess reaches its peak, striking with deadly precision!	false
unit_abilities_onscreen_name_ironic_ling_tong	Warrior's Spirit	false
effects_description_ironic_ding_feng	Ability: Tactical Prowess	false
character_skills_localised_name_ironic_ding_feng	Tactical Prowess	false
character_skills_localised_description_ironic_ding_feng	The general's presence on the battlefield inspires courage and swift movement in his warriors!	false
effects_description_ironic_han_dang	Ability: Last Stand	false
character_skills_localised_name_ironic_chen_wu	Iron Will	false
character_skills_localised_description_ironic_chen_wu	The warrior's resolve becomes unbreakable, turning enemy strikes back upon themselves!	false
effects_description_ironic_xu_sheng	Abilty: Battle Frenzy	false
special_ability_phases_onscreen_name_ironic_ding_feng	Tactical Prowess	false
special_ability_phases_onscreen_name_ironic_jiang_qin	Lightning Strike	false
unit_ability_types_onscreen_name_ironic_jiang_qin	Active Buff	false
unit_ability_types_localised_description_ironic_jiang_qin	Lightning Strike	false
unit_ability_types_onscreen_name_ironic_pan_zhang	AOE Attack	false
unit_ability_types_localised_description_ironic_pan_zhang	Flame Burst	false
character_skills_localised_name_ironic_jiang_qin	Lightning Strike	false
character_skills_localised_description_ironic_jiang_qin	Swift as thunder, the warrior becomes an unstoppable force that sends foes flying!	false
unit_abilities_tooltip_text_ironic_pan_zhang	Explosive fire erupts from within, consuming all enemies in its scorching embrace!	false
unit_abilities_onscreen_name_ironic_pan_zhang	Flame Burst	false
special_ability_phases_onscreen_name_ironic_dong_xi	Reckless Advance	false
character_skills_localised_name_ironic_ling_tong	Warrior's Spirit	false
character_skills_localised_description_ironic_ling_tong	The seasoned veteran's fighting prowess reaches its peak, striking with deadly precision!	false
effects_description_ironic_chen_wu	Ability: Iron Will	false
special_ability_phases_onscreen_name_ironic_chen_wu	Iron Will	false
special_ability_phases_onscreen_name_ironic_xu_sheng	Battle Frenzy	false
effects_description_ironic_dong_xi	Ability: Reckless Advance	false
unit_ability_types_onscreen_name_ironic_ling_tong	Active Buff	false
unit_ability_types_localised_description_ironic_ling_tong	Warrior's Spirit	false
unit_ability_types_onscreen_name_ironic_xu_sheng	Active Buff	false
unit_ability_types_localised_description_ironic_xu_sheng	Raw aggression overwhelms technique, trading accuracy for devastating crushing power!	false
unit_ability_types_onscreen_name_ironic_ding_feng	Active Buff	false
unit_ability_types_localised_description_ironic_ding_feng	Tactical Prowess	false
unit_ability_types_onscreen_name_ironic_dong_xi	Active Buff	false
unit_ability_types_localised_description_ironic_dong_xi	Reckless Advance	false
unit_abilities_tooltip_text_ironic_dong_xi	Abandoning all defense, the warrior charges forth with unstoppable momentum!	false
unit_abilities_onscreen_name_ironic_dong_xi	Reckless Advance	false
unit_abilities_tooltip_text_ironic_ding_feng	The general's presence on the battlefield inspires courage and swift movement in his warriors!	false
unit_abilities_onscreen_name_ironic_ding_feng	Tactical Prowess	false
special_ability_phases_onscreen_name_ironic_pan_zhang	Flame Burst	false
effects_description_ironic_jiang_qin	Ability: Lightning Strike	false
character_skills_localised_name_ironic_xu_sheng	Battle Frenzy	false
character_skills_localised_description_ironic_xu_sheng	Raw aggression overwhelms technique, trading accuracy for devastating crushing power!	false
effects_description_ironic_pan_zhang	Ability: Flame Burst	false
unit_ability_types_onscreen_name_ironic_chen_wu	Targetted Buff	false
unit_ability_types_localised_description_ironic_chen_wu	Iron Will	false
