key	text	tooltip
#Loc;1;text/extra/legacy/legacy_text_tree.loc		
MCT_localised_string_section_190E_EN	190E	false
campaign_payload_ui_details_description_ironic_madness_gain	Madness: +1	false
campaign_payload_ui_details_description_ironic_madness_reduction	Madness: -2	false
ceo_equipped_set_bonuses_description_3k_main_ceo_set_liu_bei_unity_capitals	The Eastern and Western Capitals, forever corrupted by sinister officials. Both must be saved and revitalised.	false
ceo_equipped_set_bonuses_description_3k_main_ceo_set_liu_bei_unity_five_tiger_generals	The pinnacles of unyielding loyalty and bravery to a revitalised Han.	false
ceo_equipped_set_bonuses_description_3k_main_ceo_set_liu_bei_unity_jing_1	Not every strategy goes according to plan. One must always adapt to ensure survival and a chance to rebuild.	false
ceo_equipped_set_bonuses_description_3k_main_ceo_set_liu_bei_unity_jing_2	A stable foothold is a must. Xu may not have been the place for you, but Jing will surely be a spring board towards all directions.	false
ceo_equipped_set_bonuses_description_3k_main_ceo_set_liu_bei_unity_leader	By his resolve to ensure peace in his time, Liu Bei must grow as a worthy warlord in this time of chaos to achieve such a path.	false
ceo_equipped_set_bonuses_description_3k_main_ceo_set_liu_bei_unity_memories	A return to the past when fun and carefree times were more prominent.	false
ceo_equipped_set_bonuses_description_3k_main_ceo_set_liu_bei_unity_overcoming_fears	Hurdles must be overcome in order to ensure peace.	false
ceo_equipped_set_bonuses_description_3k_main_ceo_set_liu_bei_unity_peach_garden	This oath sworn by these three strangers binds them ever stronger than the bonds of blood. Now they are sworn forever as brothers, until death does them apart.	false
ceo_equipped_set_bonuses_description_3k_main_ceo_set_liu_bei_unity_pengcheng	Pengcheng holds one of the most esteemed temples. It must be rescued from the clutches of yellow turban rebels and ambitious warmongers.	false
ceo_equipped_set_bonuses_description_3k_main_ceo_set_liu_bei_unity_shu_1	It is time for a distant descendant of the Liu to return home and revitalise the dying Han.	false
ceo_equipped_set_bonuses_description_3k_main_ceo_set_liu_bei_unity_shu_2	With Shu secured, the road to unity is getting ever closer.	false
ceo_equipped_set_bonuses_description_3k_main_ceo_set_liu_bei_unity_strategists	A leader not only should acquire abled strategists but also the willingness to listen to their counsel.	false
ceo_equipped_set_bonuses_description_3k_main_ceo_set_liu_bei_unity_warriors_of_jing	With this famed warriors from Jing, the bonds of unity of peace further strengthens.	false
