key	text	tooltip
#Loc;1;text/extra/legacy/legacy_titles.loc		
ceo_equipped_set_bonuses_description_3k_main_item_set_celestial_fury2	The heavens themselves will punish the unjust.	false
ceo_equipped_set_bonuses_description_3k_main_item_set_tacticians_design2	The 36 Strategems, realised.	false
ceo_equipped_set_bonuses_description_3k_mtu_item_set_changshan_zhaozilong	The Blue Blade, capable of cutting through enemies and their weapons alike, saved Liu Bei’s baby son with Zilong’s expert wielding.	false
ceo_equipped_set_bonuses_description_3k_mtu_item_set_eight_principle_of_yong	Write the word "Yong(永)" again and again. You may feel calm and your spirit step higher.	false
ceo_equipped_set_bonuses_description_3k_mtu_item_set_invincible	With the Invincible Spear in-hand, who could dare to stop Zhao Yun?	false
ceo_equipped_set_bonuses_description_3k_mtu_item_set_sorrow_and_anger	Poem of Sorrow and Anger\\n\\n遄征日遐邁\\nHome runs far away day by day\\n悠悠三千里\\nThree thousand miles far from here\\n何時復交會\\nWhen will we meet again\\n念我出腹子\\nOh dear my daughter..\\n胸臆為摧敗\\nHeart breaks down..	false
ceo_equipped_set_bonuses_title_3k_main_item_set_celestial_fury2	Celestial Fury	false
ceo_equipped_set_bonuses_title_3k_main_item_set_tacticians_design2	Tactician's Design	false
ceo_equipped_set_bonuses_title_3k_mtu_item_set_changshan_zhaozilong	Baby Protector	false
ceo_equipped_set_bonuses_title_3k_mtu_item_set_eight_principle_of_yong	Eight Principles of Yong	false
ceo_equipped_set_bonuses_title_3k_mtu_item_set_invincible	Invincible	false
ceo_equipped_set_bonuses_title_3k_mtu_item_set_sorrow_and_anger	A Longing Nostalgia	false
ceo_nodes_description_3k_mtu_ancillary_accessory_eight_principles_of_yong	This book is the basis of all calligraphy and created by Cai Yong, who made his name as a master calligrapher.	false
ceo_nodes_description_3k_mtu_ancillary_accessory_poem_of_sorrow_and_anger	My dwelling is often covered by frost and snow,\\n\\nThe foreign winds bring again spring and summer	false
ceo_nodes_description_3k_mtu_ancillary_armour_jian_yongs_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	false
ceo_nodes_description_3k_mtu_ancillary_armour_lady_cai_yans_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	false
ceo_nodes_description_3k_mtu_ancillary_armour_zhao_yuns_armour_unique	The perfect weight and fit, suitable for the famed Tiger General.	false
ceo_nodes_description_3k_mtu_ancillary_chen_jius_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	false
ceo_nodes_description_3k_mtu_ancillary_chunyu_qiongs_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	false
ceo_nodes_description_3k_mtu_ancillary_dong_mins_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	false
ceo_nodes_description_3k_mtu_ancillary_eminent_calligrapher_armour_water_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	false
ceo_nodes_description_3k_mtu_ancillary_empty_lunchpail	It is empty.	false
ceo_nodes_description_3k_mtu_ancillary_gao_shuns_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	false
ceo_nodes_description_3k_mtu_ancillary_hidden_flow	Her swords are fast and unpredictable like two rogue waves sweeping across the ocean.	false
ceo_nodes_description_3k_mtu_ancillary_hua_xins_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	false
ceo_nodes_description_3k_mtu_ancillary_huang_zus_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	false
ceo_nodes_description_3k_mtu_ancillary_lady_bian_huilans_armour_unique	Her beauty and extraordinary taste put a thousand men on their knee.	false
ceo_nodes_description_3k_mtu_ancillary_lady_da_qiaos_armour_unique	A beautifully embroidered dress in gold to accent Lady Feng’s overwhelming beauty.	false
ceo_nodes_description_3k_mtu_ancillary_lady_dong_bais_armour_unique	A luxurious, embroidered onyx dress fit for even an Empress.	false
ceo_nodes_description_3k_mtu_ancillary_lady_dong_peishans_armour_unique	A luxurious, embroidered onyx dress fit for even an Empress.	false
ceo_nodes_description_3k_mtu_ancillary_lady_gongsun_jintings_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	false
ceo_nodes_description_3k_mtu_ancillary_lady_guan_yinpings_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	false
ceo_nodes_description_3k_mtu_ancillary_lady_lu_jis_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	false
ceo_nodes_description_3k_mtu_ancillary_lady_lu_zhengs_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	false
ceo_nodes_description_3k_mtu_ancillary_lady_ma_lanlis_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	false
ceo_nodes_description_3k_mtu_ancillary_lady_ma_yunlus_armour_unique	Armour of the West provides not only warmth, but also better protection with its masterful use of leather.	false
ceo_nodes_description_3k_mtu_ancillary_lady_trieus_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	false
ceo_nodes_description_3k_mtu_ancillary_lady_wang_litings_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	false
ceo_nodes_description_3k_mtu_ancillary_lady_wu_minyus_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	false
ceo_nodes_description_3k_mtu_ancillary_lady_xiao_qiaos_armour_unique	A magnificently embroidered dress in silver to match the young beauty’s look.	false
ceo_nodes_description_3k_mtu_ancillary_lady_zhang_jinglans_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	false
ceo_nodes_description_3k_mtu_ancillary_lady_zhang_xingcais_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	false
ceo_nodes_description_3k_mtu_ancillary_lady_zou_yuans_armour_unique	Zou Yuan's clothes are thin but soft and sturdy.	false
ceo_nodes_description_3k_mtu_ancillary_line_breaker	This Ji, perfectly balanced and heavy, crushes its enemies and sees them driven before you.	false
ceo_nodes_description_3k_mtu_ancillary_luo_juns_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	false
ceo_nodes_description_3k_mtu_ancillary_mount_lady_trieus_elephant_unique	Lady Trieu comes and, with her, a thunder that shakes the very Earth.	false
